GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "02000","Alaska",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1575306,1798953,1984124,2166758,2507651,3042645,4156808,4893293,5081877,5235885,5546800,6285047,7152287,8733371,9513455,10120618,10965793,11065577,10618140,11067575,12110504,12843337,13405073,14270677,15007304,15513140,15955835,16403012,17276624,18136011,18712485,20122417,21309233,22325307,23340268,24404323,26061238,27793409,29869101,32907654,33028359,35451983,37981757,39265976,38978032,41209955,42555117,41837407,42431384,43981166,45056762,45965064,48219215
 "02000","Alaska",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714014,722511,731106,738057,737638,739127,743410,741949,737717,734823,732441,732673
 "02000","Alaska",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5322,5911,6269,6636,7525,8827,11205,12447,12789,13018,13745,15507,17091,19424,19478,19701,20593,20331,19688,20420,22133,23213,23510,24240,25036,25713,26399,26953,28185,29255,29951,32044,33626,34756,35996,37016,39075,41157,43906,47869,47258,49652,52569,53708,52812,55867,57575,56278,57189,59618,61316,62756,65813
 "02010","Aleutian Islands Census Area, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),122508,127349,130856,137747,145358,140422,163118,181656,187030,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02010","Aleutian Islands Census Area, AK*",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),7829,7813,7981,8848,9088,9389,9734,9791,10312,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02010","Aleutian Islands Census Area, AK*",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),15648,16300,16396,15568,15994,14956,16758,18553,18137,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02013","Aleutians East Borough, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33663,39896,44939,54503,59800,48240,49625,52685,53638,55880,55663,59067,59491,86168,78007,83536,85898,93820,100296,98026,105406,104937,112359,120912,121144,130694,135632,167568,193409,203158,193448,204600,196895,204471
 "02013","Aleutians East Borough, AK*",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2185,2439,2477,2507,2605,2557,2510,2619,2709,2768,2750,2739,2693,2590,2734,2732,2727,2787,2794,3012,2991,3084,3167,3262,3301,3351,3354,3382,3364,3457,3405,3370,3418,3398
 "02013","Aleutians East Borough, AK*",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),15406,16358,18143,21740,22956,18866,19771,20116,19800,20188,20241,21565,22091,33269,28532,30577,31499,33663,35897,32545,35241,34026,35478,37067,36699,39001,40439,49547,57494,58767,56813,60712,57605,60174
 "02016","Aleutians West Census Area, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),181452,189354,208179,222172,240740,236688,191352,164481,148457,117724,115496,127609,116584,119906,139995,166845,171254,185703,193983,202818,219152,213406,228918,257182,285059,287848,304720,301593,313115,302162,311272,319476,330626,332943
