GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "05000","Arkansas",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",5128531,5626520,6263108,7071222,8376080,9353548,10292084,11378923,12661751,14668793,16087967,17388327,19702622,20702260,21934843,24458419,25982324,27303655,28434832,30505873,32721188,34457542,36459059,39714351,41648441,44288614,47164713,50047865,52507955,55698439,57999091,61020960,64255331,65770417,69742263,74404831,78500666,83572448,89170536,92864693,91170801,94576076,100739246,107877287,108367763,114743300,118719486,121825917,125285910,130033351,133161354,142038454,153185782
 "05000","Arkansas",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921561,2938833,2948887,2954685,2961191,2970352,2980602,2990801,2997271,3004248,3012232,3025891
 "05000","Arkansas",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2681,2915,3176,3504,4069,4453,4769,5247,5736,6546,7090,7597,8592,9024,9513,10543,11165,11708,12139,13022,13946,14622,15299,16438,16956,17758,18602,19458,20187,21208,21871,22781,23873,24306,25595,27059,28227,29617,31303,32306,31472,32372,34279,36582,36677,38749,39968,40873,41890,43384,44324,47154,50625
 "05001","Arkansas, AR",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",72980,83943,84681,95604,135675,160713,142510,147381,150935,208000,195473,196273,234699,237040,241090,268944,271604,277148,269854,299887,304956,315884,324603,359364,374874,392855,428317,454254,458995,471870,482253,476528,492385,480629,545846,584697,544192,574183,597852,644410,656667,651785,690282,724902,779447,765238,763064,794254,779610,792003,809653,899870,948697
 "05001","Arkansas, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23393,23311,23328,23170,23590,23695,23874,24218,23869,24425,24126,24191,24203,24114,23835,23398,23012,22573,22174,21847,21705,21666,21536,21479,21310,21199,21128,21134,20975,20896,20966,20776,20593,20351,19981,19967,19954,19785,19434,19275,19134,19042,18879,18941,18702,18402,18226,18026,17722,17550,17261,17105,16722
 "05001","Arkansas, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3120,3601,3630,4126,5751,6783,5969,6086,6323,8516,8102,8113,9697,9830,10115,11494,11803,12278,12170,13727,14050,14580,15073,16731,17591,18532,20272,21494,21883,22582,23002,22936,23910,23617,27318,29283,27272,29021,30763,33432,34319,34229,36563,38272,41677,41585,41867,44062,43991,45128,46906,52609,56733
 "05003","Ashley, AR",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",62705,71989,78985,83547,100496,108751,117136,133653,150355,177871,192226,195674,227838,226509,236559,274044,280320,271464,290511,306715,315155,330773,360507,386915,395981,430618,446758,463954,488829,510528,515537,524322,513006,508304,543258,544751,565810,590750,608020,604823,609101,645249,685204,677529,676291,659786,680744,688332,695374,712618,740230,765888,800062
 "05003","Ashley, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",24963,25015,25440,25642,25481,25478,25832,26164,26625,26946,26748,26607,26829,26273,25971,26045,26088,25401,25176,24930,24582,24283,24447,24565,24647,24556,24475,24417,24365,24359,24261,24179,23824,23745,23469,23156,22770,22501,22229,22148,21920,21821,21627,21431,21157,20804,20647,20298,20050,19723,19392,18960,18674
 "05003","Ashley, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2512,2878,3105,3258,3944,4268,4535,5108,5647,6601,7187,7354,8492,8621,9109,10522,10745,10687,11539,12303,12821,13622,14746,15751,16066,17536,18254,19001,20063,20958,21250,21685,21533,21407,23148,23525,24849,26254,27353,27308,27787,29570,31683,31614,31965,31714,32971,33911,34682,36131,38172,40395,42844
 "05005","Baxter, AR",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",39657,45640,53900,62406,77791,92138,107903,127813,144592,165424,183403,217650,250134,271232,298745,325597,351618,384987,393915,414465,452094,474094,509848,550131,590385,624522,673895,708603,752412,802357,817016,854197,876488,907119,928689,975237,1041939,1143465,1220467,1240215,1205516,1227621,1264874,1326596,1326379,1410706,1426187,1440565,1491545,1522505,1597228,1706512,1832373
 "05005","Baxter, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",14798,15525,16578,18160,19884,21335,22746,24472,26097,26471,27093,27482,27716,28024,28729,29435,29586,30097,30643,30906,30927,31317,31884,32775,33886,35108,36313,36943,37348,37619,38055,38446,38331,38506,38772,39334,39992,40867,41491,41519,41561,41498,41286,40968,40822,40669,40864,40810,40912,41197,41449,41655,42144
 "05005","Baxter, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2680,2940,3251,3436,3912,4319,4744,5223,5541,6249,6769,7920,9025,9679,10399,11062,11885,12792,12855,13411,14618,15139,15991,16785,17423,17789,18558,19181,20146,21329,21469,22218,22866,23558,23953,24794,26054,27980,29415,29871,29006,29583,30637,32381,32492,34688,34901,35299,36457,36957,38535,40968,43479
 "05007","Benton, AR",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",131296,147115,167775,201414,245853,272310,320009,370145,419133,490550,554718,637199,743555,798112,888670,1006423,1096741,1217556,1280665,1415837,1539646,1678848,1853280,2117382,2318752,2598232,2913852,3241237,3581859,4050715,4424943,4878550,5363279,5700950,6198239,7029725,7964269,9144531,10240291,11255196,10468217,11084122,13131569,15927996,15626914,18478912,20294652,21857963,22516209,24922595,24117851,24895095,26927606
 "05007","Benton, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",49171,50853,53449,57211,59612,62271,63175,66690,70714,73491,76545,78374,79240,80220,81850,84046,85837,87747,90922,93096,94972,98524,102583,107529,113667,119451,126211,132490,137751,142496,148636,154744,159258,164926,171742,179010,186756,195569,203664,210807,216620,222558,228982,234591,238936,244124,250686,258172,265299,270714,277702,286353,293692
 "05007","Benton, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2670,2893,3139,3521,4124,4373,5065,5550,5927,6675,7247,8130,9384,9949,10857,11975,12777,13876,14085,15208,16212,17040,18066,19691,20400,21751,23087,24464,26002,28427,29770,31527,33677,34567,36090,39270,42645,46759,50280,53391,48325,49803,57348,67897,65402,75695,80956,84664,84871,92062,86848,86938,91687
 "05009","Boone, AR",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",51205,57237,64754,76654,89177,100854,107752,123488,138863,157580,177064,194328,217095,234337,251270,279308,300259,316371,338169,363618,398063,411795,433664,465056,503518,528277,557129,576759,613356,660578,693180,722412,727447,757254,780202,832094,880164,943181,1005647,1030542,1018476,1057307,1099642,1145514,1153787,1212241,1233010,1246976,1282945,1326245,1363734,1456276,1613164
 "05009","Boone, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",18834,19110,19256,20174,20984,21635,22771,23039,23652,24267,25395,26119,26271,26456,26915,27373,27563,27701,27891,28123,28269,28360,28788,29534,30384,31310,32031,32643,32946,33210,33436,34051,34258,34448,34554,34900,35492,36056,36759,36974,36844,36887,37062,37290,37269,37040,37028,37143,37338,37325,37368,37352,37830
 "05009","Boone, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2719,2995,3363,3800,4250,4662,4732,5360,5871,6494,6972,7440,8264,8858,9336,10204,10894,11421,12125,12930,14081,14520,15064,15746,16572,16872,17393,17669,18617,19891,20732,21216,21234,21983,22579,23842,24799,26159,27358,27872,27643,28663,29670,30719,30958,32728,33299,33572,34360,35532,36495,38988,42642
 "05011","Bradley, AR",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",30930,33265,37789,42242,47491,52636,57970,64668,69981,80069,88666,96327,104243,109608,117991,125674,129674,131509,132602,143286,160192,166662,171681,183563,187521,195410,202325,213314,223024,228708,222015,229445,250578,251762,265808,285370,280991,287153,302960,297324,295784,321796,332263,354171,354606,374706,387129,394471,400671,418315,423170,448685,486407
 "05011","Bradley, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12933,12810,13082,13268,13292,13229,13277,13708,13757,13980,14036,13765,13583,13388,13184,13081,12882,12595,12287,12119,12012,11808,11863,11898,12101,12130,12248,12309,12331,12388,12518,12597,12427,12340,12263,12107,12012,11778,11737,11643,11538,11466,11413,11230,11074,10946,10924,10872,10711,10702,10662,10498,10408
 "05011","Bradley, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2392,2597,2889,3184,3573,3979,4366,4718,5087,5727,6317,6998,7675,8187,8950,9607,10066,10441,10792,11823,13336,14114,14472,15428,15496,16110,16519,17330,18086,18462,17736,18214,20164,20402,21676,23571,23393,24380,25812,25537,25636,28065,29113,31538,32021,34232,35438,36283,37407,39088,39690,42740,46734
 "05013","Calhoun, AR",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",12530,12156,13011,14555,17210,19002,21184,25107,26221,30231,33086,36678,41056,46042,50808,56370,60885,62780,63672,66445,69778,71946,74215,79388,81664,83184,85049,87630,93853,101574,103663,108907,112723,117287,118896,122621,128772,129576,135536,138642,136809,139503,143307,149732,150271,156723,165981,170648,173000,178132,184571,198933,215245
 "05013","Calhoun, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5627,5561,5547,5540,5573,5676,5906,5723,5707,5830,6030,6073,6041,6113,6081,6088,6067,6012,6047,5962,5885,5821,5805,5764,5822,5811,5836,5754,5774,5751,5764,5709,5599,5655,5646,5591,5675,5693,5659,5528,5421,5351,5191,5185,5062,4999,4991,4905,4914,4886,4784,4725,4741
