GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "04000","Arizona",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",6327071,7216133,8255566,9464649,10934211,12336094,13317758,14813181,16646785,19559610,22986621,26477610,30247056,32197364,35452604,40055602,44570307,48739358,52518393,56718429,60862489,63820979,67174577,71692129,77041009,84343667,91989409,99707638,108023079,118042927,125393478,136175114,142423527,147602212,156458313,170821628,188761972,209228706,221244846,224508260,212645969,216873648,227700087,237809058,243752324,257272272,270815540,282085147,299249152,316896302,340259805,375601287,403739312
 "04000","Arizona",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6402024,6446537,6507351,6563216,6638196,6714328,6801591,6879830,6969944,7070511,7177986,7276316
 "04000","Arizona",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3643,4020,4354,4711,5145,5546,5825,6309,6858,7768,8712,9671,10764,11141,11941,13060,14000,14733,15280,16044,16803,17323,17731,18309,18950,19869,20753,21737,22804,24173,24960,26388,27008,27353,28393,30221,32327,34703,35872,35748,33524,33876,35321,36545,37139,38756,40334,41473,43497,45466,48124,52327,55487
 "04001","Apache, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",80748,89332,101462,117209,132215,144964,162501,184377,200219,259381,270012,279307,290767,310704,338184,382614,390711,423595,447908,469832,530332,560950,613410,679111,729579,757887,768675,831507,853530,903772,984344,996220,1109375,1152764,1232225,1301315,1395983,1461665,1564432,1716795,1845870,1919806,1964662,1952184,1980841,2051118,2112921,2161372,2279883,2400636,2445318,2780563,2997074
 "04001","Apache, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",34200,32883,35537,37048,39525,40271,42907,44294,48487,50682,52122,51936,51204,52152,53082,52996,53465,55749,58197,59542,60827,61939,62634,63026,64489,66085,68274,69508,70478,69851,69801,69507,67863,67319,68072,68161,68521,69390,69602,69883,71008,71675,71412,70848,70341,69234,67896,67688,67226,66918,66444,65897,65623
 "04001","Apache, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2361,2717,2855,3164,3345,3600,3787,4163,4129,5118,5180,5378,5679,5958,6371,7220,7308,7598,7696,7891,8719,9056,9794,10775,11313,11468,11259,11963,12111,12939,14102,14333,16347,17124,18102,19092,20373,21064,22477,24567,25995,26785,27512,27555,28161,29626,31120,31931,33914,35874,36803,42196,45671
 "04003","Cochise, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",235225,258346,310805,350963,393750,422424,444691,486415,527949,598871,644379,729673,811048,859250,937995,1033492,1085132,1152180,1227098,1294453,1358577,1439562,1527274,1654714,1719311,1814646,1886593,1986665,2068792,2202354,2285577,2446821,2641805,2774825,3021406,3244742,3514017,3729670,4021309,4262581,4435945,4558412,4690461,4537419,4459163,4515201,4632805,4661736,4825289,4947502,5206793,5882308,6188571
 "04003","Cochise, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",60500,62770,67149,70938,74558,76165,76922,78946,80688,83160,86268,86172,88036,88373,88872,90937,91192,94093,96690,96316,97551,97918,99058,101453,104403,109323,112480,112880,114907,116091,116530,118132,118798,119847,120638,123234,125786,127241,128206,129023,130081,131767,132842,131580,128947,126519,125470,124559,123528,124838,125292,125398,126050
 "04003","Cochise, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3888,4116,4629,4947,5281,5546,5781,6161,6543,7201,7470,8468,9213,9723,10554,11365,11899,12245,12691,13440,13927,14702,15418,16310,16468,16599,16773,17600,18004,18971,19614,20713,22238,23153,25045,26330,27936,29312,31366,33037,34101,34594,35309,34484,34581,35688,36924,37426,39062,39631,41557,46909,49096
 "04005","Coconino, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",146531,161686,191445,232114,274482,296520,335707,361820,397913,470375,520701,600418,665849,713246,783166,872848,956449,1054836,1124707,1207907,1281478,1388541,1485117,1629994,1723819,1872310,2001700,2149711,2303810,2455852,2591717,2781601,2950839,3090314,3240698,3494610,3749167,4119876,4427336,4741621,4542224,4675714,5013142,5089649,5312248,5608907,5992731,6202954,6648800,6955736,7232353,7837473,8255426
 "04005","Coconino, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",48200,49180,53330,58203,61654,64831,69825,66403,68939,70815,73357,75579,77794,79156,81118,83640,84431,87575,90380,93355,95194,97106,99647,102498,105570,108680,110954,112686,114444,114874,115307,116773,118283,121308,122882,125117,127025,128695,130442,131853,133477,134680,134590,136717,137531,138656,140326,142091,143036,144921,146244,145116,145052
 "04005","Coconino, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3040,3288,3590,3988,4452,4574,4808,5449,5772,6642,7098,7944,8559,9011,9655,10436,11328,12045,12444,12939,13462,14299,14904,15903,16329,17228,18041,19077,20130,21379,22477,23821,24947,25475,26372,27931,29515,32013,33941,35961,34030,34717,37248,37228,38626,40452,42706,43655,46483,47997,49454,54008,56914
 "04007","Gila, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",73237,87049,92834,112241,138290,143238,158894,169129,190414,216965,248932,278548,335626,337487,346637,371251,393490,413535,436904,483941,517296,556678,591396,637902,688574,746318,765954,840434,885889,933958,969227,1006491,1054762,1093298,1161676,1225016,1302661,1405580,1531817,1654258,1663462,1690976,1755966,1684945,1717708,1798411,1878285,1903070,2040736,2107410,2180298,2421661,2612568
