GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",8438834,9540190,10759666,12176083,13923113,15609172,17249727,18981259,21174240,24413528,27979283,32050837,36882856,40505905,43694220,47644633,50483632,52445729,54400004,57556607,62010063,65667206,69601893,75599104,81812058,87983829,95648804,103235761,111207820,123090038,132293877,147242413,154444546,154639616,157851893,163872909,175069160,189465506,202115932,210029393,199351557,205866132,223492650,236759086,249512681,271410156,284836823,289672968,309417333,331850951,356341335,378051379,410948218
 "08000","Colorado",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047005,5119188,5188703,5263512,5342996,5442196,5529161,5600169,5677250,5735934,5784308,5812069
 "08000","Colorado",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3896,4290,4671,5064,5579,6142,6670,7211,7854,8824,9820,11019,12386,13230,13944,15030,15733,16200,16685,17643,18930,19853,20549,21625,22639,23625,24995,26336,27675,29901,31305,34029,34897,34438,34856,35819,37797,40137,42074,42953,40093,40790,43658,45630,47404,50797,52339,52390,55251,58453,62124,65358,70706
 "08001","Adams, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",648153,709437,803531,908854,1023302,1125453,1236329,1359933,1532395,1807996,2075271,2388262,2687137,2941564,3161300,3428466,3617257,3730964,3798194,3928630,4133785,4354140,4607325,5025860,5445249,5855712,6316981,6758615,7429404,8159937,8914141,9918674,10474402,10360513,10703620,11009772,11463329,12135841,12905083,13622893,13520668,13744022,14749550,15685566,16433367,17779767,18906691,19726539,20771583,22204302,23387535,25283114,27769198
 "08001","Adams, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",182656,187062,193787,203924,211825,214692,218820,224439,227864,239598,245966,247145,251341,258855,262155,264814,266973,267687,268485,266684,263401,266629,274311,284362,293995,302197,313439,323218,332462,343094,354146,366958,376443,370753,377464,384809,395146,406575,415746,424913,435700,443693,452215,460579,470014,479983,490486,497785,503782,511566,516674,520163,522140
 "08001","Adams, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3548,3793,4146,4457,4831,5242,5650,6059,6725,7546,8437,9663,10691,11364,12059,12947,13549,13938,14147,14731,15694,16330,16796,17674,18522,19377,20154,20910,22347,23783,25171,27029,27825,27945,28357,28611,29010,29849,31041,32060,31032,30976,32616,34056,34964,37042,38547,39629,41231,43405,45266,48606,53183
 "08003","Alamosa, CO",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",29164,31926,35343,38097,42034,49379,58120,64623,68397,77398,83659,100434,108051,111493,127404,131179,138746,156087,154450,162329,182007,197695,194350,202945,230421,242818,257748,280486,284120,312631,316608,333997,342217,369894,353652,372086,389442,396515,419859,446292,446635,448940,478100,480312,495019,517101,549608,545409,560749,594695,622050,673331,736456
 "08003","Alamosa, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10701,11502,11832,12239,11580,11515,12252,12073,11598,11557,11618,11870,12131,12344,12469,12846,12834,13146,13332,13712,13752,13602,13926,13790,13816,14071,14372,14367,14634,14730,14881,14954,14956,15114,15067,15217,15236,15196,15180,15300,15289,15519,15735,15723,15848,15877,15982,16153,16226,16378,16359,16362,16547
 "08003","Alamosa, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2725,2776,2987,3113,3630,4288,4744,5353,5897,6697,7201,8461,8907,9032,10218,10212,10811,11873,11585,11838,13235,14534,13956,14717,16678,17257,17934,19523,19415,21224,21276,22335,22882,24474,23472,24452,25561,26093,27659,29169,29213,28928,30384,30548,31235,32569,34389,33765,34559,36311,38025,41152,44507
 "08005","Arapahoe, CO",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",759223,848588,994133,1163657,1374384,1573300,1803835,2052499,2352715,2807993,3329809,3959838,4661369,5250773,5739543,6370747,6925136,7266846,7633434,8118937,8911767,9602751,10106511,10854507,11655804,12628128,13498090,14677116,15447846,17167106,18603514,20971093,20870667,20840031,21234319,21092558,21842319,23848017,25126275,24179473,22410348,23574695,27364015,28797047,30179239,32904212,34319821,35090453,36476318,39927920,42704429,44960387,48637263
 "08005","Arapahoe, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",157055,163696,171308,184665,199083,208362,219967,230470,242501,261177,278330,297301,312603,330653,344923,357164,369021,377636,382074,382304,384980,393895,406279,420063,431731,440965,446821,454208,462681,472544,482262,491482,502393,508936,513690,518971,524466,531619,542039,552461,563161,575067,586147,596529,608322,618665,630411,638071,643293,650347,653751,655112,654900
 "08005","Arapahoe, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4834,5184,5803,6301,6904,7551,8200,8906,9702,10751,11964,13319,14911,15880,16640,17837,18766,19243,19979,21237,23149,24379,24876,25840,26998,28637,30209,32314,33388,36329,38576,42669,41543,40948,41337,40643,41647,44859,46355,43767,39794,40995,46685,48274,49611,53186,54440,54995,56702,61395,65322,68630,74267
 "08007","Archuleta, CO",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",10118,9035,9825,10287,11460,13735,15616,20177,21975,23471,31748,33532,36247,37262,44849,49525,54056,57377,57816,60403,67421,71121,77201,88015,93410,105091,115519,130682,145548,164460,182718,199507,258798,275911,281035,278751,308631,350066,378884,395612,373055,371970,397126,409514,424010,467634,496601,522032,540915,583305,621881,678276,721379
 "08007","Archuleta, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2615,2687,2490,2417,2706,2805,2966,3247,3318,3256,3509,3740,4039,4296,4538,4639,4847,4891,5005,5119,5166,5382,5557,5725,6119,6511,7098,7896,8498,9109,9510,10020,10454,10885,11089,11266,11496,11937,12262,12250,12169,12032,11944,11992,12008,11958,12047,12401,12793,13065,13239,13424,13790
 "08007","Archuleta, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3869,3362,3946,4256,4235,4897,5265,6214,6623,7209,9048,8966,8974,8674,9883,10676,11152,11731,11552,11800,13051,13215,13893,15374,15266,16141,16275,16550,17127,18055,19213,19911,24756,25348,25344,24743,26847,29326,30899,32295,30656,30915,33249,34149,35311,39106,41222,42096,42282,44646,46973,50527,52312
 "08009","Baca, CO",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",18401,23136,22311,24875,41543,29654,24914,30453,34868,28190,31052,38796,45689,50119,64580,69430,65912,68666,74952,78980,71306,84901,76665,78188,89947,80081,87437,93620,98805,111374,116707,109499,116608,93132,110809,107992,115282,96689,118603,126595,140754,146181,161407,133242,152006,141522,130857,127801,153785,147885,142206,160852,185907
 "08009","Baca, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",5800,5661,5616,5739,5650,5522,5675,5726,5562,5506,5462,5397,5300,5241,5186,5112,4992,4873,4873,4828,4743,4525,4527,4489,4421,4428,4506,4616,4563,4548,4562,4501,4471,4336,4117,4064,3997,3933,3866,3806,3767,3805,3770,3706,3633,3556,3518,3491,3504,3530,3556,3486,3514
 "08009","Baca, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3173,4087,3973,4334,7353,5370,4390,5318,6269,5120,5685,7188,8621,9563,12453,13582,13204,14091,15381,16359,15034,18763,16935,17418,20345,18085,19405,20282,21654,24489,25582,24328,26081,21479,26915,26573,28842,24584,30678,33262,37365,38418,42814,35953,41840,39798,37196,36609,43888,41894,39990,46142,52905
 "08011","Bent, CO",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",16947,19345,21912,23711,27616,28490,33701,34156,33263,37789,44090,42786,47307,49207,54250,59170,60888,63400,63847,66131,68392,71914,75525,79145,84982,86298,89895,94760,97613,104894,110817,115598,122796,115040,126746,128785,132439,125963,136548,141866,142576,141475,144963,138271,139561,142422,152744,146773,140631,157084,158973,167903,188410
 "08011","Bent, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",6638,6497,6525,6430,6041,6143,6393,6279,6166,5880,6005,5940,5909,5839,5998,5937,5868,5739,5588,5377,5162,5028,4928,4988,5415,5488,5579,5610,5539,5960,6049,5954,5841,5973,6166,6180,6118,6012,5715,5962,6425,6508,6464,5915,5851,5944,6045,6014,6039,6033,5838,5635,5759
 "08011","Bent, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2553,2978,3358,3688,4571,4638,5272,5440,5395,6427,7342,7203,8006,8427,9045,9966,10376,11047,11426,12299,13249,14303,15326,15867,15694,15725,16113,16891,17623,17600,18320,19415,21023,19260,20556,20839,21647,20952,23893,23795,22191,21739,22426,23376,23853,23961,25268,24405,23287,26037,27231,29796,32716
 "08013","Boulder, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",538596,600343,680907,768819,864808,979831,1109846,1245164,1434420,1683852,1959091,2217801,2556325,2822610,3095368,3452403,3621559,3793647,4022785,4339346,4740937,5074432,5390167,5960244,6429321,6968605,7546846,8159812,8878042,9779597,10647732,12219618,12677543,11557324,11795789,12111744,12963891,13962986,14628219,15268220,13822780,14943624,15781304,16760622,17598739,18963795,20519882,20987868,22410849,23625957,26236032,27514385,29524725
 "08013","Boulder, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",129577,133342,140808,151309,159509,166449,166670,169117,178121,183432,187125,190935,195705,200827,206440,211206,213942,215971,218024,219915,223507,226374,232846,240430,247405,254324,259520,264630,270744,277562,285901,293358,300137,279468,278768,279728,280241,284243,287428,290859,293190,295131,300434,305430,310586,313911,320154,323865,325475,328259,329194,330811,329543
 "08013","Boulder, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4157,4502,4836,5081,5422,5887,6659,7363,8053,9180,10469,11615,13062,14055,14994,16346,16928,17566,18451,19732,21212,22416,23149,24790,25987,27401,29080,30835,32791,35234,37243,41654,42239,41355,42314,43298,46260,49123,50894,52494,47146,50634,52528,54875,56663,60411,64094,64804,68856,71974,79698,83173,89593
 "08014","Broomfield, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1725773,1813978,1960677,2197125,2605443,2990032,3360148,3145292,3049936,3242644,3478922,3348451,3599932,3860616,4063620,4354606,4743988,4885095,4992315,5549760
 "08014","Broomfield, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41800,43805,44867,46313,48729,51526,53181,54789,56253,57700,59368,60745,62581,65941,67853,69839,71167,72601,74513,75325
 "08014","Broomfield, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41286,41410,43700,47441,53468,58030,63183,57407,54218,56198,58599,55123,57524,58547,59889,62352,66660,67287,66999,73678
 "08015","Chaffee, CO",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",29707,35861,39929,43676,50453,58027,66925,75296,84180,95438,110725,125592,137691,134537,130647,144411,149236,153668,155272,157921,166843,174329,187055,197546,211264,228895,256211,274212,292810,318543,344064,367450,388328,392329,405706,423495,449527,482914,524529,541607,549714,555418,592609,617066,650388,716911,762385,810982,862392,938572,1036923,1113168,1215477
 "08015","Chaffee, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10103,10273,10810,11340,11595,11747,12131,12109,12563,12567,13013,13270,13410,13337,13026,12699,12819,12671,12682,12637,12741,12696,12788,13036,13550,13930,14398,14892,15195,15431,16026,16337,16488,16844,16921,17047,17105,17087,17377,17573,17852,17785,17915,17947,18060,18058,18121,18514,18954,19205,19343,19571,20074
 "08015","Chaffee, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2940,3491,3694,3851,4351,4940,5517,6218,6701,7594,8509,9464,10268,10088,10030,11372,11642,12128,12243,12497,13095,13731,14627,15154,15591,16432,17795,18413,19270,20643,21469,22492,23552,23292,23976,24843,26280,28262,30185,30820,30793,31230,33079,34383,36013,39700,42072,43804,45499,48871,53607,56878,60550
 "08017","Cheyenne, CO",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",8929,9915,11578,9113,15601,17846,16349,14543,15929,15663,14829,20731,25064,34680,48272,39843,45234,46121,37388,42513,39610,45595,42335,46333,53428,47845,61597,46988,54716,65516,76792,62636,70862,53712,70424,66088,68318,60843,87954,77340,87219,98353,106798,93924,105336,90216,74179,64810,70271,73103,95536,82903,129829
 "08017","Cheyenne, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2433,2398,2418,2276,2301,2305,2244,2230,2064,2122,2174,2167,2220,2279,2302,2387,2379,2377,2288,2340,2402,2395,2377,2450,2348,2316,2304,2313,2261,2334,2255,2209,2179,2119,2021,1981,1939,1912,1863,1881,1843,1832,1855,1857,1858,1820,1795,1811,1806,1815,1769,1736,1707
 "08017","Cheyenne, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3670,4135,4788,4004,6780,7742,7286,6522,7718,7381,6821,9567,11290,15217,20970,16692,19014,19403,16341,18168,16490,19038,17810,18911,22755,20658,26735,20315,24200,28070,34054,28355,32520,25348,34846,33361,35234,31822,47211,41116,47324,53686,57573,50578,56693,49569,41325,35787,38910,40277,54006,47755,76057
