GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3861604,4280227,4715749,5076234,5475156,5940540,6441509,6896452,7473637,8178547,9010736,10074627,11169055,12199942,13127572,14497720,15512228,16675650,17728819,19201877,21131268,22256325,22968170,24390688,25155585,25981838,26894687,27780372,29169330,30615334,32110020,34472227,35942313,36353704,37772497,39652679,40671689,42844310,44702814,47244482,47630860,49635668,51312261,53010541,53977376,55755293,58434216,59529997,62595193,64244100,67621770,72846849,77254228
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",1002205,1013516,1032144,1048398,1049503,1047128,1049948,1049207,1053458,1056853,1055597,1049655,1050241,1051837,1056987,1059667,1063163,1068337,1072322,1082132,1089770,1099799,1108165,1115545,1120741,1124133,1124591,1121940,1117526,1115796,1116339,1119276,1122911,1129147,1138397,1145577,1150801,1157169,1160579,1164170,1166714,1169567,1172483,1176204,1179751,1182223,1184250,1186056,1190292,1192517,1191021,1189485,1190312
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3853,4223,4569,4842,5217,5673,6135,6573,7094,7739,8536,9598,10635,11599,12420,13681,14591,15609,16533,17744,19391,20237,20726,21864,22445,23113,23915,24761,26102,27438,28764,30799,32008,32196,33180,34614,35342,37025,38518,40582,40825,42439,43764,45069,45753,47161,49343,50192,52588,53873,56776,61242,64903
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1607425,1821846,2044949,2336549,2604750,2926196,3315850,3755178,4203631,4856142,5503499,6168349,6907088,7398046,8122559,9029617,9924069,10579122,11218103,11892469,12698245,13623991,14584909,15716823,16997222,18399209,19916776,20946191,22090706,23276952,23793149,25902268,27286817,28464938,29791114,31661160,33724554,36413866,38142287,40104568,39822961,40516436,42237450,42955681,42403148,45055408,46547942,48389113,49242339,51281543,54496964,58941554,63496066
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",498100,504448,523248,536587,558632,574666,588826,606418,626140,639377,658417,675420,686019,666598,681113,696232,710273,728853,747860,760009,772654,784981,802239,823782,846648,872413,897189,913427,926667,937029,945198,956641,966423,984906,1000840,1018994,1040389,1063230,1082623,1097162,1111613,1126630,1136398,1140702,1143673,1142544,1143563,1147338,1151290,1153967,1158291,1163143,1164315
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3227,3612,3908,4354,4663,5092,5631,6192,6714,7595,8359,9133,10068,11098,11925,12969,13972,14515,15000,15648,16435,17356,18180,19079,20076,21090,22199,22931,23839,24841,25173,27076,28235,28901,29766,31071,32415,34248,35231,36553,35824,35963,37168,37657,37076,39434,40704,42175,42771,44439,47049,50674,54535
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",540715,585596,623630,673545,744156,817493,899700,1000642,1102768,1216193,1346472,1445688,1568456,1639958,1701953,1807676,1924882,2033222,2119347,2243396,2434908,2572845,2698732,2887571,3031459,3164477,3276011,3459736,3633962,3797935,3964360,4135901,4248266,4359913,4521443,4758728,4934915,5116315,5418329,5640217,5695331,5866116,6191366,6255452,6213779,6448496,6758449,6852993,7048956,7362239,7572709,8190392,8666018
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",174621,174614,176193,178462,177311,177353,177286,176996,178072,178409,179185,178733,177808,178407,177606,176126,175678,175336,175566,175572,174450,174813,175552,175828,176668,177005,177002,176633,176239,175900,175324,174601,174065,173336,173150,172984,172501,172686,172850,172965,173057,173075,173138,172758,172062,171507,170703,169842,169372,168801,167783,166548,165656
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3097,3354,3539,3774,4197,4609,5075,5653,6193,6817,7514,8089,8821,9192,9583,10264,10957,11596,12072,12778,13958,14718,15373,16423,17159,17878,18508,19587,20620,21591,22612,23688,24406,25153,26113,27510,28608,29628,31347,32609,32910,33893,35760,36209,36114,37599,39592,40349,41618,43615,45134,49177,52313
 "89108","Amarillo-Pampa-Borger, TX (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",755023,807628,877216,932080,1073906,1171715,1458753,1580355,1733530,1956608,2213904,2439816,2842955,3160857,3416713,3630075,3785470,3768927,3799579,3916712,4067313,4234593,4340205,4625098,4900590,5122745,5402478,5620003,5988317,6247804,6377905,6678952,7283666,7477854,7779134,7916246,8497975,9140744,9781981,10916610,10418400,11319569,12104052,12533981,12792256,13459612,13433044,13289558,13732023,14228418,15030303,16129983,17290644
 "89108","Amarillo-Pampa-Borger, TX (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",222594,207668,211097,212922,211797,213028,216595,220328,224132,226832,233424,239867,244541,251925,255890,257510,256917,256635,253667,253229,251471,248885,250825,253271,257040,260550,266301,268954,270738,272238,274766,276455,276649,278244,280498,282436,285220,287781,290071,291985,295205,298328,301897,304256,305539,308117,308866,309561,310235,309965,310206,311361,312025
 "89108","Amarillo-Pampa-Borger, TX (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3392,3889,4156,4378,5070,5500,6735,7173,7734,8626,9484,10172,11626,12547,13352,14097,14734,14686,14979,15467,16174,17014,17304,18261,19065,19661,20287,20896,22118,22950,23212,24159,26328,26875,27733,28028,29794,31763,33723,37388,35292,37943,40093,41196,41868,43683,43491,42930,44263,45903,48453,51805,55414
 "89118","Appleton-Oshkosh-Neenah, WI (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",992523,1058302,1114810,1213807,1362073,1506153,1655746,1833976,2051980,2275389,2587725,2853550,3115122,3302676,3540487,3922631,4186471,4455541,4727945,5028521,5478297,5841088,6123577,6696620,7002739,7505082,7950409,8403316,8803342,9373457,9888889,10609429,11169734,11523751,11877878,12437681,12890156,13629512,14252986,14803781,14450710,14961725,15903447,16458521,16573170,17406349,18161811,18751646,19396160,20262738,21156328,22307818,23706900
 "89118","Appleton-Oshkosh-Neenah, WI (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",270626,277520,279552,280844,279519,279688,283921,282865,284914,285526,287629,291638,292020,292784,293632,296399,298887,301831,304849,309604,312280,316204,320302,324982,330346,334680,339381,343792,347575,351220,355296,359721,363839,367881,370790,373722,377376,381168,384405,387312,391061,393133,395609,398196,400730,402879,404790,406728,409550,411539,413890,414954,415707
 "89118","Appleton-Oshkosh-Neenah, WI (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3668,3813,3988,4322,4873,5385,5832,6484,7202,7969,8997,9785,10667,11280,12058,13234,14007,14762,15509,16242,17543,18473,19118,20606,21198,22425,23426,24443,25328,26688,27833,29493,30700,31325,32034,33281,34157,35757,37078,38222,36953,38058,40200,41333,41357,43205,44867,46104,47360,49236,51116,53760,57028
 "89120","Asheville-Marion-Brevard, NC (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",859009,922909,1010771,1143486,1303968,1434085,1562186,1752088,1962184,2200252,2446164,2783045,3134716,3337939,3660583,4071948,4337127,4622350,4961432,5396628,5905029,6291758,6629055,7150355,7629838,8025963,8640416,9123606,9863411,10518321,10875833,11443566,11892433,12007161,12282833,13244770,14016053,15225860,16164996,16735732,16233015,16592274,17241707,18200406,18263878,19527345,20718688,21678333,22703293,23993318,25621866,27241422,29550784
 "89120","Asheville-Marion-Brevard, NC (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",294893,296693,302028,304899,310101,314696,319713,322413,326741,332350,337090,342399,345426,349018,349827,354038,357360,360066,361251,363809,366745,370819,377116,383827,391883,399599,407214,415125,422757,429991,436193,442296,447319,452738,458462,464520,470973,479984,488248,494768,499731,503560,506118,509058,514030,518090,523266,529225,534563,539794,543586,546999,550223
 "89120","Asheville-Marion-Brevard, NC (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2913,3111,3347,3750,4205,4557,4886,5434,6005,6620,7257,8128,9075,9564,10464,11501,12137,12838,13734,14834,16101,16967,17578,18629,19470,20085,21218,21978,23331,24462,24934,25873,26586,26521,26791,28513,29760,31722,33108,33825,32484,32950,34067,35753,35531,37691,39595,40962,42471,44449,47135,49802,53707
 "89122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",8190208,8984935,9944355,11345703,12853745,14166835,15294660,16972296,19039572,21553349,24227800,27492988,31003538,33530571,37279210,42700226,47569226,52486180,57129436,62744433,67584307,72578349,75868339,82473582,88445929,95599023,104336677,113979060,122615996,136643304,147230470,161650357,170558038,174480923,180760540,191364039,204427627,220003085,230288173,229799050,223283329,228323064,244933839,253447013,257957324,279100070,297098842,311553515,331192123,350546616,373491520,396756659,428889885
