GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10000","Delaware",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2441193,2599931,2844088,3124948,3462300,3747067,4029225,4403982,4741121,5201590,5716943,6430508,7094131,7634123,8131632,8972541,9733839,10356846,11194189,12256360,13630691,14367121,15196277,15854345,16466756,17165308,18171954,19433856,20342252,22497390,24165267,26645281,29379184,30358952,31136926,32379482,33273931,35275330,36380424,36145189,36432931,36837784,39925002,40393268,41100328,43031603,45216125,46444792,48476204,51191230,53202507,55866750,60133631
 "10000","Delaware",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899762,908169,916572,925599,935160,944596,953030,961499,971072,981297,991886,1003384
 "10000","Delaware",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4521,4724,5032,5446,5979,6426,6844,7430,7971,8696,9547,10809,11903,12742,13431,14671,15743,16503,17575,18925,20707,21457,22247,22814,23312,23922,24902,26227,27069,29472,31181,33884,36922,37658,38065,38974,39370,41053,41733,40894,40856,40942,43962,44070,44404,46015,47868,48734,50417,52716,54217,56324,59931
 "10001","Kent, DE",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",299381,329298,366988,408579,456659,510034,562531,607527,649026,716082,771030,842712,949603,1026420,1090616,1193297,1286780,1388580,1495350,1638237,1799718,1913129,2032361,2143911,2209117,2313151,2466683,2644216,2705802,2932809,3149164,3452392,3480979,3700111,3958153,4299235,4507299,4873075,5119257,5283482,5530466,5564431,5899797,5984915,6186209,6420914,6565954,6875705,7187186,7528005,8019553,8482532,9287020
 "10001","Kent, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",80668,82633,86628,89512,90286,91026,92521,94465,96264,98251,99166,98280,98317,99225,100953,101261,102818,104713,106263,106965,109052,111638,114288,115682,117987,119039,120715,121447,122419,124056,125611,127229,129228,131824,134605,139342,144585,149704,153969,157925,160081,162940,164997,167072,168711,171031,172605,173940,175786,177853,180255,182256,184149
 "10001","Kent, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3711,3985,4236,4565,5058,5603,6080,6431,6742,7288,7775,8575,9659,10344,10803,11784,12515,13261,14072,15316,16503,17137,17783,18533,18723,19432,20434,21773,22103,23641,25071,27135,26937,28069,29406,30854,31174,32551,33249,33456,34548,34150,35757,35822,36667,37542,38040,39529,40886,42327,44490,46542,50432
 "10003","New Castle, DE",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1852561,1970847,2144881,2334212,2556144,2768293,2931313,3221263,3482374,3810995,4212725,4774262,5233515,5604685,5933139,6544964,7081819,7449087,8081139,8842671,9877227,10470849,11032472,11461393,11942826,12339740,13010731,13811911,14458239,16060674,17182108,18983137,21271517,21901688,21953724,22207042,22631976,23870369,24348933,23553577,23672129,23934906,26204744,26082854,25995033,27091234,28233695,28924727,30093022,31772844,32347754,33845320,36125614
 "10003","New Castle, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",379718,386875,394660,399024,401606,402466,404722,404630,404013,404245,402160,398528,399323,401475,404700,408235,411518,416660,422474,430684,437788,443784,450843,457210,462245,468297,474435,479995,485166,490382,496079,501837,506026,510158,514769,518944,523343,527174,530555,533958,536898,538997,543064,546934,551357,554745,558446,561010,562840,565277,568200,570718,571708
 "10003","New Castle, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4879,5094,5435,5850,6365,6878,7243,7961,8619,9427,10475,11980,13106,13960,14661,16032,17209,17878,19128,20532,22562,23594,24471,25068,25837,26350,27424,28775,29801,32751,34636,37827,42036,42931,42648,42793,43245,45280,45893,44111,44091,44406,48254,47689,47147,48835,50558,51558,53466,56208,56930,59303,63189
 "10005","Sussex, DE",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",289251,299786,332219,382157,449497,468740,535381,575192,609721,674513,733188,813534,911013,1003018,1107877,1234280,1365240,1519179,1617700,1775452,1953746,1983143,2131444,2249041,2314813,2512417,2694540,2977729,3178211,3503907,3833995,4209752,4626688,4757153,5225049,5873205,6134656,6531886,6912234,7308130,7230336,7338447,7820461,8325499,8919086,9519455,10416476,10644360,11195996,11890381,12835200,13538898,14720997
 "10005","Sussex, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",79614,80824,83919,85285,87186,89658,91513,93660,94544,95692,97504,98111,98334,98448,99806,102069,103943,106186,108209,109972,111434,114145,117949,122033,126146,130209,134584,139535,143902,148897,153300,157307,160445,164187,168629,172517,177222,182390,187225,191991,194751,197825,200108,202566,205531,209384,213545,218080,222873,227942,232842,238912,247527
 "10005","Sussex, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3633,3709,3959,4481,5156,5228,5850,6141,6449,7049,7520,8292,9264,10188,11100,12093,13135,14307,14950,16145,17533,17374,18071,18430,18350,19295,20021,21340,22086,23532,25010,26761,28837,28974,30985,34044,34616,35813,36919,38065,37126,37096,39081,41100,43395,45464,48779,48809,50235,52164,55124,56669,59472
"Note: See the included footnote file."
"CAINC1: County and MSA personal income summary: personal income, population, per capita personal income "
"Last updated: November 16, 2022-- new statistics for 2021; revised statistics for 2010-2020."
"U.S. Bureau of Economic Analysis"
