GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "12000","Florida",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25004933,28276202,31756352,36549964,42578343,47883133,52167930,57012352,63844262,73633283,84660155,99826771,115731189,125053376,138093067,153887607,168327413,182124030,197185189,216604769,241142909,257571430,268375219,284265992,301392581,317674941,341583501,363906819,385401971,416327815,436360727,472851789,497538688,514203187,540473560,588257449,642291218,697349656,727260678,729994125,686755798,732457478,771409454,800551723,802975701,861412339,919834894,954069719,1023855349,1088794675,1165093072,1235793410,1356318587
 "12000","Florida",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18842884,19039100,19271885,19507621,19795405,20145580,20537931,20871785,21133562,21354519,21569932,21781128
 "12000","Florida",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8939,10145,11354,11942,12846,13939,14829,15610,16436,17601,19081,19763,20073,20825,21641,22310,23496,24500,25378,26883,27689,29466,30418,30810,31785,33778,35999,38386,39594,39401,36818,38872,40517,41540,41162,43516,45659,46454,49055,51520,54560,57292,62270
 "12001","Alachua, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",300282,346661,398131,473571,557119,627768,700396,760890,836646,956871,1077953,1245651,1421220,1565113,1737466,1961864,2168325,2321172,2498570,2724906,3008312,3217618,3385168,3576362,3785902,3973353,4236195,4425419,4673546,4958807,5152505,5481992,5805070,5986050,6204109,6881488,7421133,8000397,8414206,8734846,8440115,8827457,9176637,9205974,9288631,9812356,10243444,10646919,11331803,12005372,12672514,13615822,14622893
 "12001","Alachua, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",100980,105140,108877,119784,125910,131232,132638,132788,137370,142724,146021,152223,155355,159113,161884,165452,169515,171732,174529,176874,179549,182723,188259,193494,197336,198919,203700,206601,210096,212707,215847,218611,221718,224614,227022,229867,233756,239506,242685,244888,246657,247790,250719,253121,254797,258537,262891,268595,271736,275214,276272,278684,279238
 "12001","Alachua, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2974,3297,3657,3954,4425,4784,5281,5730,6090,6704,7382,8183,9148,9836,10733,11858,12791,13516,14316,15406,16755,17609,17981,18483,19185,19975,20796,21420,22245,23313,23871,25076,26182,26650,27328,29937,31747,33404,34671,35669,34218,35625,36601,36370,36455,37953,38965,39639,41702,43622,45870,48858,52367
 "12003","Baker, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",24148,26727,30207,36134,43229,48216,55759,61915,68916,79074,89069,101218,114580,132073,144240,162740,173230,186622,201194,219955,236220,255001,265554,279192,294506,308591,326886,347695,369651,387626,418293,446473,477952,503301,537169,573823,602955,641767,681574,692621,676494,704838,721920,731442,744043,766246,804797,855689,905412,939367,987649,1058851,1169714
 "12003","Baker, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",9064,9304,9745,10544,11242,12367,12934,13250,14066,14569,15059,15389,15765,15985,16325,16400,16573,16959,17232,17618,18182,18594,19262,19567,19924,20034,20482,20965,21294,21232,21575,22374,22620,23298,23555,24142,24832,25571,26212,26725,27124,27038,26913,26804,26642,26643,26760,27180,27407,27414,28172,28309,28715
 "12003","Baker, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2664,2873,3100,3427,3845,3899,4311,4673,4899,5428,5915,6577,7268,8262,8836,9923,10453,11004,11676,12485,12992,13714,13786,14269,14781,15403,15960,16585,17359,18257,19388,19955,21130,21603,22805,23769,24281,25097,26002,25917,24941,26068,26824,27289,27927,28760,30075,31482,33036,34266,35058,37403,40735
 "12005","Bay, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",228539,266684,296150,328489,375372,428739,480586,541800,588134,676419,745715,855685,980853,1077257,1182285,1337512,1462309,1580916,1655515,1795461,1943037,2110886,2272260,2426372,2595262,2696586,2922448,3077315,3230551,3388156,3503525,3653563,4015740,4246402,4550373,4895854,5307800,5693338,5931960,6124102,5953010,6279820,6444207,6511329,6601025,6966345,7380417,7588404,7699559,8004612,8214021,8791753,9671542
