GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "13000","Georgia",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",14980053,16310397,18009654,20206129,22848185,25067819,27084317,30146592,33332134,37818959,42321274,47192827,53458827,57866802,63379476,71862580,78685453,85846419,92434090,100796670,108619295,116149869,121895048,131979043,140173332,150941952,162948300,176085673,187547917,205649667,219284087,237369666,249320731,256379952,266411419,280916744,298525829,318543834,333611490,336828308,329744586,338275543,361250577,371456775,377202210,402790922,427437432,444023658,469213499,493507358,522393012,557601204,602464048
 "13000","Georgia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712576,9805488,9906963,9980513,10077700,10191467,10318225,10428498,10532566,10642947,10725800,10799566
 "13000","Georgia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3292,3542,3823,4203,4656,5019,5354,5881,6396,7154,7850,8602,9600,10242,11064,12316,13196,14109,14888,15959,16942,17835,18322,19360,20087,21090,22235,23475,24404,26152,27254,28851,29762,30133,30896,32034,33445,34791,35680,35438,34274,34829,36842,37495,37794,39969,41941,43033,44993,46855,49083,51987,55786
 "13001","Appling, GA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",26143,31043,36680,46767,54911,56580,64640,70875,69901,86607,88489,91855,116835,129558,135829,159210,156844,172412,172685,176694,186734,192602,213227,225182,237590,267649,275889,290346,304581,311227,326808,341958,345935,341598,363479,374412,392536,393791,420070,440111,451326,469235,506125,510623,521759,540338,580377,588422,612617,622250,654300,716440,773961
 "13001","Appling, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12457,12827,13341,13647,14376,14546,14765,15185,15536,15527,15205,15529,15362,15601,15787,15977,15857,15745,15719,15814,15749,15776,16020,16172,16273,16323,16540,16728,16892,17116,17323,17396,17455,17502,17732,17740,17769,17725,17985,18133,18144,18339,18473,18406,18402,18514,18475,18508,18522,18624,18484,18428,18488
 "13001","Appling, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2099,2420,2749,3427,3820,3890,4378,4667,4499,5578,5820,5915,7605,8304,8604,9965,9891,10950,10986,11173,11857,12209,13310,13924,14600,16397,16680,17357,18031,18183,18866,19657,19819,19518,20498,21106,22091,22217,23357,24271,24875,25587,27398,27742,28353,29185,31414,31793,33075,33411,35398,38878,41863
 "13003","Atkinson, GA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",11802,12392,13820,16037,19732,21180,23319,24842,24009,29668,31676,33419,41926,48330,50811,57730,58444,63150,64797,71752,77679,80241,83158,92080,96306,110388,118316,126487,129160,134629,141959,136372,143897,144704,155714,163459,172932,172671,177163,192239,188246,182232,197389,200166,206691,207654,228733,221872,238413,240417,248210,268969,298104
 "13003","Atkinson, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5969,5826,5706,5799,5932,5957,6008,6091,6124,6187,6085,6151,6180,6177,6132,6196,6332,6373,6298,6265,6231,6223,6240,6330,6579,6718,6914,7160,7373,7408,7575,7591,7641,7748,7990,7985,8096,8197,8346,8366,8386,8361,8348,8235,8235,8175,8285,8238,8194,8271,8188,8301,8391
 "13003","Atkinson, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1977,2127,2422,2765,3326,3555,3881,4078,3920,4795,5206,5433,6784,7824,8286,9317,9230,9909,10289,11453,12467,12894,13327,14547,14638,16432,17113,17666,17518,18173,18740,17965,18832,18676,19489,20471,21360,21065,21227,22979,22448,21795,23645,24307,25099,25401,27608,26933,29096,29067,30314,32402,35527
 "13005","Bacon, GA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",19623,22381,24858,27861,31399,36941,37802,39430,41530,49189,51132,55979,63182,66344,70825,81776,85895,93616,101801,111175,117378,120869,130304,139212,145931,157303,166273,174519,176340,186480,189779,198452,206506,199378,210613,217852,226772,227581,243198,261177,264309,270908,295229,297645,303298,315398,331040,338341,352033,349276,365513,420468,437302
