GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "19000","Iowa",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",10374042,11094958,11641612,13040147,15654782,16224999,18133702,19280266,21275256,24537218,26298368,27993694,31680973,32544391,33149477,36944129,38216260,39480301,41377402,42759779,46555049,49023054,50144695,53791872,54052557,58946166,61328566,66840910,69956071,73171914,75098662,80228537,82571095,84424009,86443807,93643080,96704540,102746788,110011004,116756720,113084524,116906023,125978180,132158943,134757839,139531286,144587626,145790014,149420300,155916366,160360644,169994224,182524514
 "19000","Iowa",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2805000,2828534,2851828,2860506,2864031,2867941,2881425,2903770,2914308,2919008,2916803,2914018,2907985,2888190,2870547,2858615,2829684,2791969,2767006,2768393,2770590,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3051447,3069937,3082570,3102253,3121583,3136111,3149432,3162621,3171441,3183831,3188669,3193079
 "19000","Iowa",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3698,3923,4082,4559,5466,5657,6293,6640,7300,8406,9016,9607,10894,11268,11548,12924,13505,14141,14954,15446,16803,17628,17924,19086,19053,20677,21388,23209,24197,25207,25740,27390,28162,28772,29383,31704,32621,34448,36680,38703,37286,38312,41036,42873,43439,44699,46104,46291,47246,49163,50367,53312,57163
 "19001","Adair, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",30762,33210,33894,40324,54485,47937,53433,61234,58593,75919,74759,71279,88273,88710,83492,99037,105609,116050,115467,114826,131641,136017,132384,146290,134502,156702,145611,174613,176744,183687,189134,210577,211813,218189,215629,248148,229172,237528,252101,291513,273620,270370,306972,311232,324695,327494,336749,326310,343849,365374,373800,406177,465772
 "19001","Adair, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",9236,9437,9276,9460,9563,9311,9298,9332,9369,9432,9545,9490,9396,9258,9210,9147,8935,8700,8550,8509,8431,8397,8430,8441,8483,8380,8366,8363,8310,8305,8298,8223,8132,8059,8050,8019,7932,7924,7871,7747,7676,7690,7599,7562,7522,7545,7358,7259,7343,7365,7484,7477,7541
 "19001","Adair, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3331,3519,3654,4263,5697,5148,5747,6562,6254,8049,7832,7511,9395,9582,9065,10827,11820,13339,13505,13495,15614,16198,15704,17331,15855,18700,17405,20879,21269,22118,22793,25608,26047,27074,26786,30945,28892,29976,32029,37629,35646,35159,40396,41157,43166,43405,45766,44952,46827,49610,49947,54324,61765
 "19003","Adams, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",19855,21473,22157,24892,35259,28764,33799,39613,35670,44403,44498,43210,53008,55112,52357,55583,60978,67239,69514,63405,72136,73505,73615,78689,71737,84786,77390,98179,97930,100835,103884,119548,113761,118429,113144,134707,124133,117277,128215,153871,148519,149477,190527,188277,215985,239342,260352,234331,217961,217366,207754,197974,226554
 "19003","Adams, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",6122,6309,6280,6280,6078,5975,5919,5821,5912,5938,5847,5713,5631,5556,5494,5423,5307,5199,5217,5095,4987,4845,4748,4687,4634,4616,4578,4534,4503,4493,4498,4476,4402,4370,4365,4307,4226,4224,4195,4151,4047,4026,4009,3936,3928,3923,3811,3759,3735,3718,3703,3697,3641
 "19003","Adams, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3243,3404,3528,3964,5801,4814,5710,6805,6033,7478,7610,7563,9414,9919,9530,10249,11490,12933,13325,12445,14465,15171,15504,16789,15481,18368,16905,21654,21748,22443,23096,26709,25843,27100,25921,31276,29374,27764,30564,37068,36699,37128,47525,47835,54986,61010,68316,62339,58356,58463,56104,53550,62223
 "19005","Allamakee, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",45763,49126,50926,56484,71175,70859,82470,98980,100868,111602,110896,108788,129033,132685,129046,163155,163334,173249,183516,179854,201160,211065,207323,227143,224322,243699,252155,280645,289548,306244,309265,330020,339244,347428,355776,384337,400320,416823,441107,463325,450837,497307,542323,551228,592432,607121,624223,614476,620130,644786,663473,696855,749313
 "19005","Allamakee, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",15151,15015,15261,15441,15105,14964,15169,15255,15649,15730,15382,15091,14988,14870,14889,14829,14640,14384,14160,14162,14066,13836,13996,14123,14231,14248,14484,14468,14487,14611,14651,14674,14333,14289,14345,14324,14371,14378,14335,14325,14263,14388,14278,14248,14215,14251,14105,14113,14121,14185,14062,14067,13926
 "19005","Allamakee, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3020,3272,3337,3658,4712,4735,5437,6488,6446,7095,7209,7209,8609,8923,8667,11002,11157,12045,12960,12700,14301,15255,14813,16083,15763,17104,17409,19398,19987,20960,21109,22490,23669,24314,24801,26832,27856,28990,30771,32344,31609,34564,37983,38688,41677,42602,44255,43540,43915,45455,47182,49538,53807
 "19007","Appanoose, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",43936,45984,50323,56562,67570,71169,80333,91388,95988,103915,117304,124236,134717,139595,138937,146400,148972,158054,161894,163642,176449,186306,193531,204959,205647,222163,222382,245407,251601,263809,269503,286019,287903,297552,306178,329665,328704,344072,349112,377631,383478,384924,402176,411280,418293,419603,444629,446097,464571,477153,490877,528773,568674
 "19007","Appanoose, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",15073,15046,15225,15484,14969,14693,14875,15155,15588,15406,15528,15488,15362,15157,14864,14640,14388,14150,14116,13960,13818,13744,13768,13865,13903,13726,13723,13752,13677,13761,13709,13696,13578,13420,13522,13462,13453,13319,13105,12950,12896,12857,12835,12682,12613,12618,12514,12429,12268,12353,12396,12282,12257
 "19007","Appanoose, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2915,3056,3305,3653,4514,4844,5401,6030,6158,6745,7554,8021,8769,9210,9347,10000,10354,11170,11469,11722,12770,13555,14057,14782,14792,16186,16205,17845,18396,19171,19659,20883,21204,22172,22643,24489,24434,25833,26640,29161,29736,29939,31334,32430,33164,33254,35531,35892,37869,38626,39600,43053,46396
 "19009","Audubon, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",34827,34728,34365,39658,51806,46667,52104,52836,54472,71803,67276,66803,82899,77789,72397,91401,99347,99512,106657,101787,117144,118403,122692,129739,116626,134177,134140,158797,163410,154978,150620,171599,169479,174765,173651,213103,206036,211010,225444,249522,226572,240437,290082,264331,278170,258499,252389,242976,258072,277070,288811,302148,353726
 "19009","Audubon, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",9421,9564,9385,9415,9143,8900,8909,8957,8975,9016,8855,8545,8467,8356,8243,8312,8095,7848,7605,7509,7404,7335,7251,7141,7038,6992,6954,6920,6916,6893,6896,6804,6664,6572,6479,6430,6324,6265,6222,6200,6136,6099,6025,5906,5924,5851,5809,5745,5687,5637,5665,5671,5635
 "19009","Audubon, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3697,3631,3662,4212,5666,5243,5848,5899,6069,7964,7598,7818,9791,9309,8783,10996,12273,12680,14025,13555,15822,16142,16921,18168,16571,19190,19290,22948,23628,22483,21842,25220,25432,26592,26802,33142,32580,33681,36233,40245,36925,39422,48146,44756,46956,44180,43448,42293,45379,49152,50982,53279,62773
 "19011","Benton, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",83185,89331,92120,103287,128250,127710,145176,148734,163147,200055,207727,213778,248195,247465,247728,284922,285780,308649,316808,312262,352350,365582,370039,401598,402698,447193,474061,532164,565073,588353,606814,680708,698754,709769,711762,779536,791672,832352,918525,1006950,1010940,1051870,1117459,1151399,1184170,1221300,1254302,1261128,1311538,1348179,1392186,1469854,1620376
 "19011","Benton, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",22564,22918,22968,22944,22879,22763,22940,23028,23391,23459,23671,23651,23603,23301,22905,22822,22515,22345,22214,22294,22439,22425,22526,22712,23223,23552,23962,24249,24453,24823,25214,25326,25532,25829,25946,26181,26265,26137,26066,26097,26117,26053,26096,25859,25742,25677,25679,25718,25749,25657,25668,25536,25691
 "19011","Benton, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3687,3898,4011,4502,5606,5610,6329,6459,6975,8528,8776,9039,10515,10620,10815,12485,12693,13813,14262,14007,15703,16302,16427,17682,17340,18987,19784,21946,23109,23702,24067,26878,27368,27480,27432,29775,30142,31846,35238,38585,38708,40374,42821,44526,46001,47564,48845,49037,50935,52546,54238,57560,63072
 "19013","Black Hawk, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",462774,491647,521144,584081,664601,740751,831096,898733,1042599,1144686,1284059,1423683,1566822,1587121,1597481,1660839,1645086,1624383,1715915,1813055,1967259,2063357,2120984,2259359,2318827,2469674,2585165,2702118,2874210,3000761,3007596,3197986,3266914,3405059,3481200,3700014,3818148,4036630,4251725,4491068,4495896,4598496,4904731,5142686,5125376,5331857,5458216,5449354,5577756,5924889,5995248,6415743,6767471
 "19013","Black Hawk, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",131135,133020,133413,132415,132809,132409,133086,134212,134918,136176,136183,138013,137897,136836,135579,133873,130073,126207,123818,122448,123256,124155,125601,126142,126976,127150,126936,127392,127275,127743,127786,128019,127765,126876,126491,126682,127021,127486,127756,129203,130595,131171,131631,131963,133052,133548,133907,133313,132473,131990,131333,130980,130368
 "19013","Black Hawk, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3529,3696,3906,4411,5004,5594,6245,6696,7728,8406,9429,10316,11362,11599,11783,12406,12647,12871,13858,14807,15961,16619,16887,17911,18262,19423,20366,21211,22583,23491,23536,24981,25570,26838,27521,29207,30059,31663,33280,34760,34426,35057,37261,38971,38522,39925,40761,40876,42105,44889,45649,48983,51911
 "19015","Boone, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",95591,102458,107240,122528,151491,159245,176223,178959,181372,231887,246407,265102,294948,301967,312492,332739,349755,371032,392970,398745,437535,446540,465339,500841,498525,551801,563333,617121,643541,662029,676589,734550,751968,785419,817505,871633,879517,950446,993861,1021821,1038041,1035001,1117688,1137028,1180058,1192973,1194785,1190880,1205968,1246292,1285607,1364007,1456958
 "19015","Boone, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",25734,26562,26932,27487,26841,26462,26160,26254,26452,26358,26348,26214,26276,26058,25897,25709,25509,25316,25154,25175,25109,25200,25335,25259,25133,25161,25456,25742,26023,25930,26164,26251,26249,26086,26232,26372,26500,26471,26553,26454,26360,26282,26339,26231,26430,26481,26689,26697,26804,26703,26726,26691,26723
 "19015","Boone, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3715,3857,3982,4458,5644,6018,6736,6816,6857,8798,9352,10113,11225,11588,12067,12943,13711,14656,15623,15839,17425,17720,18367,19828,19835,21931,22130,23973,24730,25531,25860,27982,28647,30109,31164,33051,33189,35905,37429,38626,39379,39381,42435,43347,44648,45050,44767,44607,44992,46672,48103,51104,54521
 "19017","Bremer, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",79182,84182,91438,99380,121428,127903,139161,147097,170088,190547,205938,225000,254613,257329,260090,292863,296905,295322,305563,312103,346284,374711,384378,424920,429027,464210,484925,533173,563147,571221,565430,612745,633417,644926,646286,730911,757138,794461,855781,899474,888717,937224,1018291,1065296,1058904,1082450,1107417,1123045,1163593,1214447,1262466,1350144,1451585
 "19017","Bremer, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",22246,22740,22792,23058,23330,23789,23817,23769,23856,24048,24293,24823,24782,24661,24533,24199,23712,23226,22712,22516,22706,22854,22931,23038,23157,23098,23183,23301,23292,23322,23398,23312,23506,23386,23549,23728,23833,24054,24237,24162,24183,24289,24345,24430,24485,24547,24594,24603,24637,24766,24880,24974,25081
 "19017","Bremer, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3559,3702,4012,4310,5205,5377,5843,6189,7130,7924,8477,9064,10274,10435,10602,12102,12521,12715,13454,13861,15251,16396,16762,18444,18527,20097,20917,22882,24178,24493,24166,26285,26947,27577,27444,30804,31768,33028,35309,37227,36750,38586,41828,43606,43247,44097,45028,45647,47229,49037,50742,54062,57876
 "19019","Buchanan, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",65937,71290,72943,84009,107591,115476,131057,132529,148556,171943,181606,185450,215500,215830,206093,248050,248543,250072,275959,272280,305405,322659,330394,352094,341165,383538,387161,433674,460701,470429,465267,506671,523692,524664,532998,586672,611479,642291,702503,737469,759881,785195,881293,887191,928259,916105,927307,929141,966946,1010672,1023704,1081321,1181571
 "19019","Buchanan, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",20824,21702,21553,21603,22034,22099,22497,22693,23072,23129,23220,22936,23032,22976,22739,22253,21810,21079,20786,20761,20890,20842,20902,20952,21091,21230,21141,21126,21084,21088,21158,21064,20952,20796,20822,20910,20831,20957,21069,21154,21016,20958,20827,20844,20810,20849,20757,20583,20647,20588,20530,20586,20657
 "19019","Buchanan, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3166,3285,3384,3889,4883,5225,5826,5840,6439,7434,7821,8086,9357,9394,9063,11147,11396,11864,13276,13115,14620,15481,15807,16805,16176,18066,18313,20528,21851,22308,21990,24054,24995,25229,25598,28057,29354,30648,33343,34862,36157,37465,42315,42563,44606,43940,44674,45141,46832,49090,49864,52527,57200
 "19021","Buena Vista, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",82923,87830,90354,99733,127302,125748,135829,124655,158452,181540,185694,197815,230116,225005,224393,252956,274779,284968,285834,297213,324350,327625,332657,356266,344469,387372,400967,450516,470388,467385,468332,505343,521227,527544,521026,577388,573454,590829,641507,726199,693757,759028,853343,905829,927941,929062,927255,819839,851336,900684,881874,946343,1017914
 "19021","Buena Vista, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",20747,20748,21036,21219,21017,20884,20795,20861,20938,20930,20636,20806,20890,20854,20749,20927,20572,20406,20102,20166,20053,19992,20076,20299,20578,20497,20500,20506,20427,20301,20508,20361,20241,20233,20141,20000,19970,19909,19798,19855,20004,20381,20434,20786,20980,21041,20903,20958,20882,20622,20601,20776,20771
 "19021","Buena Vista, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3997,4233,4295,4700,6057,6021,6532,5976,7568,8674,8999,9508,11016,10790,10815,12088,13357,13965,14219,14738,16175,16388,16570,17551,16740,18899,19559,21970,23028,23023,22837,24819,25751,26073,25869,28869,28716,29676,32403,36575,34681,37242,41761,43579,44230,44155,44360,39118,40769,43676,42807,45550,49006
 "19023","Butler, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",55517,58395,61055,69877,93452,89916,104047,105513,118957,144441,146792,153226,170792,169521,169619,205648,211860,207978,216823,210998,225988,248111,252301,276029,263261,294659,296266,337932,341391,344335,337485,368628,382875,386089,383891,454724,460827,474340,524825,534216,531494,566547,657283,638728,645021,612395,610848,607435,633249,665011,675739,713471,825576
 "19023","Butler, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",16660,16941,17004,17104,17232,17355,17351,17480,17717,17715,17827,17657,17573,17431,17254,17101,16782,16324,15988,15967,15826,15713,15788,15709,15578,15578,15573,15531,15501,15406,15286,15299,15065,14926,14939,14985,14965,14931,14961,14957,14699,14915,14964,14969,14969,14952,14873,14685,14583,14505,14391,14311,14332
 "19023","Butler, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3332,3447,3591,4085,5423,5181,5997,6036,6714,8154,8234,8678,9719,9725,9831,12025,12624,12741,13562,13215,14280,15790,15981,17571,16900,18915,19024,21759,22024,22351,22078,24095,25415,25867,25697,30345,30794,31769,35080,35717,36159,37985,43924,42670,43090,40957,41071,41364,43424,45847,46956,49855,57604
