GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2390991,2647659,2894151,3304340,3820515,4497360,4866714,5436242,5942337,6829893,7469176,8394944,9237600,9699648,10599546,11294307,11932755,12177177,12724367,13765671,15146937,16352310,17190924,18904843,20720800,22179369,23842687,25334944,26420121,28531415,30218461,32723608,34054339,35161640,36440794,39412241,41979226,46227770,49227031,50388905,48624503,50432553,53273739,56177068,58403714,61801361,65475653,68009336,71888435,76435163,83031533,91448460,99549587
 "16000","Idaho",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1571266,1586530,1600013,1618042,1640181,1662421,1696089,1734030,1768643,1808039,1847772,1900923
 "16000","Idaho",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3382,3691,3918,4329,4885,5566,5850,6343,6726,7497,8009,8856,9600,9961,10795,11399,12004,12297,12918,13966,15232,16152,16509,17640,18688,19368,20252,21058,21506,22783,23688,25183,25799,26233,26728,28317,29392,31476,32707,32841,31281,32097,33579,35110,36095,37680,39386,40098,41457,43217,45924,49491,52369
 "16001","Ada, ID",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",450465,512191,578499,654743,745922,862053,1014982,1158730,1325478,1546456,1708750,1897744,2090107,2240075,2407482,2649168,2869634,2959609,3141294,3466861,3830835,4161641,4496472,5083537,5688447,6416497,7000247,7383228,7771687,8538773,9323483,10548097,10590037,11044346,11423000,12348808,13178255,14801931,15290307,15193962,14751442,15166016,15994055,17004314,17899769,19348381,20567607,21504165,23042632,24779499,26618909,29369195,32051963
 "16001","Ada, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",110299,112998,117830,123135,129727,135542,141060,147335,154515,162278,168779,174090,177613,180481,182911,186280,189811,191039,192926,195508,200950,207722,216798,225266,236477,247225,256860,266290,274325,284946,294292,303328,313896,321616,327393,334926,348755,363498,375368,382618,388577,393444,401731,409727,417202,427131,434962,446983,459432,472035,485166,497984,511931
 "16001","Ada, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4084,4533,4910,5317,5750,6360,7195,7865,8578,9530,10124,10901,11768,12412,13162,14221,15118,15492,16282,17733,19064,20035,20740,22567,24055,25954,27253,27726,28330,29966,31681,34775,33737,34340,34891,36870,37787,40721,40734,39711,37963,38547,39813,41502,42904,45298,47286,48110,50155,52495,54866,58976,62610
 "16003","Adams, ID",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",11201,11009,12093,14064,15310,18412,19888,22979,23524,27476,30132,30491,32048,33805,36484,41280,40687,38361,41778,44991,45789,45517,46808,51137,55415,58074,59168,61350,65706,69655,71776,76523,75758,82149,85221,94755,99651,105655,112334,114504,108525,110623,116922,121323,122771,129737,137898,145009,146667,154324,170294,188002,204708
 "16003","Adams, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2872,2880,2880,3006,3088,3174,3169,3090,3244,3341,3370,3333,3276,3237,3315,3413,3372,3380,3196,3321,3223,3257,3306,3457,3583,3692,3676,3693,3572,3531,3517,3477,3495,3559,3624,3693,3817,3788,3949,4021,4000,3962,3978,3903,3860,3877,3882,3933,4114,4198,4246,4424,4625
 "16003","Adams, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3900,3823,4199,4679,4958,5801,6276,7437,7252,8224,8941,9148,9783,10443,11006,12095,12066,11349,13072,13547,14207,13975,14158,14792,15466,15730,16096,16613,18395,19727,20408,22008,21676,23082,23516,25658,26107,27892,28446,28476,27131,27921,29392,31085,31806,33463,35522,36870,35651,36761,40107,42496,44261
 "16005","Bannock, ID",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",163243,180403,197548,221291,245415,288684,332065,389601,428435,484031,533850,578044,625003,665608,709757,744846,804872,800033,816251,850233,911170,959674,1025897,1114719,1199290,1261196,1326803,1394924,1454686,1532337,1574476,1643654,1728815,1780383,1854434,1969332,2051745,2186422,2292114,2377849,2349549,2415167,2519463,2593579,2633332,2745669,2879500,2962748,3131368,3218063,3396127,3713376,4010978
