GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",48484524,51524271,55317370,60029922,66967657,73216354,79866258,86832272,95459667,105341668,115569523,125210963,138876970,147011703,153020000,168717146,177209780,186405471,197182970,212642707,226917198,240801311,245871942,265737040,275362591,290054676,307809314,327552925,346339144,367298557,383972540,412965474,428339195,433314863,442126402,459761463,478865630,510377022,539737436,553983863,526967646,543084289,569775540,595073548,609778574,638639973,666943662,673690951,692895877,728666995,750935641,794459502,852082061
 "17000","Illinois",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12845511,12892740,12928106,12960987,12970348,12964764,12946698,12924504,12888646,12850150,12785245,12671469
 "17000","Illinois",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4392,4632,4936,5332,5947,6494,7064,7644,8369,9213,10117,10950,12136,12869,13412,14784,15545,16370,17310,18669,19888,21025,21253,22724,23317,24349,25633,27066,28422,29930,31068,33212,34299,34594,35212,36519,37975,40365,42513,43460,41180,42278,44194,46029,47047,49238,51443,52036,53611,56536,58438,62139,67244
 "17001","Adams, IL",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",254479,271131,302335,334037,385498,400075,446121,473878,510360,556895,623222,662565,734653,794467,802684,868160,886592,910399,940678,1008211,1057473,1102881,1130301,1214883,1245449,1336227,1399913,1482114,1542301,1604177,1622558,1719957,1793988,1837142,1920399,2009357,2007313,2099708,2223450,2354968,2341179,2450153,2545687,2639739,2663503,2745945,2826841,2874964,2927454,3050914,3109458,3346751,3588936
 "17001","Adams, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",70840,70696,70526,71906,72739,72721,72325,71944,71281,71637,71274,71588,71325,71174,70392,69501,68547,67405,66829,66691,66356,66109,66689,66920,67558,68394,68636,68680,68715,68681,68430,68183,68014,67776,67267,66818,66920,67106,66943,66943,67039,67178,67312,67325,67258,67313,67257,66971,66628,66230,66102,65530,64954
 "17001","Adams, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3592,3835,4287,4645,5300,5502,6168,6587,7160,7774,8744,9255,10300,11162,11403,12491,12934,13506,14076,15118,15936,16683,16949,18154,18435,19537,20396,21580,22445,23357,23711,25226,26377,27106,28549,30072,29996,31289,33214,35179,34923,36473,37819,39209,39601,40794,42030,42928,43937,46065,47040,51072,55254
 "17003","Alexander, IL",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",30459,32288,36269,38505,41923,49242,57674,62403,66913,68691,76093,81074,89811,97834,104805,108959,116095,110355,112718,116469,127056,123798,130368,139428,140767,142272,147100,155026,159746,159361,161844,167143,170195,174770,178476,184149,184674,185620,193920,204187,208112,218459,209656,201507,214952,208075,209637,207244,207923,208546,218448,243352,261429
 "17003","Alexander, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",12442,12010,12173,12253,12311,12094,12379,12746,12624,12219,12285,12280,12323,12056,11948,11945,11677,11415,11342,11137,10776,10579,10518,10452,10265,10053,9989,9889,9659,9632,9621,9684,9592,9592,9254,9186,8914,8730,8552,8461,8295,8193,7934,7618,7103,6906,6554,6211,6010,5752,5479,5168,5030
 "17003","Alexander, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2448,2688,2979,3142,3405,4072,4659,4896,5300,5622,6194,6602,7288,8115,8772,9122,9942,9668,9938,10458,11791,11702,12395,13340,13713,14152,14726,15677,16539,16545,16822,17260,17743,18220,19286,20047,20717,21262,22675,24133,25089,26664,26425,26451,30262,30130,31986,33367,34596,36256,39870,47088,51974
 "17005","Bond, IL",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",45517,48484,53320,61087,72857,75911,90714,97849,108379,115459,129195,130755,149610,156100,156499,177559,179332,186981,194117,205841,219126,223306,226906,254382,268715,295024,306812,329319,349660,364841,393270,418302,444792,442966,455370,479890,473393,490365,486817,512179,506435,529079,545189,543478,550087,542780,557989,576727,582692,611384,631386,680902,741056
 "17005","Bond, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",14056,14047,14411,14950,15265,15544,15573,15838,15975,15667,16230,16282,16489,16132,15932,15748,15599,15538,15503,15321,15004,15027,15165,15251,15396,16076,17100,17267,17378,17588,17532,17659,17586,17735,17960,18101,17988,18004,18077,17916,17747,17800,17781,17634,17468,17252,16900,16805,16947,17003,16829,16663,16596
 "17005","Bond, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3238,3452,3700,4086,4773,4884,5825,6178,6784,7370,7960,8031,9073,9676,9823,11275,11496,12034,12521,13435,14605,14860,14962,16680,17454,18352,17942,19072,20121,20744,22432,23688,25292,24977,25355,26512,26317,27236,26930,28588,28536,29724,30661,30820,31491,31462,33017,34319,34383,35957,37518,40863,44653
 "17007","Boone, IL",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",106828,113982,127652,136500,155062,165886,185301,197434,208751,244706,271904,281003,315774,321739,343328,402036,435666,463867,477978,534549,560998,582206,592539,652808,697871,790310,861865,925780,983219,1055993,1166581,1193143,1222326,1273743,1348392,1409509,1537133,1723033,1859584,1943429,1858085,1902629,2025574,2105886,2146893,2186880,2261765,2354936,2425380,2530004,2572236,2708185,2896954
 "17007","Boone, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",24986,25427,25643,26392,27038,27383,27413,27625,28038,28686,29238,28750,29179,29213,29133,29175,29483,29629,29641,30111,30361,30981,31810,32901,33933,35268,36651,37956,38853,39864,40844,42052,43220,44585,46242,47893,49725,51797,53512,54211,54154,54109,54194,53856,53921,53942,53866,53910,53888,53829,53797,53326,53159
 "17007","Boone, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4276,4483,4978,5172,5735,6058,6760,7147,7445,8531,9300,9774,10822,11014,11785,13780,14777,15656,16126,17753,18478,18792,18627,19842,20566,22409,23515,24391,25306,26490,28562,28373,28281,28569,29159,29430,30913,33265,34751,35849,34311,35163,37376,39102,39816,40541,41989,43683,45008,47001,47814,50785,54496
 "17009","Brown, IL",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",16954,18293,20405,24233,29264,28916,35962,34781,37322,42362,46979,44576,53728,56820,54084,63077,65378,66288,66285,62068,71433,68428,70428,80684,84996,89948,92002,102354,105796,111476,106827,115268,128429,124962,134388,147382,137850,140410,145382,150437,161757,173310,180264,191093,203944,195893,201045,208115,215978,229353,241332,263574,287275
