GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "18000","Indiana",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",19238335,20028723,21793740,23846523,27368399,29274320,31607533,35131556,38900918,43398431,47805688,51418727,56406955,58429262,61276454,68009268,71812804,75637237,80257463,85926055,93580934,98748774,101775143,110147929,116112382,123384197,129005550,136363455,143496312,154708362,160797555,171501465,175494336,178021079,182928699,191918747,198189001,209756226,217254190,227486536,221343202,231707192,246494012,258136431,261702287,272244928,282821367,290604355,300964630,315740439,329625049,354337721,384520045
 "18000","Indiana",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6491352,6521259,6546242,6581101,6609839,6628556,6658366,6685900,6725753,6761742,6785644,6805985
 "18000","Indiana",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3741,3849,4151,4503,5136,5472,5907,6540,7197,7968,8732,9365,10292,10686,11243,12460,13154,13868,14664,15646,16942,17768,18121,19411,20232,21297,22047,23089,24096,25790,26600,28153,28639,28918,29521,30791,31566,33123,34055,35408,34267,35695,37799,39433,39766,41188,42667,43645,45015,46945,48749,52219,56497
 "18001","Adams, IN",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",92078,99978,108534,121333,147919,149019,152805,176386,194394,217533,235740,240334,267899,284537,301410,352014,365782,392533,419080,451541,481880,494145,494027,518807,554071,593417,605777,638072,690323,724967,750836,802169,828213,827017,863133,919837,907707,939870,960918,985514,931152,977193,1085282,1161114,1213751,1263257,1253849,1270788,1336609,1390338,1428077,1533301,1697688
 "18001","Adams, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",26689,26889,27176,27150,27966,28005,28226,28436,29020,29320,29647,29654,29729,29759,29884,30116,30281,30427,30836,31191,31053,31160,31385,31545,31758,32204,32565,32866,32972,33346,33544,33597,33556,33523,33746,33822,33867,33887,33962,34214,34351,34443,34371,34410,34658,34775,34967,35221,35415,35571,35694,35826,35961
 "18001","Adams, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3450,3718,3994,4469,5289,5321,5414,6203,6699,7419,7952,8105,9011,9561,10086,11689,12080,12901,13591,14477,15518,15858,15741,16447,17447,18427,18602,19414,20937,21741,22384,23876,24682,24670,25577,27196,26802,27735,28294,28804,27107,28371,31576,33744,35021,36327,35858,36080,37741,39086,40009,42799,47209
 "18003","Allen, IN",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1099839,1164105,1259456,1392461,1553427,1698096,1775233,1985256,2238983,2506584,2787591,2965893,3239163,3303604,3423113,3793661,4113591,4501634,4833603,5310007,5784813,6042857,6090633,6620483,6860372,7263856,7687817,8050001,8426356,9125003,9479220,9972771,9937760,10155245,10147829,10585109,10953478,11786104,12241745,12487389,11958270,12379392,13223359,13932907,13976092,14846653,15661141,16015353,16471622,17440354,18130068,19541434,21249580
 "18003","Allen, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",274948,281297,284941,287484,288529,289687,288951,287950,288762,292275,294194,293834,291174,288893,286852,286409,289455,293544,298230,299649,300658,301659,304430,307128,309985,312277,314778,318087,321527,325489,328699,332786,334956,337124,339569,340916,343238,346314,349534,351264,353693,356044,359463,361762,364617,366813,369446,371849,374509,378174,382508,385892,388608
 "18003","Allen, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4000,4138,4420,4844,5384,5862,6144,6894,7754,8576,9475,10094,11124,11435,11933,13246,14212,15335,16208,17721,19241,20032,20007,21556,22131,23261,24423,25308,26207,28035,28839,29968,29669,30123,29884,31049,31912,34033,35023,35550,33810,34769,36786,38514,38331,40475,42391,43070,43982,46117,47398,50640,54681
 "18005","Bartholomew, IN",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",224503,238843,261594,285134,332282,373571,380739,437420,495850,550984,608115,623160,703651,712995,759805,917429,932749,923800,1019865,1078724,1150473,1204019,1223379,1359185,1472526,1570771,1696662,1771766,1861557,2019194,2089883,2234342,2155108,2199897,2292497,2417389,2474349,2668558,2770867,2925539,2770257,2921860,3156787,3441550,3412188,3629436,3756097,3815918,3952247,4256143,4438762,4726875,5042172
 "18005","Bartholomew, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",56201,57080,57662,58851,59716,60249,60844,61316,62371,63254,64113,64960,64301,63992,63765,63567,63398,62940,63427,63395,63375,63855,64843,65467,66357,67273,68410,69031,69568,70275,70639,71763,72110,71890,72299,72882,73660,74508,75265,76080,76566,76773,77385,78566,79016,79654,80403,81035,80902,81282,82045,82157,82475
 "18005","Bartholomew, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3995,4184,4537,4845,5564,6200,6258,7134,7950,8711,9485,9593,10943,11142,11916,14432,14713,14677,16079,17016,18153,18856,18867,20761,22191,23349,24801,25666,26759,28733,29585,31135,29886,30601,31709,33169,33591,35816,36815,38453,36181,38058,40793,43805,43184,45565,46716,47090,48852,52363,54102,57535,61136
