GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "21000","Kentucky",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",9711706,10534849,11466051,12679771,14252540,16052187,17479191,19544359,21933925,24444005,27454717,29871559,33237716,35402015,36755022,41061960,42815517,44018975,46497318,50573350,54363695,57673405,60843249,65547256,68128162,71608306,75054417,79620527,84542128,89452395,93315383,100691406,104126894,106568397,109876646,116453381,122305663,129361302,135056801,141572559,139861726,145301180,152218739,157635717,159224753,166717085,174331189,177190630,182391515,188348347,197356047,214052499,231179756
 "21000","Kentucky",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4349138,4374212,4394010,4415821,4428679,4443606,4457599,4475723,4487233,4498141,4503958,4509394
 "21000","Kentucky",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8152,9056,9611,9949,11111,11588,11936,12624,13743,14784,15613,16345,17407,17871,18604,19307,20314,21388,22445,23224,24868,25596,26057,26687,28087,29241,30660,31728,33002,32397,33409,34799,35875,36058,37645,39232,39750,40751,41974,43875,47525,51266
 "21001","Adair, KY",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",27842,29876,34180,38349,43361,48545,49938,56744,63059,70530,80204,89275,101397,110966,113664,132808,138310,141849,147074,159427,172853,187456,199132,219726,226496,236223,243961,263226,273605,270571,275449,309129,319004,319018,321978,342985,361577,378689,400746,423389,437648,464673,487866,501552,516530,542300,562255,555540,580515,600122,630820,705905,783494
 "21001","Adair, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13176,13125,13611,14345,14415,14583,14696,14794,15079,15039,15135,15273,15397,15438,15296,15761,15613,15560,15220,15410,15320,15387,15553,15766,16009,16233,16564,16782,16895,16942,17054,17327,17584,17762,17924,17994,18128,18335,18493,18541,18729,18734,18903,18792,18915,18987,18828,18882,18835,18664,18863,18870,18932
 "21001","Adair, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2113,2276,2511,2673,3008,3329,3398,3836,4182,4690,5299,5845,6586,7188,7431,8426,8859,9116,9663,10346,11283,12183,12803,13937,14148,14552,14728,15685,16194,15970,16152,17841,18142,17961,17964,19061,19946,20654,21670,22835,23367,24804,25809,26690,27308,28562,29863,29422,30821,32154,33442,37409,41385
 "21003","Allen, KY",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",28618,31583,35443,39768,46047,47876,52903,61361,69578,80897,90721,98149,111557,115608,116946,136703,142406,136876,141475,151348,160058,166058,179494,195949,215204,239709,253381,272017,296355,318252,335864,368545,368259,363156,367214,398942,420369,446531,465279,491237,484213,498696,520022,552162,552457,593116,629756,637693,670427,678714,717930,763600,846059
 "21003","Allen, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12562,12634,12919,12960,13148,13458,13699,13581,13634,13686,13794,14116,14034,13917,14025,14319,14337,14264,14234,14199,14377,14723,14803,15090,15374,15754,16091,16375,16768,17243,17658,17820,17947,18219,18434,18699,18910,19272,19540,19838,19811,20007,20082,20072,20090,20199,20304,20288,20403,20545,20688,20595,20797
 "21003","Allen, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2278,2500,2743,3069,3502,3557,3862,4518,5103,5911,6577,6953,7949,8307,8338,9547,9933,9596,9939,10659,11133,11279,12126,12985,13998,15216,15747,16612,17674,18457,19021,20682,20519,19933,19920,21335,22230,23170,23812,24762,24442,24926,25895,27509,27499,29364,31016,31432,32859,33035,34703,37077,40682
 "21005","Anderson, KY",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",29920,31356,35710,40608,45538,51657,54433,61146,70422,79314,89932,102230,115819,128823,137002,153515,160309,169396,182688,197200,217464,232752,244224,270729,285875,308965,333368,357374,388396,417647,437690,473390,494469,504689,515765,544276,580598,613226,652614,678098,669653,697798,722603,747777,766644,789665,814309,841803,867357,890173,929254,1009877,1089530
