GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "22000","Louisiana",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",10765877,11663035,12715230,13912080,15528477,17651808,19875142,22415528,25031404,28630805,32478004,37368848,43084374,46379689,48422536,51504460,53629661,53695136,53932056,56881207,60326085,64880918,68408285,73263960,76872654,81905818,85953266,89776927,94400601,99070805,101467683,107310631,114917421,118229417,122169803,127758432,137935112,145645475,159411284,170869293,165876246,173800833,179073440,188760806,191497268,200293914,201363461,200190623,206121508,215086431,222349117,236324233,250700741
 "22000","Louisiana",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544800,4577075,4603574,4628228,4648811,4670563,4685605,4678606,4670052,4664558,4651203,4624047
 "22000","Louisiana",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2975,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8849,10059,10656,11017,11704,12166,12184,12415,13263,14185,15369,16084,17066,17809,18840,19630,20409,21352,22312,22746,23997,25663,26289,27022,28065,30139,33850,36432,38522,36930,38242,39124,41003,41376,43085,43113,42725,44056,46057,47668,50809,54217
 "22001","Acadia, LA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",113761,124885,134386,149067,183561,208404,233919,237840,269294,298090,347196,404581,478639,549418,558364,576144,602677,574007,545626,593172,616791,662573,704698,738680,797031,847761,897836,937224,1015974,1087705,1081014,1156062,1244003,1280027,1332174,1358806,1472569,1599060,1727977,1969652,1950686,1996687,2074314,2155625,2254294,2342566,2225992,2133123,2192548,2301243,2311239,2516556,2624101
 "22001","Acadia, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",51852,52167,52506,52621,52760,52688,53131,53770,53809,54374,55402,56631,57345,58557,59133,58754,59018,59176,58328,57342,56783,55741,56237,56357,56885,56992,57473,58064,58218,58501,58762,58795,58844,59065,59194,59223,59524,60522,60762,61115,61451,61765,61314,61002,60858,60777,60351,60039,59367,58686,58159,57455,57288
 "22001","Acadia, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2194,2394,2559,2833,3479,3955,4403,4423,5005,5482,6267,7144,8347,9383,9443,9806,10212,9700,9354,10344,10862,11887,12531,13107,14011,14875,15622,16141,17451,18593,18396,19663,21141,21671,22505,22944,24739,26421,28438,32229,31744,32327,33831,35337,37042,38544,36884,35529,36932,39213,39740,43800,45805
 "22003","Allen, LA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",45712,50438,57418,60048,72030,76180,80007,86585,97003,107679,124350,135747,150315,154024,162733,168336,176461,177902,177927,189710,201244,215450,234278,249754,269491,287378,333420,345762,362883,381549,404879,424685,437893,454348,478271,506635,543107,574477,610562,679831,705820,694060,705361,726243,742697,754322,752985,778393,811283,863799,894309,938179,974384
 "22003","Allen, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",20681,20811,21006,21103,20768,20560,20662,20748,20918,21039,21160,21391,21288,21709,21710,21514,21577,21659,22592,21174,21384,21232,21968,22822,23510,23792,24246,24687,24605,25114,25364,25401,25399,25194,25327,25338,25076,25692,25937,25854,25863,25633,25386,24987,24751,24526,24181,23974,23615,23300,23095,22697,22687
 "22003","Allen, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2210,2424,2733,2845,3468,3705,3872,4173,4637,5118,5877,6346,7061,7095,7496,7824,8178,8214,7876,8960,9411,10147,10665,10944,11463,12079,13752,14006,14748,15193,15963,16719,17241,18034,18884,19995,21658,22360,23540,26295,27291,27077,27785,29065,30007,30756,31140,32468,34355,37073,38723,41335,42949
 "22005","Ascension, LA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",100478,106121,115595,128996,143992,178190,205697,265280,284699,326695,379580,438886,498584,531616,574928,624067,656367,651487,663730,736889,795468,880643,945416,1058111,1124341,1218687,1314053,1405687,1498343,1615883,1727181,1875000,1951675,2059547,2170347,2386765,2804320,3253464,3662581,4082875,4140856,4402494,4628210,4905433,5072212,5433649,5686940,5808940,6017544,6244325,6568430,6992665,7518111
 "22005","Ascension, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",36588,37186,38026,39530,39953,40599,41503,42966,44613,46307,48220,50424,51758,53056,55231,57257,57975,58703,58600,57270,57585,58408,59447,60829,62219,64216,66138,68093,70505,72272,74662,77335,79210,81379,83967,86352,89741,96421,100132,102891,105172,107861,109913,111923,114202,116699,118638,120697,122119,123671,125329,126984,128369
 "22005","Ascension, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2746,2854,3040,3263,3604,4389,4956,6174,6382,7055,7872,8704,9633,10020,10410,10899,11322,11098,11326,12867,13814,15077,15904,17395,18071,18978,19868,20644,21252,22358,23133,24245,24639,25308,25848,27640,31249,33742,36578,39682,39372,40816,42108,43829,44414,46561,47935,48128,49276,50491,52409,55067,58566
 "22007","Assumption, LA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",42760,46696,53589,60725,71863,94557,90961,103231,112499,130509,144290,174302,207639,218543,214361,225762,241463,225652,213479,226147,249557,275766,290499,303245,315062,336401,364419,388833,435985,450906,438269,460312,507419,520857,533840,564819,578658,640456,700970,753016,767028,807004,851848,908585,979394,977745,962219,922658,992362,1055646,1069728,1099814,1165876
 "22007","Assumption, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",19517,19701,19948,20178,20359,20412,20568,20733,20910,21213,21741,22228,22765,23542,23800,23534,23637,23547,23047,22804,22924,22704,22665,22628,22658,22685,22873,22812,22986,23173,23372,23324,23194,23210,23262,23319,23199,23477,23543,23534,23508,23315,23101,22918,22980,22765,22549,22355,22105,21742,21328,20968,20689
 "22007","Assumption, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2191,2370,2686,3009,3530,4632,4422,4979,5380,6152,6637,7842,9121,9283,9007,9593,10215,9583,9263,9917,10886,12146,12817,13401,13905,14829,15932,17045,18967,19458,18752,19736,21877,22441,22949,24221,24943,27280,29774,31997,32628,34613,36875,39645,42619,42949,42672,41273,44893,48553,50156,52452,56352
