GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "25000","Massachusetts",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",24041879,25961402,27741966,29977946,32574071,35182241,37801838,40688841,44297892,48938719,54481353,61388742,68493446,75098546,81445901,91928261,99341606,107146482,116044290,127722938,135208932,139232601,141351750,148477573,154367404,162175192,171741979,182580403,194130726,206430628,220900683,245502523,255086839,253738694,258616742,271926806,284122493,306081940,322125961,335157165,330909697,347492138,363396351,379267836,382611077,401832495,428228930,444184133,463980895,487436530,513710419,550459528,584291057
 "25000","Massachusetts",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",5650000,5703706,5738589,5762122,5783809,5776992,5762138,5748868,5744097,5742923,5746188,5746075,5768685,5771222,5799405,5840774,5880734,5902677,5935205,5979983,6015478,6022639,6018470,6028709,6060569,6095241,6141445,6179756,6226058,6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6569537,6629863,6692712,6756583,6819480,6865334,6908516,6958374,6994054,7016618,7022220,6984723
 "25000","Massachusetts",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4255,4552,4834,5203,5632,6090,6560,7078,7712,8522,9481,10684,11873,13013,14044,15739,16893,18152,19552,21358,22477,23118,23486,24628,25471,26607,27964,29545,31180,32914,34967,38594,39872,39540,40267,42407,44371,47750,50085,51810,50772,52894,54812,56669,56628,58924,62376,64295,66679,69693,73213,78388,83653
 "25001","Barnstable, MA",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",417658,467126,537720,614361,686560,756444,852195,966532,1092583,1240807,1423153,1650105,1884653,2110736,2322750,2673043,2952928,3250014,3609563,3929722,4047024,4324877,4390932,4695441,5029717,5348810,5724396,6153648,6543178,7111913,7714947,8133042,8915461,8948940,9190831,9833545,9857621,10279408,10583268,10874857,10776135,11175999,11679826,12205789,12375203,12994256,13637650,14194286,14690999,15398336,16845412,18119802,19334595
 "25001","Barnstable, MA",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",94791,97632,99244,99237,111093,123816,129437,133142,138071,140966,146265,148847,152189,154460,157320,162135,166578,171633,176215,181137,184642,187335,189165,191595,194830,198533,202874,206852,210380,214497,218960,223031,224087,225421,226011,224264,221995,220037,218380,217066,215994,216289,217298,218300,219597,220938,222109,223471,225110,226622,227312,228969,232411
 "25001","Barnstable, MA",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4406,4785,5418,6191,6180,6109,6584,7259,7913,8802,9730,11086,12384,13665,14764,16487,17727,18936,20484,21695,21918,23086,23212,24507,25816,26942,28217,29749,31102,33156,35235,36466,39786,39699,40665,43848,44405,46717,48463,50099,49891,51672,53750,55913,56354,58814,61401,63517,65261,67947,74107,79136,83191
 "25003","Berkshire, MA",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",578436,617044,657388,706423,779029,845894,906579,958249,1018502,1119412,1235616,1378108,1521777,1651218,1757622,1949744,2067119,2208129,2328491,2510104,2697840,2773638,2796745,2827965,2940269,3042065,3168181,3351222,3522742,3679048,3851748,4110829,4218753,4279269,4286730,4588782,4739911,4953811,5159185,5377984,5285703,5423594,5678947,5870573,5884673,6173591,6510088,6668456,6814773,7078517,7341816,7929627,8369201
 "25003","Berkshire, MA",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",148981,149893,150987,148869,149573,149649,148788,146360,144826,146354,145437,145081,144629,142162,141969,141767,140938,140396,140268,139787,139790,139423,138661,137809,137139,137176,136885,136657,136602,135763,135227,134769,133928,133529,133423,133076,132563,131977,131883,131372,131264,131427,131106,131297,130946,130759,130199,129850,129601,129648,129119,128758,128657
 "25003","Berkshire, MA",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3883,4117,4354,4745,5208,5653,6093,6547,7033,7649,8496,9499,10522,11615,12380,13753,14667,15728,16600,17957,19299,19894,20170,20521,21440,22176,23145,24523,25788,27099,28484,30503,31500,32047,32129,34482,35756,37535,39119,40937,40268,41267,43316,44712,44940,47214,50001,51355,52583,54598,56861,61586,65050
 "25005","Bristol, MA",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1596531,1722021,1865575,2048065,2240065,2421969,2627226,2910089,3205390,3560324,3967232,4406235,4823283,5251682,5692420,6332871,6824802,7322781,7834279,8569268,9078517,9375485,9523985,9984434,10388942,11031823,11572020,12105681,12831952,13415826,14245317,15427786,16489806,16969077,17518169,18149634,18852683,20095344,20924622,22115697,21474459,22306797,23138199,24016589,24366979,25323671,26708590,27474665,28720600,29990074,31747638,35396606,37666598
