GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",6636881,7268635,7840175,8874824,10019419,11328476,12763654,14533896,16687152,19434975,22419698,25861219,29498713,31303477,33748741,37900312,41259710,44494951,48259164,52814807,56878330,60264357,62297569,65961473,67381872,69577422,73434653,78878757,85557767,92911626,99462884,109056375,113236454,115705093,122345010,129684436,138519914,148803124,149852267,147242643,139260724,149629013,155868197,168975217,168569870,176537358,190154400,197231809,204911755,212806994,224716133,241153117,256700438
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",1376796,1432621,1484217,1536789,1607146,1669064,1725693,1772685,1812147,1853136,1891962,1948067,2004806,2045925,2088886,2123362,2171930,2228895,2281486,2333101,2383920,2418986,2452691,2497014,2532639,2566599,2603678,2643996,2709277,2773187,2815933,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3016751,3052105,3082183,3110324,3133194,3157254,3174233,3185766,3188828,3185685,3184101,3167809
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4821,5074,5282,5775,6234,6787,7396,8199,9208,10488,11850,13275,14714,15300,16156,17849,18997,19963,21153,22637,23859,24913,25400,26416,26605,27109,28204,29833,31580,33504,35321,38205,39244,39785,41765,44085,47115,50747,51116,49785,46620,49599,51069,54823,54197,56344,60228,62135,64321,66735,70539,75737,81034
 "14454","Boston, MA (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",7457246,8075870,8613585,9237239,9910593,10714249,11459654,12292229,13335415,14664641,16284936,18256820,20220596,22175777,24212151,27301546,29556203,31803221,34781600,38580242,41030809,42313456,42983054,45181843,47058244,49472621,52509199,55948353,59531466,63371600,68179076,75852012,79728525,78933737,80206824,85300446,89986608,98544236,103127208,106561223,106793681,115006238,118444876,123103256,123957961,130103477,139481626,147257069,155226796,163511352,171110237,183169844,194012815
 "14454","Boston, MA (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",1661816,1677527,1684845,1697497,1692363,1703019,1699488,1692934,1689699,1670251,1666370,1664772,1671345,1673243,1687722,1697982,1710442,1718509,1721100,1724841,1723164,1715912,1710981,1711722,1724209,1735032,1756891,1766871,1779658,1792466,1806436,1817741,1831591,1837285,1834357,1828912,1824430,1827392,1838201,1854275,1875253,1895230,1915585,1938014,1960270,1981076,1997157,2014731,2031968,2042163,2052536,2052435,2028753
 "14454","Boston, MA (Metropolitan Division)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4487,4814,5112,5442,5856,6291,6743,7261,7892,8780,9773,10967,12098,13253,14346,16079,17280,18506,20209,22367,23811,24659,25122,26396,27293,28514,29888,31665,33451,35354,37742,41729,43530,42962,43725,46640,49323,53926,56102,57468,56949,60682,61832,63520,63235,65673,69840,73090,76392,80068,83365,89245,95632
 "15764","Cambridge-Newton-Framingham, MA (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",9069059,9833430,10494511,11335876,12304766,13238892,14115979,15122301,16446192,18126578,20144156,22866962,25845621,28539184,31015611,35254226,38149330,41192053,44212087,48651178,51058463,52549855,53428540,56528113,58760377,61558903,65543819,70010244,74469829,79811524,85833845,97013484,98629625,97009992,98188645,102451479,107115741,115600517,122798176,128102503,124861353,129580194,137296601,143710839,145292089,153719993,164374540,168906406,176449386,185947022,197252839,209082359,222116543
 "15764","Cambridge-Newton-Framingham, MA (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",2020977,2040862,2055222,2057763,2056914,2025460,2010501,2004624,1999103,2007315,2003954,2004038,2012634,2016972,2026590,2041484,2054735,2052643,2054968,2061788,2069099,2070317,2070567,2076928,2085413,2095816,2110617,2128769,2148124,2165195,2178426,2192273,2203227,2200720,2195627,2189015,2183745,2185983,2193770,2211410,2233850,2254070,2281155,2308983,2337605,2363580,2383589,2400086,2418270,2429702,2437330,2438640,2421816
 "15764","Cambridge-Newton-Framingham, MA (Metropolitan Division)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4487,4818,5106,5509,5982,6536,7021,7544,8227,9030,10052,11410,12842,14150,15304,17269,18567,20068,21515,23597,24677,25383,25804,27217,28177,29372,31054,32888,34667,36861,39402,44252,44766,44081,44720,46803,49051,52883,55976,57928,55895,57487,60187,62240,62154,65037,68961,70375,72965,76531,80930,85737,91715
 "15804","Camden, NJ (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3842629,4160716,4556739,5007121,5460124,5977915,6496599,7139252,7794480,8707646,9714788,10965848,12182343,13132314,14224370,15573202,16791626,17960673,19309826,21052898,22623592,23730251,24384140,26076392,26823144,27724442,28871829,30286295,32187549,33797220,35380706,37812390,39696137,41188619,43061221,45058709,46872853,49984352,52114357,54394723,54200795,55222382,57244107,58505692,59180469,61363360,63856524,65549540,67702147,70146951,73414221,78224910,83596998
 "15804","Camden, NJ (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",934378,958069,981388,999328,993166,993518,1001489,1011062,1016545,1021852,1031774,1036911,1046134,1054491,1055815,1066025,1072432,1082260,1094796,1110613,1121090,1130838,1140109,1144652,1149616,1157700,1165224,1169582,1174119,1177697,1182488,1187684,1194836,1207253,1218442,1228399,1234349,1241583,1245192,1246756,1248421,1252593,1257718,1261439,1262309,1266494,1268327,1270759,1273665,1277885,1282698,1287673,1292517
 "15804","Camden, NJ (Metropolitan Division)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4112,4343,4643,5010,5498,6017,6487,7061,7668,8521,9416,10575,11645,12454,13472,14609,15658,16596,17638,18956,20180,20985,21388,22781,23332,23948,24778,25895,27414,28698,29921,31837,33223,34118,35341,36681,37974,40259,41852,43629,43415,44086,45514,46380,46883,48451,50347,51583,53155,54893,57234,60749,64678
 "16984","Chicago-Naperville-Evanston, IL (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",30213730,32162318,34331126,37018261,40636073,44404756,47453163,51989396,57391887,63398590,69265850,75766979,83217097,88092686,92762901,101632548,107112154,113545748,120733013,131490750,138459060,147601584,151195004,162725531,168784827,177306991,189567317,201028805,213463874,228042546,239037101,258170683,265283206,267439613,270720066,280281196,293634213,313136966,332114923,336592214,314147888,321992645,336587913,355952908,365201270,389507867,410360529,414046099,427624560,453219274,468228912,491823730,526454124
 "16984","Chicago-Naperville-Evanston, IL (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",6325350,6377728,6423066,6431450,6414633,6409930,6410180,6422364,6440312,6444025,6417335,6413939,6396284,6411227,6413174,6436190,6435726,6440278,6449929,6445539,6454907,6472654,6544873,6626705,6699785,6764834,6821180,6876521,6926049,6984515,7042203,7086119,7108074,7109675,7109926,7101302,7085064,7072123,7079001,7099433,7127199,7159568,7206527,7249528,7285465,7307776,7316288,7314018,7310202,7297680,7282886,7252081,7159394
 "16984","Chicago-Naperville-Evanston, IL (Metropolitan Division)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4777,5043,5345,5756,6335,6927,7403,8095,8911,9838,10794,11813,13010,13740,14464,15791,16643,17631,18719,20400,21450,22804,23101,24556,25193,26210,27791,29234,30820,32650,33944,36433,37321,37616,38076,39469,41444,44278,46916,47411,44077,44974,46706,49100,50127,53300,56089,56610,58497,62105,64292,67818,73533
 "19124","Dallas-Plano-Irving, TX (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",6594364,7196856,7769073,8649673,9717365,10952658,12127681,13488278,15081959,17605398,20367478,23635105,27285455,30575070,33953493,38825279,43156970,45668172,47156802,49602370,52965795,56613160,58588064,63115801,67321391,72269171,78104280,85750636,94117280,104920572,111880018,124772264,129098598,129646156,131972311,136602147,148052982,162777265,172571788,184016588,170714697,180902431,206685601,217516046,224095944,240536412,251536236,263540858,280429766,302398641,322867235,337093763,368668165
 "19124","Dallas-Plano-Irving, TX (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",1550510,1608619,1639679,1658073,1701695,1748335,1781616,1824536,1858953,1904561,1955593,2027319,2079864,2148396,2217386,2289857,2379997,2465257,2509317,2532918,2573243,2635008,2702955,2764683,2833144,2903978,2980722,3071520,3173282,3277834,3376032,3464044,3563385,3628250,3683855,3740175,3812200,3920488,4006106,4087441,4172887,4245788,4329100,4423616,4498096,4592970,4697273,4801266,4898496,4979967,5062881,5148585,5217380
 "19124","Dallas-Plano-Irving, TX (Metropolitan Division)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4253,4474,4738,5217,5710,6265,6807,7393,8113,9244,10415,11658,13119,14232,15312,16955,18133,18525,18793,19583,20583,21485,21676,22829,23762,24886,26203,27918,29659,32009,33140,36019,36229,35732,35825,36523,38837,41520,43077,45020,40910,42608,47743,49172,49820,52371,53549,54890,57248,60723,63771,65473,70662
 "19804","Detroit-Dearborn-Livonia, MI (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",11417207,11844429,12606838,13840658,15209213,16001805,16583676,18051114,19790029,21594210,23066770,24276066,25069251,25739309,27060871,29496978,31552271,33274160,33923357,35817069,37600158,38855940,38812019,40410254,42053860,44417974,46394049,48337714,50041540,52100706,54074732,57467908,57019961,55576503,56868235,57867802,58713092,59158124,60436840,60360732,57812775,59252871,62024639,62957813,62644401,65211503,68927232,70596627,71183545,74982006,77687754,85095541,89823224
 "19804","Detroit-Dearborn-Livonia, MI (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",2685171,2669498,2669002,2652526,2593652,2551110,2510027,2461675,2416944,2383799,2353175,2326366,2275169,2231999,2199498,2181158,2172791,2168060,2161103,2136061,2122313,2107915,2111811,2114839,2113713,2109434,2111313,2113482,2100674,2085111,2072114,2057255,2043167,2025133,2006154,1983830,1960263,1932490,1900992,1865058,1837536,1816094,1809221,1806978,1796167,1792526,1790626,1791498,1793437,1796334,1795380,1790225,1774816
 "19804","Detroit-Dearborn-Livonia, MI (Metropolitan Division)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4252,4437,4723,5218,5864,6272,6607,7333,8188,9059,9802,10435,11019,11532,12303,13524,14522,15347,15697,16768,17717,18433,18379,19108,19896,21057,21974,22871,23822,24987,26096,27934,27908,27443,28347,29170,29952,30612,31792,32364,31462,32627,34283,34841,34877,36380,38493,39406,39691,41742,43271,47533,50610
 "20994","Elgin, IL (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1486198,1583964,1716639,1895375,2135488,2377703,2582377,2818401,3129993,3529576,3904219,4235093,4699769,5041219,5236376,5893700,6194943,6539013,7031620,7709717,8415052,9022435,9268646,10022237,10660907,11367601,12016901,12864400,13766820,14561744,15507624,16806046,18253966,18813326,19789806,20980901,22475552,24499830,26481814,27735903,27086386,28219071,29847593,30849653,31681544,32742827,34143521,35120262,36446963,37903722,39357559,41910809,45512950
 "20994","Elgin, IL (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",342037,349983,354311,359232,362507,367498,371486,374570,378438,383969,387661,390895,392843,390789,391737,396339,399538,405076,411308,419447,426942,437346,445581,453903,463309,473116,484729,498077,510956,523530,537226,552395,572957,594911,615765,636713,654929,677356,700415,717597,728909,736163,738278,739471,740859,744273,746806,748719,750490,751123,750697,748679,750869
