GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "24000","Maryland",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",17235920,19167231,21125827,23176397,25560539,27902797,30204127,32906940,35675755,39617165,43545511,48503268,54043012,58610648,62787390,69664857,75502898,81544532,88007606,96739717,104600690,110894044,114898652,120637356,125486122,131410405,137245369,143742306,151791457,163853853,173588820,189023506,199273079,206925251,216521541,230980240,243351451,256471520,267560847,279622862,277627489,287652437,303517765,312175752,311524042,322438196,337702762,350384383,361606216,371870268,384074286,405454629,430429331
 "24000","Maryland",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5791559,5854282,5913919,5962350,6008975,6049289,6079669,6112835,6138786,6163628,6172679,6165129
 "24000","Maryland",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4456,4867,5252,5679,6221,6751,7265,7887,8505,9407,10311,11473,12680,13685,14557,15959,17109,18174,19276,20769,22127,23104,23605,24503,25239,26161,27070,28119,29432,31483,33036,35591,37076,38035,39394,41641,43515,45576,47327,49186,48448,49668,51845,52787,52249,53659,55825,57632,59155,60577,62313,65685,69817
 "24001","Allegany, MD",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",264663,290136,311478,334500,363799,395750,426402,454997,500039,543032,596718,657336,713712,760948,800021,845335,883933,898034,961109,1019869,1095215,1153951,1189230,1218191,1250928,1293868,1335153,1378165,1433309,1472656,1513499,1587654,1904476,1990091,2080991,2143815,2062613,2008293,2051892,2206968,2260091,2341390,2402476,2436806,2430115,2520170,2574081,2689227,2722866,2796482,2863956,3062385,3206750
 "24001","Allegany, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",84207,83983,84154,84829,84012,84109,82761,81938,81443,80769,81099,80584,80567,79651,78764,77474,76311,75922,75466,75428,75193,74954,75305,75411,75296,75203,75427,75132,75310,75547,75288,74804,74525,74204,74076,74408,73979,73980,74449,74638,75101,74914,74312,73487,72913,72156,71404,70784,69871,69290,68647,67947,67729
 "24001","Allegany, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3143,3455,3701,3943,4330,4705,5152,5553,6140,6723,7358,8157,8859,9554,10157,10911,11583,11828,12736,13521,14565,15395,15792,16154,16613,17205,17701,18343,19032,19493,20103,21224,25555,26819,28093,28812,27881,27146,27561,29569,30094,31254,32330,33160,33329,34927,36050,37992,38970,40359,41720,45070,47347
 "24003","Anne Arundel, MD",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1259430,1387474,1551123,1720822,1954573,2179494,2412730,2686278,2995442,3430582,3876431,4448529,4919480,5337113,5742711,6369352,6894696,7470483,7928390,8701356,9417850,9959435,10368280,11047606,11669141,12332759,13042755,13819775,14729207,16027840,17102218,18869004,20191386,21077993,22113104,23465807,24574984,25970622,27052072,27914459,27601817,28604554,30404149,31402346,31842560,33134665,34489244,35628155,36873981,38231416,39953233,42393414,44900444
 "24003","Anne Arundel, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",291264,299825,309046,316608,330647,334752,345613,353988,361062,365603,368971,372415,378219,382453,385375,389989,396028,403532,412139,418047,423564,428877,434344,440836,448583,456499,463022,467286,472356,477749,484800,491670,498559,504884,507769,513259,516171,517698,520503,525304,532395,539453,545610,551832,557604,561995,566320,571245,575799,580715,585606,588769,590336
 "24003","Anne Arundel, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4324,4628,5019,5435,5911,6511,6981,7589,8296,9383,10506,11945,13007,13955,14902,16332,17410,18513,19237,20814,22235,23222,23871,25061,26013,27016,28169,29575,31182,33549,35277,38377,40499,41748,43550,45719,47610,50166,51973,53140,51845,53025,55725,56906,57106,58959,60901,62369,64040,65835,68225,72003,76059
 "24005","Baltimore, MD",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2838360,3121620,3437142,3817948,4244283,4756269,5099588,5527427,6001064,6644741,7229433,7986532,8964319,9583533,10160748,11165055,11992948,12735475,13638813,14911598,15791988,16773933,17251575,17978291,18375350,19244852,20525669,21470401,22951615,24686772,26034882,28042253,29515423,30405017,31333953,33026639,34544010,36735281,38568789,39560168,38395018,39373958,40538854,41941605,42101988,43686744,45280744,46569058,47935897,49404833,52451659,55878165,59079164
 "24005","Baltimore, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",612575,622418,635071,641468,636769,638233,646514,651342,651233,650938,650679,655878,655599,658403,661267,664696,664649,669544,675514,682941,686188,694782,702993,709826,715513,721250,727937,734981,741043,745458,749425,755598,762925,770147,777756,784371,789110,793733,796073,798651,801808,807307,816320,824205,831114,836593,841912,845780,848498,850780,853436,853073,849316
 "24005","Baltimore, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4633,5015,5412,5952,6665,7452,7888,8486,9215,10208,11111,12177,13673,14556,15366,16797,18044,19021,20190,21834,23014,24143,24540,25328,25681,26683,28197,29212,30972,33116,34740,37113,38687,39479,40288,42106,43776,46282,48449,49534,47886,48772,49660,50887,50657,52220,53783,55060,56495,58070,61459,65502,69561
 "24009","Calvert, MD",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",73647,84545,110706,127088,148100,167018,188423,211825,237549,274859,316982,367935,455646,504665,550173,612366,681367,760239,841567,943916,1051210,1154354,1224730,1309017,1412967,1528132,1600654,1748470,1914227,2036210,2172029,2404375,2634469,2841155,3072349,3306549,3568287,3802983,4040865,4283768,4326438,4457906,4670543,4778335,4782195,4920803,5135514,5293067,5457096,5648286,5900895,6209522,6639770
 "24009","Calvert, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",20358,20932,22034,22972,23748,25123,26827,27863,29897,31685,33609,34884,35800,36225,37239,38576,40101,42147,44860,47177,49352,51954,54366,56829,59320,61706,63913,66189,68641,71019,72858,75118,77218,80153,83007,84928,86294,87043,87445,87788,88244,88986,89332,89719,90446,90540,90472,91030,91388,92010,92520,92857,93928
 "24009","Calvert, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3618,4039,5024,5532,6236,6648,7024,7602,7946,8675,9431,10547,12728,13931,14774,15874,16991,18038,18760,20008,21300,22219,22527,23034,23819,24765,25044,26416,27888,28671,29812,32008,34117,35447,37013,38934,41350,43691,46210,48797,49028,50097,52283,53259,52873,54349,56764,58146,59713,61388,63780,66872,70690
 "24011","Caroline, MD",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",67964,70600,71720,79737,95417,101118,113587,123346,130419,148881,161603,166082,190011,206902,220711,263695,281446,306697,324278,363116,389084,409903,417057,436346,451241,482129,498460,533648,561689,602670,640406,681454,721318,746395,819315,890138,930527,970986,1038667,1101332,1105950,1129668,1194212,1243750,1279532,1309260,1338978,1377405,1459769,1493276,1540492,1607482,1787791
 "24011","Caroline, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",19797,19893,20504,20557,20836,21441,21903,22443,22648,23062,23148,23205,23407,23615,23775,24107,24441,24707,25241,25997,26664,27125,27376,27876,28221,28645,28947,29172,29552,29576,29610,29773,29814,30054,30553,30653,31416,32214,32720,32983,33013,33050,32870,32600,32597,32471,32513,32728,32998,33197,33346,33290,33386
 "24011","Caroline, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3433,3549,3498,3879,4579,4716,5186,5496,5759,6456,6981,7157,8118,8761,9283,10939,11515,12413,12847,13968,14592,15112,15234,15653,15990,16831,17220,18293,19007,20377,21628,22888,24194,24835,26816,29039,29620,30142,31744,33391,33500,34181,36331,38152,39253,40321,41183,42086,44238,44982,46197,48287,53549
 "24013","Carroll, MD",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",267149,290046,319269,361422,413198,470135,524758,598964,677911,798475,921434,1067411,1191372,1302875,1425567,1593085,1724398,1877908,2051566,2245580,2465078,2644207,2716715,2848674,2999636,3193899,3360962,3589104,3905641,4203475,4543597,5033392,5407802,5775353,6110726,6290087,6739028,7233950,7560269,7887036,7806963,8039635,8386678,8630383,8687298,9033406,9419135,9688355,10070551,10319018,10725097,11347560,12066304
 "24013","Carroll, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",67917,69441,71320,74209,76348,78619,80312,83468,87491,91301,94687,96853,98648,100024,101608,104078,106817,110119,114097,117436,120729,124086,126918,129463,131653,134779,138291,141438,144538,146977,149149,151454,154037,157930,161389,163915,165519,166950,167390,167433,167028,167324,167546,167938,168495,168990,169182,169547,170428,171552,172289,172890,173873
 "24013","Carroll, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3933,4177,4477,4870,5412,5980,6534,7176,7748,8746,9731,11021,12077,13026,14030,15307,16143,17053,17981,19122,20418,21309,21405,22004,22784,23697,24304,25376,27022,28600,30463,33234,35107,36569,37863,38374,40715,43330,45166,47106,46740,48048,50056,51390,51558,53455,55675,57143,59090,60151,62251,65635,69397
 "24015","Cecil, MD",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",188065,210928,228664,252747,283976,301820,317758,357105,368798,425969,476924,548314,624263,686230,735991,812480,875809,935233,1011497,1116208,1235499,1337672,1403217,1480546,1581347,1671330,1762697,1858859,2011770,2156629,2299772,2484861,2598460,2716691,2873026,3089405,3236101,3459446,3603860,3734148,3760032,3840320,3992936,4057074,4136517,4248194,4403274,4521668,4659568,4886829,5075796,5361386,5745204
 "24015","Cecil, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",53019,53519,54837,54888,56003,55959,56633,56086,56779,57801,59395,60590,61112,62067,62302,63517,64105,65368,67001,68525,69853,71866,73275,74570,75875,77031,78315,79441,80952,82603,84591,86448,88228,90061,92444,94809,96836,98821,99628,100232,100816,101172,101634,101871,102070,102419,102658,102850,102786,103129,103440,103740,103905
