GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "23000","Maine",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3235956,3557067,3822683,4187722,4706690,5229257,5652308,6446973,7007608,7740514,8589911,9653484,10651560,11580973,12472953,13786735,14893299,16123204,17490913,19277248,21011342,21870390,22249656,23324829,24094940,25085736,26179272,27653140,29169522,31232562,32656992,35107378,37058391,38323541,40247620,42315564,43421280,45599656,47357327,49445354,49402953,50603646,52789038,53782491,53742001,55863585,58331304,59959246,62372138,65015131,68862973,74805899,80254426
 "23000","Maine",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327961,1330029,1330899,1332596,1336530,1335653,1340177,1344851,1350525,1357487,1362280,1372247
 "23000","Maine",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7636,8567,9401,10188,10896,11930,12807,13779,14766,16013,17223,17756,17986,18833,19395,20187,21053,22139,23247,24805,25779,27491,28824,29572,30805,32211,32925,34451,35686,37163,37157,38106,39690,40411,40329,41797,43672,44740,46378,48141,50728,54912,58484
 "23001","Androscoggin, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",310572,339559,350474,373641,423220,459977,506117,579076,622266,683401,750882,843510,920680,994172,1075398,1180324,1242315,1336704,1455273,1595764,1733855,1785505,1788322,1861172,1925212,2015499,2070025,2165578,2270628,2374116,2486006,2639071,2733591,2882918,3036708,3119113,3192262,3328239,3487452,3641916,3630901,3674598,3764486,3835281,3793094,3892638,4063997,4109375,4245029,4395956,4656425,5123802,5525754
 "23001","Androscoggin, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",90890,91463,92881,93756,95076,95870,95535,97130,98181,98837,99656,99531,99522,98860,99262,100018,100114,100204,101378,103559,105276,105412,104973,104335,104464,104112,103769,102966,102518,103120,103403,103852,104260,105063,106140,106867,107352,107932,107739,108284,107830,107773,107767,108075,108072,108463,108485,108936,109303,110040,110670,111039,111034
 "23001","Androscoggin, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3417,3713,3773,3985,4451,4798,5298,5962,6338,6914,7535,8475,9251,10056,10834,11801,12409,13340,14355,15409,16470,16938,17036,17838,18429,19359,19948,21032,22149,23023,24042,25412,26219,27440,28610,29187,29736,30836,32369,33633,33672,34096,34932,35487,35098,35889,37461,37723,38837,39949,42075,46144,49766
 "23003","Aroostook, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",248459,295838,309522,324569,406756,501301,433246,513467,567627,574763,633621,687616,800299,809177,862405,945234,984477,1021210,1121915,1157541,1257129,1300378,1319140,1362445,1357774,1326936,1320990,1372549,1403767,1491069,1532598,1627013,1706527,1790336,1869822,1939675,2056098,2114500,2194497,2274164,2341992,2367038,2423896,2454072,2433028,2466806,2553713,2584029,2677103,2770445,2875587,3153415,3335138
 "23003","Aroostook, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",95237,94201,94614,95489,94944,94178,95135,95455,95623,94402,92936,91153,90302,90171,89966,89641,89192,88723,88737,87382,86774,87024,87218,86823,85461,80702,77620,76910,76332,75054,74227,73872,72962,72942,72944,72959,72881,72827,72711,72542,72258,71706,71427,70844,70182,69671,68997,68469,67809,67494,67305,66994,66859
 "23003","Aroostook, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2609,3140,3271,3399,4284,5323,4554,5379,5936,6088,6818,7544,8862,8974,9586,10545,11038,11510,12643,13247,14487,14943,15125,15692,15888,16442,17019,17846,18390,19867,20647,22025,23389,24545,25634,26586,28212,29035,30181,31350,32412,33010,33935,34641,34667,35406,37012,37740,39480,41047,42725,47070,49883
 "23005","Cumberland, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",732141,797762,861974,955512,1042308,1140508,1256075,1402737,1529377,1703563,1885449,2112952,2356411,2594726,2806519,3146812,3457341,3814722,4167120,4637824,5028325,5308965,5366377,5613096,5852266,6160853,6510889,6932134,7410094,7998429,8387749,8958029,9448742,9675465,10278885,10928876,11164390,11954498,12378832,12875060,12567167,13025107,13733502,14175898,14170385,14928068,15759410,16451290,17358610,18239333,19550389,21117744,22578454
 "23005","Cumberland, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",191672,193017,196724,199100,202624,205830,207718,210157,212131,213705,214818,216396,218583,220441,223644,227277,229985,232037,235593,239953,242046,243865,245084,245655,247235,250156,252078,254894,257765,260965,263931,266109,268391,270533,273041,274920,276275,277084,278781,280681,281969,281605,283381,284879,287331,290447,292399,294749,296302,298656,300892,303312,305231
 "23005","Cumberland, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3820,4133,4382,4799,5144,5541,6047,6675,7210,7972,8777,9764,10780,11771,12549,13846,15033,16440,17688,19328,20774,21770,21896,22850,23671,24628,25829,27196,28747,30649,31780,33663,35205,35764,37646,39753,40410,43144,44403,45871,44569,46253,48463,49761,49317,51397,53897,55815,58584,61071,64975,69624,73972
 "23007","Franklin, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",64655,69221,78051,84651,94799,104570,115661,144274,150613,165881,184778,212217,229053,250431,272243,289159,298109,310196,338660,381042,424150,434408,441174,466850,492795,503578,521574,546223,574851,603373,625178,669845,692233,722467,756704,799335,811839,837730,875997,924820,938017,954418,1029622,1034196,1031664,1058097,1072936,1079761,1100131,1154551,1205657,1300832,1401417
 "23007","Franklin, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",22262,22581,23267,23704,23827,24305,25203,25644,26163,26660,26775,27498,27675,27885,27915,28205,28010,27667,27869,28408,28836,29135,29182,29270,29255,29462,29406,29241,29414,29321,29370,29498,29631,30019,30026,30096,30226,30528,30596,30652,30779,30706,30671,30526,30300,29977,29743,29661,29423,29391,29550,29418,29687
 "23007","Franklin, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2904,3065,3355,3571,3979,4302,4589,5626,5757,6222,6901,7718,8277,8981,9753,10252,10643,11212,12152,13413,14709,14910,15118,15950,16845,17092,17737,18680,19543,20578,21286,22708,23362,24067,25202,26560,26859,27441,28631,30172,30476,31082,33570,33879,34048,35297,36074,36403,37390,39282,40801,44219,47206
 "23009","Hancock, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",108160,122938,135685,151492,169906,189932,210404,241100,260262,286939,319595,360887,393381,435528,469715,513835,574608,624188,660793,729013,807996,867588,894463,924977,977262,1035673,1080619,1157216,1223570,1369936,1423610,1547102,1659271,1684415,1741460,1856354,1864010,1951137,1977604,2072652,2095650,2183662,2269054,2299860,2295353,2450928,2600812,2635305,2696920,2785038,2948236,3159919,3377409
 "23009","Hancock, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",34397,34769,35691,36800,37770,38423,39293,40165,40883,41309,42169,41800,41836,42308,42731,43446,43837,44217,44919,45806,46419,47148,47790,48268,49030,49540,50103,50208,50814,51276,51404,51967,52109,52327,53030,53613,53745,54009,54300,54371,54499,54361,54584,54586,54721,54683,54489,54789,54872,55178,55468,55460,56192
 "23009","Hancock, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3144,3536,3802,4117,4498,4943,5355,6003,6366,6946,7579,8634,9403,10294,10992,11827,13108,14116,14711,15915,17407,18401,18717,19163,19932,20906,21568,23048,24079,26717,27695,29771,31842,32190,32839,34625,34682,36126,36420,38121,38453,40170,41570,42133,41946,44821,47731,48099,49149,50474,53152,56977,60105
 "23011","Kennebec, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",319696,350456,385739,429891,483264,529124,586337,659495,713115,792317,868879,972687,1061727,1165007,1241672,1366173,1449003,1558273,1696690,1846842,2071474,2161425,2217030,2350914,2350790,2432476,2540729,2643164,2735111,2882343,2992827,3191400,3302587,3451131,3605381,3733158,3849970,4062993,4288372,4488314,4510911,4593787,4714986,4715095,4760116,4860483,4990235,5072028,5234866,5441676,5711267,6253314,6679699
 "23011","Kennebec, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",94792,95462,97007,100209,100861,102849,103353,105221,107040,108300,108741,110008,110381,110343,110711,111140,111171,111113,112219,113979,115155,116293,117199,117350,117465,117610,117456,116896,116743,116405,116679,117177,118024,118611,119538,120303,120957,121508,121741,122147,122084,122096,121911,121807,121450,121644,121514,122075,122593,122793,123032,123754,124486
 "23011","Kennebec, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3373,3671,3976,4290,4791,5145,5673,6268,6662,7316,7990,8842,9619,10558,11215,12292,13034,14024,15119,16203,17989,18586,18917,20033,20013,20683,21631,22611,23428,24761,25650,27236,27982,29096,30161,31031,31829,33438,35225,36745,36949,37624,38676,38710,39194,39957,41067,41548,42701,44316,46421,50530,53658
 "23013","Knox, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",91404,99857,110025,120405,136528,149744,166038,187273,203845,227328,251802,280809,300861,331043,356612,390308,456575,495625,513559,572912,635858,651280,673093,696126,729516,779137,832285,893549,923350,1025691,1052291,1143933,1291418,1353847,1419588,1456924,1469036,1512034,1500527,1538449,1492525,1523147,1613303,1679810,1626095,1712221,1833358,1886979,1981031,1984878,2145562,2295713,2441206
 "23013","Knox, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",28960,29191,30009,30799,31094,31546,32139,32694,32897,33149,33200,33001,33210,33414,33588,34198,34568,34847,35377,35641,36068,36451,36810,37116,37490,37740,37942,38351,38647,38941,39303,39666,39884,40258,40393,40514,40571,40417,40297,40225,39924,39744,39758,39763,39910,40182,40147,40186,40257,40309,40408,40609,41084
 "23013","Knox, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3156,3421,3666,3909,4391,4747,5166,5728,6196,6858,7584,8509,9059,9907,10617,11413,13208,14223,14517,16075,17629,17867,18286,18755,19459,20645,21936,23299,23892,26340,26774,28839,32379,33629,35144,35961,36209,37411,37237,38246,37384,38324,40578,42246,40744,42612,45666,46956,49210,49242,53097,56532,59420
 "23015","Lincoln, ME",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",71768,80776,89511,93511,103808,115655,127598,146687,161604,181782,209111,239179,264180,299587,322650,351681,398192,432988,460004,517421,573475,598349,607772,640821,662505,687478,735817,770264,826888,867113,897940,967742,1029434,1055873,1106102,1193346,1197547,1255917,1311354,1371462,1339070,1382791,1449792,1469892,1457984,1521185,1593676,1628982,1678055,1718874,1844781,1969753,2135811
 "23015","Lincoln, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",20359,20636,21133,21337,22182,22743,23304,23998,24680,25350,25904,25726,25845,26090,26899,27377,27514,27954,28571,29306,30065,30485,30692,30959,31275,31533,32051,32289,32622,32885,33212,33697,33968,34206,34495,34827,34864,34904,34899,34768,34627,34395,34325,34252,34230,34233,34010,34256,34536,34747,35081,35192,35828
