GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",134265,146833,163836,185275,226164,230361,258050,251851,279005,319401,357612,370195,419602,439625,467728,526191,532633,554807,581591,594425,646883,698346,727700,781182,830561,860571,897536,975218,989807,1047484,1065001,1131424,1182589,1178208,1244724,1373865,1456151,1513520,1660451,1766350,1636941,1684461,1947807,2014253,2154352,2190257,2222480,2185039,2184498,2323668,2366881,2685746,2830883
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",42064,42598,43316,43722,43615,44015,43419,42996,42909,42929,41731,42146,42148,41960,41497,41464,41406,41319,41221,40970,40448,39873,39906,40098,40308,40427,40567,40667,40454,40202,40072,39825,39602,39417,39419,39440,39569,39604,39847,39915,40219,40715,40940,41526,42080,42123,42275,42626,43011,42686,42436,42187,42134
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3192,3447,3782,4238,5185,5234,5943,5858,6502,7440,8569,8784,9955,10477,11271,12690,12864,13427,14109,14509,15993,17514,18235,19482,20605,21287,22125,23981,24467,26056,26577,28410,29862,29891,31577,34834,36800,38216,41671,44253,40701,41372,47577,48506,51197,51997,52572,51261,50789,54436,55775,63663,67188
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",210283,224268,242387,267359,301284,333252,352422,411806,463020,517932,608753,673230,751961,795274,800392,796018,816980,836087,856542,910828,980160,1020794,1073894,1148836,1191491,1198104,1263028,1301637,1355405,1412737,1428079,1504414,1561606,1615682,1703410,1782756,1854637,1954188,2061598,2182756,2157134,2206949,2240903,2304240,2289217,2443271,2498561,2600970,2719381,2882787,3051473,3345136,3618749
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",58259,59514,59487,60041,60069,61271,61666,61872,63385,64641,65804,66437,66799,65659,64815,64246,62983,62331,62341,62907,63330,64397,64649,65417,65991,66644,67273,67764,68022,67466,67265,67075,67896,68264,69065,69775,70423,71256,71827,72027,72468,72847,72361,71761,71025,70751,70971,71489,72430,73697,74944,75811,76841
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3609,3768,4075,4453,5016,5439,5715,6656,7305,8012,9251,10133,11257,12112,12349,12390,12971,13414,13740,14479,15477,15852,16611,17562,18055,17978,18775,19208,19926,20940,21231,22429,23000,23668,24664,25550,26336,27425,28702,30305,29767,30296,30968,32110,32231,34533,35205,36383,37545,39117,40717,44125,47094
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",72691,80900,88530,101309,114427,127645,145553,161560,179390,206641,235920,272723,316252,344659,366935,390124,403681,401968,408512,423337,451341,470329,484985,503349,535276,545805,569029,598022,646198,651032,674677,718755,785529,818063,863940,918065,981439,1084053,1144338,1259382,1236341,1302217,1368585,1389272,1397399,1488304,1497485,1512909,1573206,1641263,1725889,1839129,1969926
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",27021,28022,28826,29549,29781,30396,30334,31007,31495,31479,32281,32720,33146,33891,34836,35002,35207,34972,35030,34353,34175,34112,34080,34022,34094,34382,34818,35233,34965,35017,34993,35148,34866,34929,35048,35097,35267,35525,36157,36687,37283,37587,37718,38001,38070,38169,38188,38311,38130,38077,38067,38077,38163
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2690,2887,3071,3429,3842,4199,4798,5210,5696,6564,7308,8335,9541,10170,10533,11146,11466,11494,11662,12323,13207,13788,14231,14795,15700,15875,16343,16973,18481,18592,19280,20449,22530,23421,24650,26158,27829,30515,31649,34328,33161,34645,36285,36559,36706,38992,39213,39490,41259,43104,45338,48300,51619
 "10300","Adrian, MI (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",301136,318572,332577,384602,441578,463213,513428,571596,643456,709813,796821,846066,910883,935660,992877,1094453,1168706,1220315,1321498,1413124,1507392,1573246,1588181,1689221,1797277,1966310,2022869,2089485,2213229,2333693,2456586,2596578,2646589,2686256,2779731,2846255,2935713,2996144,3029331,3066314,2932207,3050829,3210597,3295914,3266677,3377545,3562323,3652478,3719429,3890970,4030272,4376511,4643933
 "10300","Adrian, MI (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",81134,82045,82919,84040,85693,87335,88044,88392,88747,89937,90594,90094,90483,89163,88207,87665,88203,88262,88737,89425,90687,91753,93198,93669,94419,94790,95662,96271,96953,97585,98565,99069,99626,100293,100704,101216,101367,101715,101657,101169,100250,99678,99545,99356,99304,99368,99164,99470,99526,99268,99816,99214,98956
 "10300","Adrian, MI (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3712,3883,4011,4576,5153,5304,5831,6467,7250,7892,8796,9391,10067,10494,11256,12484,13250,13826,14892,15802,16622,17147,17041,18034,19035,20744,21146,21704,22828,23914,24924,26210,26565,26784,27603,28121,28961,29456,29800,30309,29249,30607,32253,33173,32896,33990,35924,36719,37371,39197,40377,44112,46929
 "10460","Alamogordo, NM (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",152478,169653,179651,194810,219420,239535,269709,293301,327270,353072,383220,416251,454282,521416,570097,610346,657158,686520,707077,719859,725432,749630,786072,827700,868802,900203,962771,990708,1013262,1034647,1069256,1124369,1185326,1272674,1321678,1412832,1481296,1566811,1655826,1745838,1822815,2011609,2084524,2097245,2043755,2086720,2128903,2182582,2206199,2304413,2388130,2645090,2855076
 "10460","Alamogordo, NM (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",40800,41378,42821,42314,42296,43017,43783,43947,44721,45498,45359,44739,45002,46036,47950,49095,50312,51463,52149,52438,52471,51979,53027,53588,55419,57712,59516,60798,61526,61258,61903,62151,61277,61194,61371,62662,62533,62200,62466,62498,62462,64404,65650,66223,66321,65359,64792,65669,66097,66528,67489,67861,68537
 "10460","Alamogordo, NM (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3737,4100,4195,4604,5188,5568,6160,6674,7318,7760,8449,9304,10095,11326,11889,12432,13062,13340,13559,13728,13825,14422,14824,15446,15677,15598,16177,16295,16469,16890,17273,18091,19344,20797,21536,22547,23688,25190,26508,27934,29183,31234,31752,31669,30816,31927,32857,33236,33378,34638,35385,38978,41657
 "10620","Albemarle, NC (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",133731,145294,154641,171175,197181,208030,222554,254024,281326,309198,347439,378999,421623,442743,487078,553054,586275,630383,676978,726980,785373,823215,846777,886948,925491,964672,1025680,1092577,1166966,1238192,1296108,1354219,1393947,1396911,1416821,1504890,1615550,1699321,1781272,1777303,1722313,1768550,1814652,1911657,1941766,2035279,2109746,2202222,2305749,2393168,2506110,2709633,2970033
 "10620","Albemarle, NC (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",42424,42998,44062,44819,45388,45481,45671,46015,46482,47026,47609,48554,48555,48757,48978,49744,50192,50227,50547,51006,51612,51906,52646,53092,53585,54376,54799,55455,56412,56918,57791,58246,58674,58689,58748,58638,58931,59185,59849,60418,60496,60564,60464,60341,60455,60383,60326,60467,61028,61578,62073,62609,63425
 "10620","Albemarle, NC (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3152,3379,3510,3819,4344,4574,4873,5520,6052,6575,7298,7806,8683,9081,9945,11118,11681,12551,13393,14253,15217,15860,16084,16706,17271,17741,18717,19702,20686,21754,22428,23250,23757,23802,24117,25664,27414,28712,29763,29417,28470,29201,30012,31681,32119,33706,34972,36420,37782,38864,40374,43279,46827
 "10660","Albert Lea, MN (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",130704,146074,153434,164001,206738,216661,223660,227455,280739,303046,318473,334670,364106,387038,383109,442316,443763,465571,497300,492802,537185,531398,526802,561324,546020,591315,593932,654798,675202,712593,739221,790043,809024,815389,845088,897993,902204,935228,985435,1049454,1049398,1093820,1177206,1219510,1264419,1236604,1260500,1250631,1318435,1351315,1388339,1528100,1654000
 "10660","Albert Lea, MN (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",37365,38215,38796,38696,37933,37283,36906,37094,37165,36904,36659,36268,35944,35555,35342,35013,34474,33998,33553,33566,33252,33081,32884,32848,33038,32941,32541,32613,32505,32624,32638,32555,32474,32053,32031,31948,31704,31622,31511,31270,31313,31216,31135,31144,31095,30964,30791,30764,30961,30981,30863,30883,30749
 "10660","Albert Lea, MN (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3498,3822,3955,4238,5450,5811,6060,6132,7554,8212,8687,9228,10130,10886,10840,12633,12872,13694,14821,14682,16155,16064,16020,17089,16527,17951,18252,20078,20772,21843,22649,24268,24913,25439,26383,28108,28457,29575,31273,33561,33513,35040,37810,39157,40663,39937,40937,40652,42584,43618,44984,49480,53790
 "10700","Albertville, AL (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",153597,164687,181112,207269,235411,253182,295284,330407,360423,411189,460593,507327,563699,586777,639723,719764,774925,832708,863250,935425,1030693,1087482,1164686,1291043,1388666,1483321,1606546,1623464,1648054,1726839,1742333,1805810,1925624,1947952,2063464,2192680,2307096,2395290,2533858,2629044,2678261,2774800,2797651,2930834,2962944,3062227,3265469,3235236,3334747,3457882,3682125,3970284,4362865
 "10700","Albertville, AL (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",55181,54422,55910,56985,57994,59226,61052,62115,63528,65004,65016,65802,66400,66869,67323,68265,69389,69746,70375,70656,70563,71054,71974,73589,75534,77310,78924,80283,81071,81465,81992,82429,82477,83417,84348,85131,86516,88209,89605,91072,92213,93136,93984,94416,94575,94544,94935,95535,96066,96774,97362,97608,98228
 "10700","Albertville, AL (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2784,3026,3239,3637,4059,4275,4837,5319,5673,6326,7084,7710,8489,8775,9502,10544,11168,11939,12266,13239,14607,15305,16182,17544,18385,19187,20356,20222,20329,21197,21250,21907,23347,23352,24464,25757,26667,27155,28278,28868,29044,29793,29767,31042,31329,32389,34397,33864,34713,35732,37819,40676,44416
 "10760","Alexander City, AL (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",114040,118559,128412,144277,164573,179134,195415,225947,250353,280462,313441,358411,387071,400839,439896,476789,510413,552315,586019,626377,688104,720870,761786,835476,862476,894001,946111,983096,1035962,1081191,1104271,1125911,1159407,1152119,1222359,1312675,1379791,1483685,1540127,1602561,1603707,1638590,1657770,1698252,1720262,1732012,1836913,1885309,1912640,1974792,2090846,2214934,2383192
