GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "29000","Missouri",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",16912485,18479482,19938913,21682224,24089650,25774725,28212715,30912024,34252401,38129735,42513848,46120241,51516587,55083525,58757912,65189289,69743973,73416857,77345852,82131486,88040042,91909039,95964054,102138919,106821070,113391093,119590208,126668265,134328093,141027077,146510937,156675811,161842010,165525993,171766554,181111939,187996225,199347818,209021358,221033500,216893573,222563967,231646331,242981353,245199961,254317468,263271401,270603534,276573947,288564834,301030739,320698247,341253957
 "29000","Missouri",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996166,6011569,6026727,6044003,6060459,6077057,6093349,6113669,6128594,6143406,6154481,6168187
 "29000","Missouri",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3645,3945,4222,4562,5045,5386,5883,6409,7070,7828,8695,9370,10445,11174,11885,13103,13948,14616,15296,16162,17277,17920,18559,19578,20265,21296,22236,23321,24507,25540,26342,27941,28690,29168,30085,31510,32467,34119,35502,37312,36385,37118,38533,40317,40569,41963,43322,44410,45239,47085,49001,52108,55325
 "29001","Adair, MO",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",56826,61264,66775,75018,89851,98984,112804,124839,136999,151369,172100,185281,208980,213959,226158,236127,244938,251365,260119,270420,300825,315673,339339,365202,381754,406167,421440,435775,455710,462750,478659,508642,523657,524997,527950,559158,577604,607309,638596,679039,715431,701273,727563,736934,755923,768372,792782,792740,798657,819823,842994,906432,954467
 "29001","Adair, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",22534,22413,22294,23360,23945,23893,23438,24099,24055,24333,24500,24957,25257,25361,25527,25516,25314,24744,24766,24489,24567,24584,24574,24690,24844,24959,24998,24883,24871,24887,24961,24956,24967,25072,24958,24988,24849,25007,24983,25399,25577,25634,25659,25665,25682,25492,25322,25223,25416,25472,25374,25246,25185
 "29001","Adair, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2522,2733,2995,3211,3752,4143,4813,5180,5695,6221,7024,7424,8274,8437,8860,9254,9676,10159,10503,11043,12245,12841,13809,14791,15366,16273,16859,17513,18323,18594,19176,20382,20974,20940,21154,22377,23245,24286,25561,26735,27972,27357,28355,28714,29434,30142,31308,31429,31423,32185,33223,35904,37898
 "29003","Andrew, MO",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",42186,43086,47893,53291,65045,62043,69758,72942,85352,95812,111308,111292,128912,133778,141272,159274,175334,179100,184279,189493,211066,221920,237020,253422,260721,282900,297855,323640,354299,374826,402837,429292,428348,421581,431146,469880,477867,515540,559439,613987,616840,616652,643792,658590,683860,700374,708569,724197,753657,756602,810436,860968,912569
 "29003","Andrew, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",12044,12008,12410,12616,12818,12980,13483,13442,13431,13833,13793,14016,14132,14270,14511,14710,14610,14477,14537,14598,14534,14696,14898,15042,15157,15416,15633,15727,15948,16212,16308,16522,16580,16501,16608,16580,16511,16861,16834,16924,17036,17357,17258,17419,17462,17487,17567,17650,17823,18064,18151,18083,18002
 "29003","Andrew, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3503,3588,3859,4224,5075,4780,5174,5426,6355,6926,8070,7940,9122,9375,9736,10828,12001,12371,12677,12981,14522,15101,15910,16848,17201,18351,19053,20579,22216,23120,24702,25983,25835,25549,25960,28340,28942,30576,33233,36279,36208,35528,37304,37809,39163,40051,40335,41031,42286,41885,44650,47612,50693
 "29005","Atchison, MO",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",31225,35153,36997,44395,55172,46094,53623,55706,55714,66061,74166,49273,79939,80678,75292,94501,104213,105026,99343,88889,94366,109237,115244,124772,104893,137596,120524,152862,154838,151327,150005,164536,164765,154486,167232,189008,178379,179338,193558,227380,246291,236605,245636,237948,282925,274093,201197,223015,220346,196750,237322,263410,283573
