GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",397478,445225,476061,541293,581519,655804,771668,852803,926754,1062407,1210051,1396724,1681889,1805340,1890446,2010700,2138884,2128927,2097573,2189009,2274917,2324820,2382790,2541971,2668070,2724394,2915506,3105725,3322907,3469198,3611700,3706538,3790618,3945616,4192472,4386531,4626050,4922468,5185518,5734957,5487739,5804497,6161538,6462295,6654742,7129665,6948394,6852464,7057059,7530739,8001810,8700850,9850903
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165673,167069,168246,168614,169859,171579,172242,172915,174005,175187,176809,177314
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3176,3634,3813,4212,4560,5099,5889,6394,6965,7901,8858,9970,11736,12125,12361,13092,13937,13732,13651,14589,15235,15726,16165,16956,17449,17716,18678,19864,21111,21920,22608,23124,23853,24813,26399,27389,28776,30501,32005,35290,33485,35036,36880,38410,39467,41974,40497,39784,40812,43279,45676,49210,55556
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2720989,2838776,2990538,3263561,3568727,3882656,4114360,4425010,4944761,5471768,6012395,6607832,7243539,7575849,7987788,8702211,9210231,9636333,10095804,10770981,11738137,12392974,12698519,13573246,14178987,15065195,15997336,16821909,17779727,18928138,19547530,20722983,21096103,21391814,22238213,23105169,23771959,24716672,26022232,27184842,26373017,27146196,28219626,29059109,29711470,31064986,31951292,32371034,33614139,34936203,36453022,38734676,41115423
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",676214,679077,679231,677046,676196,670284,672844,667910,662233,658517,660364,660334,658870,656126,653968,651917,648457,646647,647810,652814,655626,658654,664478,669752,674114,678063,682146,687264,689461,691039,693125,695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,703057,703272,702245,703809,705134,704664,703862,704229,703925,703361,701305,700015
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4024,4180,4403,4820,5278,5793,6115,6625,7467,8309,9105,10007,10994,11546,12214,13349,14203,14902,15585,16499,17904,18816,19111,20266,21034,22218,23451,24477,25788,27391,28202,29777,30219,30580,31717,32922,33839,35187,36994,38653,37496,38612,40126,41380,42215,44055,45343,45991,47732,49631,51827,55232,58735
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",321140,372190,424311,480038,555071,572953,601973,669194,731117,843252,944356,1053652,1201662,1270580,1352233,1508326,1585078,1653303,1710957,1836633,1966471,2094178,2233147,2344768,2455591,2682327,2828467,3009316,3097422,3216466,3302988,3434771,3524676,3671978,3809952,3899347,4035833,4130270,4306086,4481946,4567668,4706821,5033320,5057703,4996966,5092197,5190635,5231088,5341918,5459864,5699835,6234457,6741302
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",120767,123598,127456,131775,133860,130309,131861,134378,137462,138191,140660,142986,144771,145744,145846,146534,147235,146612,145828,144961,144058,143025,144169,146343,148122,149356,150100,151596,152692,153449,153555,153585,153730,153024,152790,152887,152919,153535,153661,153823,154409,154227,154933,154669,153680,153263,152018,151044,150387,150440,149530,148417,147773
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2659,3011,3329,3643,4147,4397,4565,4980,5319,6102,6714,7369,8300,8718,9272,10293,10766,11277,11733,12670,13651,14642,15490,16022,16578,17959,18844,19851,20285,20961,21510,22364,22928,23996,24936,25505,26392,26901,28023,29137,29582,30519,32487,32700,32515,33225,34145,34633,35521,36293,38118,42006,45619
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",225174,242957,268934,298356,345781,396139,430189,496928,561977,626200,692242,763418,833933,858057,904395,971595,1012785,1055672,1120327,1247940,1344041,1415677,1493662,1589035,1700272,1799553,1920465,2092053,2163857,2217651,2264611,2353572,2567006,2641126,2704906,2888624,3009212,3279740,3438887,3568970,3553980,3697658,3818109,3947158,4006682,4287895,4578379,4789469,5067439,5457809,5682784,6235005,6841839
