GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "28000","Mississippi",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",5540675,6077002,6737073,7677404,8779039,9648091,10462842,11877611,13222207,14721611,16636575,18097527,20331600,21465369,22451566,24527664,25818840,26781306,28323856,30302627,32735804,34442518,36287596,39062668,41597030,45005285,47613260,50525507,53377481,56584717,58573067,61755376,65175887,66375044,69022294,73109867,77981568,81284366,86544398,90748398,89226649,92933243,96917993,100377212,102317393,104255478,106063990,107499466,110093054,112738981,117112841,126306868,135347396
 "28000","Mississippi",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970366,2977897,2982342,2986574,2987621,2984959,2984317,2983393,2974618,2968981,2956870,2949965
 "28000","Mississippi",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2496,2736,2974,3327,3736,4056,4360,4887,5375,5917,6633,7166,8008,8395,8744,9514,9976,10326,10942,11744,12717,13356,13964,14888,15667,16737,17488,18386,19221,20174,20709,21681,22845,23219,24064,25306,26835,27981,29554,30785,30157,31287,32546,33657,34259,34896,35533,36021,36902,37900,39445,42716,45881
 "28001","Adams, MS",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",100677,103294,115092,125980,141559,160546,174202,194090,217321,243208,276848,311020,351604,367256,388046,411595,412046,401302,407014,411302,442651,468336,478868,520231,549254,576262,603603,641571,662295,694094,715217,739348,750789,778834,754645,765258,815254,893828,918185,987083,917103,955045,1004938,1047858,1065822,1084895,1031911,1014996,1019306,1053718,1090057,1165053,1233358
 "28001","Adams, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",37491,37395,38068,37851,37394,37668,38395,37985,37859,37874,37714,38209,38696,39172,38841,39006,38826,37694,36542,35794,35768,35294,35390,34899,35013,35151,34976,35105,35242,34969,34591,34246,33945,33730,33482,32785,32674,33220,32889,32629,32305,32558,32322,32003,31832,31696,31105,31046,31006,30521,29936,29405,28742
 "28001","Adams, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2685,2762,3023,3328,3786,4262,4537,5110,5740,6422,7341,8140,9086,9375,9991,10552,10613,10646,11138,11491,12376,13270,13531,14907,15687,16394,17258,18276,18793,19849,20676,21589,22118,23090,22539,23342,24951,26906,27918,30252,28389,29334,31091,32742,33483,34228,33175,32693,32874,34524,36413,39621,42911
 "28003","Alcorn, MS",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",67072,74168,82402,94605,108135,117716,127735,146084,167414,193275,223864,241527,269593,277061,286707,307266,322324,344546,355029,376136,398289,424001,446397,490945,516357,542569,564586,580440,614036,639252,655495,694207,727585,732461,746229,797994,828624,864776,905217,957530,971361,1027309,1085824,1138380,1157909,1178344,1217750,1231618,1278425,1330795,1351461,1435602,1520108
 "28003","Alcorn, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",27126,27254,27927,28256,28814,29167,29541,29655,30643,31705,32420,33041,32999,32661,32628,32780,32405,32560,32155,32046,31723,31791,32369,32938,33115,33258,33456,33454,33808,33913,34320,34600,34746,34946,35045,35448,35688,36183,36608,36793,36868,37053,37014,36724,36577,36335,36140,35888,35625,35087,35034,34680,34349
 "28003","Alcorn, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2473,2721,2951,3348,3753,4036,4324,4926,5463,6096,6905,7310,8170,8483,8787,9374,9947,10582,11041,11737,12555,13337,13791,14905,15593,16314,16875,17350,18162,18850,19100,20064,20940,20960,21293,22512,23219,23900,24727,26025,26347,27725,29335,30998,31657,32430,33695,34318,35886,37928,38576,41396,44255
 "28005","Amite, MS",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25754,27492,30134,33947,40622,42796,42836,49416,52017,58748,68820,72764,81456,85461,91180,97149,100684,101510,102258,110031,119221,126961,136262,145716,155098,165670,178830,193069,203797,220970,226047,242485,255977,255370,260433,278312,293580,304674,320209,343184,332484,339445,344981,355363,370418,384187,386740,389345,418959,428524,426820,452272,497989
 "28005","Amite, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13945,13656,13317,13371,13164,13032,13103,13243,13319,13099,13192,13358,13295,13385,13472,13621,13562,13777,13562,13441,13464,13262,13292,13299,13254,13108,13421,13352,13453,13605,13614,13546,13471,13401,13415,13337,13396,13586,13400,13324,13171,13150,13205,13050,13018,12814,12810,12746,12803,12720,12732,12698,12637
 "28005","Amite, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1847,2013,2263,2539,3086,3284,3269,3731,3905,4485,5217,5447,6127,6385,6768,7132,7424,7368,7540,8186,8855,9573,10251,10957,11702,12639,13325,14460,15149,16242,16604,17901,19002,19056,19414,20868,21915,22426,23896,25757,25244,25813,26125,27231,28454,29982,30190,30546,32724,33689,33523,35618,39407
 "28007","Attala, MS",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",38383,43396,47459,55157,59986,62732,70296,81076,94048,98818,108192,116102,126991,131254,135596,148619,155288,162794,171140,181012,199606,210989,226048,238213,249924,269501,282784,301892,313003,329942,338100,351978,370323,436984,419064,416331,429607,465040,496595,532086,535151,548748,592780,585328,592501,588765,594919,597154,603306,603668,630659,703311,745951
