GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "30000","Montana",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2350491,2604190,2787297,3230256,3745221,4069917,4478717,4806477,5197877,6090546,6548668,7211128,8194340,8635647,9076888,9602766,9738412,10125627,10398004,10687855,11775559,12378011,13196264,14013952,15163358,15585255,16415894,17203322,17939129,19152313,19560451,20860368,21763691,22384638,24025250,26161859,28272678,30670209,32976141,34947618,34133536,36060380,38487933,40919721,41322467,43555779,45453524,46074125,48704816,50780050,54083492,58769643,62886699
 "30000","Montana",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990863,998188,1005385,1015933,1024998,1034413,1045648,1057982,1066542,1075462,1086193,1104271
 "30000","Montana",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3387,3735,3920,4492,5149,5521,5978,6337,6739,7768,8298,9142,10303,10741,11151,11698,11843,12443,12916,13356,14726,15469,16298,16971,17950,18095,18728,19411,20159,21461,21794,23081,23996,24554,26125,28131,30074,32193,34183,35792,34689,36393,38558,40701,40674,42494,43941,44063,46036,47612,50289,54106,56949
 "30001","Beaverhead, MT",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25464,28558,30645,36775,41615,42725,45490,44317,45772,56732,62648,65548,75489,79490,85657,90776,92366,98469,99224,104692,116236,124145,129832,136206,147263,150916,159494,163745,171301,180755,182272,193354,206592,206340,217840,232649,244240,244268,269016,288638,288567,296702,324914,341121,355562,382048,402739,404254,403017,422871,459049,497780,518390
 "30001","Beaverhead, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",8113,8207,8227,8085,8011,8124,7974,7904,7845,8044,7919,8240,8442,8674,8717,8496,8497,8492,8460,8520,8543,8429,8487,8696,8793,8951,9168,9394,9244,9133,9184,9204,9058,9018,8924,8908,8904,9012,9028,9166,9200,9254,9202,9338,9273,9296,9248,9395,9360,9326,9376,9372,9524
 "30001","Beaverhead, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3139,3480,3725,4549,5195,5259,5705,5607,5835,7053,7911,7955,8942,9164,9826,10685,10870,11596,11729,12288,13606,14728,15298,15663,16748,16860,17397,17431,18531,19791,19847,21008,22808,22881,24411,26117,27430,27105,29798,31490,31366,32062,35309,36530,38344,41098,43549,43029,43057,45343,48960,53114,54430
 "30003","Big Horn, MT",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",27925,31357,30260,37374,45473,50621,49596,49069,53945,70068,77584,92366,103569,99803,99454,105220,106618,109624,110112,109173,120483,126995,142067,152914,167359,163974,162293,163179,176306,183474,187538,206047,217748,214797,243997,260035,278367,267772,289993,308498,304930,318622,337896,341995,343903,352486,373083,382628,389148,394711,417417,466704,473150
 "30003","Big Horn, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10052,10063,10150,10300,10304,10500,10975,10617,10727,11342,10932,11051,10851,10961,11032,11229,11411,11446,11261,11210,11466,11313,11400,11622,11773,12074,12215,12418,12669,12673,12653,12669,12783,12713,12652,12731,12634,12540,12549,12564,12747,12912,13058,12994,13111,13337,13305,13432,13447,13298,13241,13051,12957
 "30003","Big Horn, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2778,3116,2981,3629,4413,4821,4519,4622,5029,6178,7097,8358,9545,9105,9015,9370,9343,9577,9778,9739,10508,11226,12462,13157,14215,13581,13286,13141,13916,14478,14822,16264,17034,16896,19285,20425,22033,21353,23109,24554,23922,24676,25877,26319,26230,26429,28041,28486,28939,29682,31525,35760,36517
 "30005","Blaine, MT",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",18219,21682,22022,28784,36698,35592,35997,35733,34860,46053,43794,45880,56480,57835,60718,64045,58984,68500,70822,72278,86119,84347,89230,94972,100809,90110,93032,95820,99178,111505,111516,112750,114833,106673,117873,134052,142170,132327,150970,159453,165075,172372,183591,184347,195767,191739,195870,187838,196568,200372,204251,225020,237985
