GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "37000","North Carolina",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",15858142,17320423,18856792,21319016,24174505,26653856,28942763,32132322,35208099,39736164,43908313,49246957,55496710,59420072,64644452,73126172,79020157,85194512,91884496,100589475,109693130,116522487,121893315,132674908,141458338,150582582,161486709,172816700,185687858,198667149,208586318,222325779,228555910,231900307,241851137,262024320,281572128,306618081,330170299,352222250,339555620,343348333,355826622,380160568,376392383,398099522,419334270,432626193,453729161,476308708,505470189,542726456,592695039
 "37000","North Carolina",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9571353,9642580,9722105,9803434,9880220,9966060,10076064,10175266,10275806,10370550,10457177,10551162
 "37000","North Carolina",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8348,9317,9872,10637,11863,12635,13477,14349,15522,16708,17485,17967,19236,20085,20951,21987,23040,24251,25440,26239,27510,27838,27852,28715,30635,32345,34385,36211,37835,35933,35872,36902,39103,38394,40293,42076,42936,44591,46352,48741,51900,56173
 "37001","Alamance, NC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",329879,350273,381007,424017,469926,504551,536960,590057,628721,697983,781945,871795,979962,1050004,1133432,1254093,1334700,1448617,1548484,1682733,1829543,1901481,1981909,2111525,2245397,2379702,2545725,2695792,2900497,3111318,3276134,3449727,3593947,3665037,3798799,3883968,4046903,4403150,4704481,4889345,4750311,4864367,5074254,5248013,5328813,5582707,5759612,5994355,6253563,6606297,7036830,7632800,8366592
 "37001","Alamance, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",96050,96843,98499,99740,99940,99272,98243,98721,98505,98540,99048,99532,100083,101000,101559,101706,102524,103515,105072,106327,107425,108695,110762,112825,114678,116788,118796,121263,123877,126232,128743,131423,133346,135239,136009,137619,139311,141462,144712,147704,149954,151452,152782,153421,154381,155658,157367,160663,163671,166901,169590,171842,173877
 "37001","Alamance, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3434,3617,3868,4251,4702,5083,5466,5977,6383,7083,7895,8759,9791,10396,11160,12331,13018,13994,14737,15826,17031,17494,17893,18715,19580,20376,21429,22231,23414,24648,25447,26249,26952,27100,27930,28223,29049,31126,32509,33102,31678,32118,33212,34207,34517,35865,36600,37310,38208,39582,41493,44418,48118
 "37003","Alexander, NC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",57882,59796,66867,75107,89470,94742,101401,116936,133293,148161,163257,183718,211658,214133,242755,284709,298020,323924,338411,367275,411174,439252,454638,497064,532904,572454,596672,605467,649490,718684,778901,820849,841740,827487,840746,910395,947151,990881,1029402,1018493,1006344,1036208,1047055,1087817,1104224,1169506,1237100,1248371,1321890,1360926,1434432,1535412,1704413
 "37003","Alexander, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",18795,19593,20347,21184,22069,22673,22894,23080,23588,24058,24719,25066,25260,25572,25865,26097,26348,26557,26796,27078,27423,27652,28095,28453,29208,29949,30496,30967,31668,32492,33274,33774,34187,34665,34998,35343,35786,36243,36609,36840,37053,37208,36910,36711,36703,36584,36453,36511,36396,36459,36499,36430,36644
 "37003","Alexander, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3080,3052,3286,3545,4054,4179,4429,5067,5651,6158,6605,7329,8379,8374,9385,10910,11311,12197,12629,13564,14994,15885,16182,17470,18245,19114,19566,19552,20509,22119,23409,24304,24622,23871,24023,25759,26467,27340,28119,27646,27160,27849,28368,29632,30085,31968,33937,34192,36320,37328,39301,42147,46513
 "37005","Alleghany, NC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",19145,20531,23339,27217,31140,32791,36987,39826,43735,49993,57114,63073,69976,76421,80345,87349,89674,93962,103319,114501,126878,136210,144548,157069,171020,180790,202294,212421,230576,247470,264550,267670,264975,265077,266650,278073,289479,288471,302506,312727,316925,321590,328480,339233,334204,355342,376378,384456,393166,411495,435179,464818,499485
 "37005","Alleghany, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8084,8147,8337,8653,8768,9041,9018,9269,9300,9405,9620,9607,9664,9754,9722,9699,9549,9530,9550,9519,9578,9622,9756,9830,9870,10020,10174,10241,10287,10437,10567,10673,10740,10740,10776,10790,10788,10940,11061,11131,11125,11129,10981,10882,10813,10773,10710,10752,10799,10928,10867,10899,11049
 "37005","Alleghany, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2368,2520,2799,3145,3552,3627,4101,4297,4703,5316,5937,6565,7241,7835,8264,9006,9391,9860,10819,12029,13247,14156,14816,15979,17327,18043,19883,20742,22414,23711,25035,25079,24672,24681,24745,25771,26833,26368,27349,28095,28488,28897,29913,31174,30908,32984,35143,35757,36408,37655,40046,42648,45206
 "37007","Anson, NC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",53828,57067,62544,72275,83576,89276,94958,109967,118558,134094,148668,163367,175779,182435,190715,220923,228041,252802,265672,288891,316491,339623,351562,368349,398795,409867,435083,457314,482655,515339,529091,555419,580580,551650,558105,607175,632279,669316,710313,714745,692262,720605,718795,745943,743241,800944,829606,808068,850515,857278,881570,926464,1053223
 "37007","Anson, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23826,23511,23791,24130,24469,24388,24652,24788,24888,24895,25185,25620,25427,25317,25208,24997,24848,24605,24336,24117,23755,23498,23564,23761,24483,24698,24630,24977,25134,25340,25288,25342,25553,25723,25749,26386,26585,26599,26664,26837,26917,26796,26230,25806,25243,25033,24471,23836,23330,22782,21705,22030,22060
 "37007","Anson, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2259,2427,2629,2995,3416,3661,3852,4436,4764,5386,5903,6377,6913,7206,7566,8838,9177,10274,10917,11979,13323,14453,14919,15502,16289,16595,17665,18309,19203,20337,20923,21917,22721,21446,21675,23011,23783,25163,26639,26633,25718,26892,27404,28906,29443,31996,33902,33901,36456,37630,40616,42055,47744
 "37009","Ashe, NC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",39913,43533,47776,56093,67696,73389,76261,87638,96640,115695,125114,130368,144043,159164,180325,206062,222978,238555,248783,268989,289140,301451,319939,336382,371327,404156,436890,447434,480873,502577,534835,561033,585484,586397,596354,628009,645559,689159,730424,764944,786083,803765,804428,856859,834690,842037,848389,878570,904091,948932,1015239,1096874,1180718
 "37009","Ashe, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",19606,19617,19998,19986,20207,20468,20671,20926,21253,21643,21834,22361,22440,22496,22605,22681,22716,22394,22398,22361,22317,22206,22416,22511,22786,23099,23339,23691,23865,23989,24181,24480,24750,25029,25288,25684,25838,26134,26506,26858,27144,27212,26913,26794,26654,26522,26329,26241,26379,26641,26671,26569,26711
 "37009","Ashe, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2036,2219,2389,2807,3350,3586,3689,4188,4547,5346,5730,5830,6419,7075,7977,9085,9816,10653,11107,12029,12956,13575,14273,14943,16296,17497,18719,18886,20150,20950,22118,22918,23656,23429,23582,24451,24985,26370,27557,28481,28960,29537,29890,31980,31316,31749,32223,33481,34273,35619,38065,41284,44203
 "37011","Avery, NC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25435,27930,31132,35351,39752,43665,48154,52863,59540,68014,77111,85718,94107,101447,114861,133399,140500,153285,161149,175067,194396,207541,224117,238975,272855,280543,307098,315255,343676,360686,382487,402942,401280,400646,407635,418575,437064,438772,474479,473428,489268,496049,502728,527221,520683,547609,556006,572243,598898,624077,660102,715432,768549
 "37011","Avery, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12609,12744,13180,13501,13592,14056,14154,14189,14169,14220,14316,14441,14529,14572,14644,14760,14723,14687,14809,14828,14868,14925,15024,15162,15377,15472,15665,15931,16123,16255,17040,17318,17706,17867,17896,17971,17945,18104,17949,18024,17925,17803,17801,17670,17739,17756,17612,17589,17683,17691,17697,17798,17864
 "37011","Avery, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2017,2192,2362,2618,2925,3107,3402,3726,4202,4783,5386,5936,6477,6962,7844,9038,9543,10437,10882,11807,13075,13906,14917,15761,17744,18132,19604,19789,21316,22189,22446,23267,22664,22424,22778,23292,24356,24236,26435,26267,27295,27863,28242,29837,29352,30841,31570,32534,33869,35277,37300,40197,43022
