GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "38000","North Dakota",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1990570,2102372,2424204,2887407,4036830,3998170,4181464,4101883,4261106,5357868,5507412,5269899,6899449,7453236,7831128,8458262,8740885,8869920,9133063,8466566,9482678,10256587,10388057,11391699,11547525,12547582,12570634,14065748,13771145,15077563,15272287,16623223,16961221,17369524,18958792,19410298,20653421,21662917,23964522,27009433,26739849,29880787,33666049,39796219,39933546,42819622,41178930,39765824,40266314,42733053,44346878,47410748,50002860
 "38000","North Dakota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,675054,687065,705071,727382,744395,762693,764650,766673,771407,776516,778962,774948
 "38000","North Dakota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3205,3397,3868,4576,6383,6304,6549,6357,6564,8235,8445,8053,10462,11141,11573,12429,12912,13248,13814,12920,14671,16084,16340,17849,18009,19460,19404,21627,21196,23285,23705,25892,26541,27218,29678,30107,31967,33357,36709,41075,40212,44264,49000,56443,54900,57523,53991,52005,52521,55396,57110,60864,64524
 "38001","Adams, ND",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",13522,14866,15755,18214,29727,26021,24071,20770,23469,27472,28134,25229,35031,33987,38532,43415,40151,42888,44167,37603,42785,44984,43526,53083,52681,48500,47533,55928,48978,54273,56794,63788,64646,56064,74277,71549,78735,78312,89708,87539,91115,99685,106191,135952,119342,120497,108130,105124,113708,105705,109029,124932,124789
 "38001","Adams, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3897,3800,3717,3701,3746,3730,3710,3724,3725,3616,3586,3577,3544,3472,3546,3525,3578,3487,3401,3309,3217,3157,3092,3024,2834,2866,2814,2820,2784,2734,2648,2578,2542,2509,2469,2436,2405,2366,2362,2343,2325,2351,2312,2335,2392,2388,2397,2341,2331,2274,2229,2188,2167
 "38001","Adams, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3470,3912,4239,4921,7936,6976,6488,5577,6300,7597,7846,7053,9885,9789,10866,12316,11222,12299,12986,11364,13300,14249,14077,17554,18589,16923,16892,19833,17593,19851,21448,24743,25431,22345,30084,29372,32738,33099,37980,37362,39189,42401,45930,58224,49892,50459,45111,44906,48781,46484,48914,57099,57586
 "38003","Barnes, ND",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",46424,47522,56664,65974,87351,94046,99329,84887,91980,123400,120246,87105,119445,144880,134970,164840,162273,160857,172337,140630,171848,205138,188648,212888,190565,219836,211363,253354,222647,257191,248182,287413,277418,286871,309760,317085,334974,330885,388657,459567,417368,508705,518439,601637,525126,539849,524998,526678,534500,554596,601767,683161,718198
 "38003","Barnes, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",14934,14671,14893,14854,14367,14135,13898,14086,14157,14239,14195,13945,13853,13692,13576,13496,13237,13088,13011,12834,12723,12509,12422,12320,12231,12078,12092,12079,12084,12001,11914,11692,11446,11281,11199,11202,11171,11106,11057,11027,11028,11076,11172,11111,11266,11263,11256,11192,11016,10900,10813,10836,10806
 "38003","Barnes, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3109,3239,3805,4441,6080,6653,7147,6026,6497,8666,8471,6246,8622,10581,9942,12214,12259,12290,13245,10958,13507,16399,15187,17280,15580,18201,17480,20975,18425,21431,20831,24582,24237,25430,27660,28306,29986,29793,35150,41677,37846,45929,46405,54148,46612,47931,46642,47058,48520,50880,55652,63045,66463
 "38005","Benson, ND",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",20352,21710,26507,32316,52846,50829,55463,46306,38362,62354,55052,38882,61183,76828,67511,83653,91631,80661,82106,57734,80233,98942,86518,93338,93516,104129,91012,115680,100330,117761,108712,123133,121822,129246,166419,140376,153787,149728,188929,219838,209103,221002,243286,289563,247019,229742,218907,229647,230683,253125,241659,294113,321136
 "38005","Benson, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",8382,8242,8245,8481,8212,8276,8411,8439,8445,8395,8153,7908,7748,7746,7788,7992,7904,7839,7722,7599,7317,7193,7017,6913,7040,7018,7022,6905,6947,6962,6949,6943,6898,6727,6744,6788,6745,6709,6683,6622,6609,6656,6586,6586,6630,6536,6394,6340,6329,6263,6099,5953,5809
 "38005","Benson, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2428,2634,3215,3810,6435,6142,6594,5487,4543,7428,6752,4917,7897,9918,8669,10467,11593,10290,10633,7598,10965,13755,12330,13502,13284,14837,12961,16753,14442,16915,15644,17735,17660,19213,24677,20680,22800,22317,28270,33198,31639,33203,36940,43966,37258,35150,34236,36222,36449,40416,39623,49406,55282
 "38007","Billings, ND",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3828,4101,4640,6356,7158,6792,5693,5543,6424,8757,10272,10179,15101,13835,13356,14553,14163,14756,13193,9180,12935,13072,13793,13213,15501,12470,11403,13054,11396,14111,14525,15525,18497,14657,20633,23427,30052,29147,32545,33431,24567,43303,63574,87010,83276,96751,75716,69540,73745,72162,77792,77485,88405
 "38007","Billings, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",1233,1177,1148,1232,1176,1176,1178,1171,1162,1107,1054,1150,1197,1213,1195,1213,1204,1169,1168,1185,1159,1090,1118,1128,1106,1080,1072,1031,988,941,927,876,877,854,820,792,773,741,762,768,796,784,850,930,926,939,973,977,955,958,977,931,955
