GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "31000","Nebraska",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",5379281,5798379,6368793,7052470,8225746,8565102,9766447,10217431,11073092,12810851,13834164,14758195,17140491,18420706,19046743,21214693,22348417,22999548,24065752,25727175,27305470,29240271,30304871,32208358,33288531,35431168,37436425,40790147,42017542,44804786,46958266,49767676,52068660,52884641,56241293,58826394,61063543,63850574,68718017,72815547,71664168,75489582,84211642,86754229,87398705,92524041,96282140,94838024,96996236,100995064,105922212,112629651,120188474
 "31000","Nebraska",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",1474000,1487963,1504208,1518293,1528517,1537809,1541440,1548901,1554466,1560826,1564356,1572296,1578517,1581776,1584293,1588638,1584661,1574328,1566544,1571477,1574858,1581660,1595919,1611687,1625590,1639041,1656992,1673740,1686418,1695816,1704764,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1830158,1843774,1858886,1873369,1889916,1904449,1921360,1934360,1945367,1954927,1961455,1963692
 "31000","Nebraska",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3649,3897,4234,4645,5382,5570,6336,6597,7123,8208,8843,9386,10859,11646,12022,13354,14103,14609,15362,16371,17338,18487,18989,19984,20478,21617,22593,24371,24915,26421,27545,29039,30275,30599,32348,33627,34666,36019,38531,40535,39535,41248,45674,46670,46653,48957,50556,49360,50144,51916,54182,57421,61205
 "31001","Adams, NE",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",109312,119091,127790,137744,159490,171470,192665,204901,222940,248333,288013,305606,347384,360748,369379,411271,417559,420581,442548,480954,503498,539277,552367,563002,570918,614278,660415,700276,698413,743570,772915,804839,851997,859344,909814,911013,969093,1002311,1097920,1140334,1134159,1163708,1289065,1361212,1408175,1464481,1498529,1467342,1466849,1512650,1571899,1676768,1801786
 "31001","Adams, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",30326,30542,30660,31150,31113,30612,29977,30250,30222,30237,30636,30736,30986,31203,30898,30847,30856,30501,30005,30018,29901,29639,29918,30047,30320,30508,30783,30890,31050,31054,31106,31154,31021,30716,30693,30740,30987,30910,30892,31160,31280,31325,31189,31318,31486,31336,31496,31626,31725,31385,31166,31147,31027
 "31001","Adams, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3605,3899,4168,4422,5126,5601,6427,6774,7377,8213,9401,9943,11211,11561,11955,13333,13533,13789,14749,16022,16839,18195,18463,18737,18830,20135,21454,22670,22493,23944,24848,25834,27465,27977,29642,29636,31274,32427,35541,36596,36258,37149,41331,43464,44724,46735,47578,46397,46236,48197,50436,53834,58072
 "31003","Antelope, NE",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25986,25625,31388,38979,45111,41047,48270,40846,49438,67231,54677,48636,71763,75858,82107,102330,102882,108399,110321,120447,120005,131934,128435,139803,145038,151899,150705,177657,171229,176551,174499,187439,184789,178209,215506,217436,218548,196683,233687,243090,244931,272576,358872,340808,363031,344449,327773,329078,312061,324980,365768,448660,465458
 "31003","Antelope, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",9261,9025,8895,9003,8914,8783,9051,8966,8856,8706,8811,8666,8612,8633,8652,8549,8445,8253,8157,8099,8044,7942,7941,7879,7793,7733,7717,7639,7645,7604,7493,7435,7242,7229,7172,7063,6994,6836,6767,6704,6739,6679,6624,6555,6478,6428,6424,6356,6355,6318,6331,6276,6279
 "31003","Antelope, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2806,2839,3529,4330,5061,4673,5333,4556,5582,7722,6206,5612,8333,8787,9490,11970,12183,13134,13525,14872,14919,16612,16174,17744,18611,19643,19529,23257,22398,23218,23288,25210,25516,24652,30048,30785,31248,28772,34533,36260,36345,40811,54178,51992,56041,53586,51023,51774,49105,51437,57774,71488,74129
 "31005","Arthur, NE",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1556,1667,2173,2281,2312,2816,2683,2952,3590,3313,4656,4668,4684,5419,5920,3915,4323,3641,4977,5342,5716,6059,5387,5233,5877,3989,5121,2136,4906,6211,6983,7843,8504,9510,11786,11825,11811,12391,12303,12222,11465,13199,17629,12259,15179,23572,27199,21625,20641,20561,21702,23424,25537
 "31005","Arthur, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",639,604,590,564,596,593,588,584,582,558,580,511,504,516,509,467,478,484,465,443,445,468,445,462,472,441,434,429,440,447,445,445,423,421,439,433,428,450,457,453,442,464,464,471,443,437,433,445,432,435,436,431,439
 "31005","Arthur, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2435,2760,3683,4044,3879,4749,4563,5055,6168,5937,8028,9135,9294,10502,11631,8383,9044,7523,10703,12059,12845,12947,12106,11327,12451,9045,11800,4979,11150,13895,15692,17625,20104,22589,26847,27309,27596,27536,26921,26980,25939,28446,37994,26028,34264,53941,62815,48596,47780,47267,49775,54348,58171
 "31007","Banner, NE",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2960,3897,4948,6325,7758,6214,6338,7291,5029,8549,7094,17989,10357,6846,11473,13944,10040,16134,13346,14395,14964,13382,12364,13038,15718,13231,16834,15052,16018,13394,15490,15656,19302,17602,27593,24259,29286,21457,23398,26384,23208,30743,47907,38265,53021,57612,60478,58207,37713,35935,39332,41888,47685
 "31007","Banner, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",1035,1026,1015,1035,983,968,951,1011,1048,962,940,921,934,928,941,954,948,888,864,841,810,860,822,833,835,835,823,851,855,856,804,819,808,769,763,749,731,733,715,677,686,693,648,667,652,635,665,663,663,650,667,683,692
 "31007","Banner, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2860,3798,4875,6111,7892,6419,6665,7212,4799,8887,7547,19532,11089,7377,12192,14616,10591,18169,15447,17117,18474,15560,15041,15652,18824,15846,20454,17687,18735,15647,19266,19116,23889,22889,36164,32389,40063,29273,32724,38972,33831,44362,73931,57369,81321,90728,90944,87793,56882,55285,58969,61329,68909
 "31009","Blaine, NE",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2111,2338,3015,2667,4249,3728,3336,3971,4271,4835,4803,5722,5371,6973,6421,6403,6725,7066,9371,9018,9634,10787,9706,9904,10575,7537,8168,6390,6998,7308,8308,9943,15839,17502,18773,15953,15975,14251,15403,16708,15918,15886,25245,18501,29255,40448,43168,36161,26746,26914,25369,28614,28856
 "31009","Blaine, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",873,857,841,809,823,815,807,826,845,764,758,859,827,810,792,761,724,706,702,710,722,662,680,661,656,670,687,641,625,579,586,583,564,551,545,515,492,493,463,456,477,477,472,492,460,477,462,452,460,453,432,431,461
 "31009","Blaine, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2418,2728,3585,3297,5163,4574,4134,4808,5054,6329,6336,6661,6495,8609,8107,8414,9289,10008,13349,12701,13343,16295,14274,14983,16120,11249,11889,9969,11197,12622,14177,17055,28083,31764,34446,30977,32470,28907,33268,36640,33371,33304,53485,37604,63598,84797,93437,80002,58143,59413,58725,66390,62594
 "31011","Boone, NE",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",23645,22922,26524,32888,39748,34354,41841,35663,36861,53344,46319,40453,67151,62135,65955,84819,80784,92155,99343,106559,104281,112349,108972,117042,120112,125226,116884,156493,142991,145050,142401,153674,168112,156288,178229,175075,190120,154180,178195,201825,207830,239321,327294,277948,318139,317279,299729,284091,251001,269582,306753,356749,399022
 "31011","Boone, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",8083,8182,8133,8033,7849,7713,8005,7760,7697,7461,7550,7382,7333,7291,7239,7225,7076,6878,6753,6680,6666,6668,6675,6592,6578,6517,6506,6526,6465,6400,6376,6214,6146,6053,5888,5813,5746,5623,5582,5548,5514,5518,5438,5488,5481,5465,5444,5504,5506,5422,5412,5351,5386
 "31011","Boone, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2925,2802,3261,4094,5064,4454,5227,4596,4789,7150,6135,5480,9157,8522,9111,11740,11417,13399,14711,15952,15644,16849,16325,17755,18260,19215,17966,23980,22118,22664,22334,24730,27353,25820,30270,30118,33087,27420,31923,36378,37691,43371,60186,50647,58044,58057,55057,51615,45587,49720,56680,66670,74085
 "31013","Box Butte, NE",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",34187,37847,44119,49945,63630,66029,75690,90507,96836,117119,136090,181493,174925,159495,179626,200897,221126,210950,211625,219817,227239,230854,227706,241820,251658,258371,262229,270295,281407,297191,302836,304820,299102,296449,317454,324712,350902,359310,385837,425915,389673,395199,475659,478536,488503,511360,509526,484208,497571,510747,532643,551129,590024
 "31013","Box Butte, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",10165,10062,9992,9968,9735,9884,10241,10610,11102,12103,12871,13775,14060,13984,13917,13964,14083,13954,13647,13411,13279,13116,13021,12892,12778,12685,12816,12733,12719,12492,12374,12235,11985,11951,11719,11528,11422,11338,11409,11482,11347,11280,11315,11301,11347,11362,11399,11253,10938,10843,10907,10824,10604
