GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "33000","New Hampshire",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2781338,2965678,3220121,3561963,4013324,4417159,4802304,5435993,6146446,7090723,8111862,9278182,10517049,11579731,12713183,14376311,15842444,17508758,19362138,21322166,22846665,23006508,23792304,24968214,25786710,27522349,29202817,30941453,33274001,36562955,38924196,43810890,46136826,46923177,47829348,50874298,52743971,56460324,58663384,60381352,59357981,62032251,64945252,67855254,67703675,70501217,73474566,76092328,79312477,83026036,88822816,94440783,101674465
 "33000","New Hampshire",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1317094,1321886,1327287,1331050,1339224,1343633,1351059,1358984,1364875,1371834,1377848,1388992
 "33000","New Hampshire",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3842,3997,4225,4557,5005,5406,5786,6418,7050,7932,8896,10039,11229,12219,13269,14717,15894,17081,18365,19696,20685,20682,21436,22337,22831,24088,25228,26339,27975,30319,31852,35335,36747,36974,37371,39434,40619,43153,44695,45886,45101,47098,49131,51123,50865,52643,54684,56321,58362,60831,64747,68542,73200
 "33001","Belknap, NH",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",121654,130311,146018,161647,183209,202996,222578,251448,283320,327231,373615,424644,472377,515173,559567,631195,688684,777022,864840,955189,1016189,970852,982441,1008763,1075051,1137225,1243072,1310382,1412922,1555676,1643204,1784781,1972811,2015741,2066532,2203163,2263414,2396596,2514990,2612944,2570832,2656568,2824694,2977033,3038049,3148940,3323469,3442123,3559556,3755107,4075581,4332292,4638435
 "33001","Belknap, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",31636,32562,33579,34397,35426,36439,36982,38138,39250,41443,42802,42914,42935,43619,44025,44704,45084,46139,47273,48526,49224,49347,49180,49626,50226,50850,51991,53020,53391,54459,55517,56473,57597,58609,59497,60170,60287,60105,60109,60239,60171,60153,60601,60924,60940,61209,61518,62106,62458,63018,63397,63743,64460
 "33001","Belknap, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3845,4002,4348,4699,5172,5571,6019,6593,7218,7896,8729,9895,11002,11811,12710,14119,15276,16841,18295,19684,20644,19674,19976,20327,21404,22364,23909,24715,26464,28566,29598,31604,34252,34393,34733,36616,37544,39873,41840,43376,42725,44164,46611,48865,49853,51446,54024,55423,56991,59588,64287,67965,71958
 "33003","Carroll, NH",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",71118,74913,85140,96866,110933,122528,135149,156878,179463,205754,234272,267815,312308,337600,365200,422564,467707,535420,616764,692386,750156,741695,770303,806429,826583,899266,941350,1001242,1090310,1211846,1295825,1445679,1577532,1638057,1635385,1739201,1781640,1865561,1912664,1997120,1972945,2044879,2166636,2262210,2321439,2397435,2516223,2631290,2780279,2885293,3148332,3359009,3594866
 "33003","Carroll, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",18029,18563,18672,20429,21229,22202,23043,23737,25371,26733,27452,28018,28302,28354,28626,29266,29484,30295,31671,34018,35134,35592,36096,36780,37400,38064,38964,39908,40781,41724,42815,43907,44200,45074,45697,46496,46652,47421,47829,48013,47763,47859,47816,47943,47874,47897,47970,48156,48917,49542,49703,50212,51500
 "33003","Carroll, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3945,4036,4560,4742,5226,5519,5865,6609,7074,7697,8534,9559,11035,11907,12758,14439,15863,17674,19474,20354,21351,20839,21340,21926,22101,23625,24159,25089,26736,29044,30266,32926,35691,36342,35788,37405,38190,39340,39990,41595,41307,42727,45312,47185,48491,50054,52454,54641,56837,58239,63343,66897,69803
 "33005","Cheshire, NH",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",199961,212785,228333,250710,283209,308087,325642,360477,399287,453936,513545,579475,652318,699373,746699,826718,887184,966236,1067976,1164667,1282738,1300222,1349814,1423260,1462581,1552733,1623741,1708736,1773634,1937824,2036047,2203340,2202964,2284114,2334881,2481937,2604933,2867729,2937682,3091084,3045116,3134355,3260661,3382029,3369944,3482602,3662913,3701378,3801209,3910828,4056380,4444147,5016318
 "33005","Cheshire, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",51198,52564,53575,54919,56044,57240,58090,58715,59762,61134,62168,62252,62653,63056,63114,63972,64602,66295,68066,69393,70104,70255,70657,70896,71319,71124,71540,72203,72805,73144,73447,73953,74372,75047,76135,76709,77061,77658,77745,77472,77302,77071,77004,77026,76888,76645,76552,76296,76285,76177,76162,76501,77329
 "33005","Cheshire, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3906,4048,4262,4565,5053,5382,5606,6139,6681,7425,8261,9309,10412,11091,11831,12923,13733,14575,15690,16784,18298,18507,19104,20075,20508,21831,22697,23666,24361,26493,27721,29794,29621,30436,30668,32355,33804,36928,37786,39899,39392,40668,42344,43908,43829,45438,47849,48513,49829,51339,53260,58093,64870
