GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "35000","New Mexico",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3143665,3499776,3872418,4353346,4881806,5487270,6267941,6987390,7819801,8947791,10088442,11323005,12799913,14023076,15086136,16471117,17823521,18525003,19308662,20401935,21855372,23301334,24937116,26802835,28827111,30772294,33070567,34741257,36519967,38344205,39031267,42073628,45061927,46855515,48999128,52162934,55761986,60035519,63582883,67656801,67034123,69607245,72967704,74725350,73561774,77975093,79864310,81414081,82903600,86685597,91853606,99018001,106451165
 "35000","New Mexico",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1011000,1023206,1053258,1077815,1104225,1129568,1162682,1195162,1225245,1251848,1280539,1309400,1332747,1363822,1394362,1416719,1438360,1462728,1478519,1490336,1503901,1521574,1555305,1595442,1636453,1682398,1720394,1752326,1774839,1793484,1808082,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064892,2082110,2090254,2096509,2095037,2096003,2099630,2101053,2103101,2110146,2117566,2115877
 "35000","New Mexico",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3109,3420,3677,4039,4421,4858,5391,5846,6382,7148,7878,8647,9604,10282,10819,11626,12392,12665,13059,13689,14532,15314,16034,16800,17616,18291,19223,19826,20576,21380,21587,23102,24601,25255,26097,27399,28858,30597,31950,33649,32911,33710,35045,35749,35088,37219,38103,38775,39458,41218,43530,46760,50311
 "35001","Bernalillo, NM",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1101346,1252045,1412096,1618026,1797768,2010334,2261502,2536990,2815941,3245820,3663322,4107405,4601586,5038034,5500596,6061006,6626701,7030704,7419445,7843596,8270225,8824492,9415060,10066307,10810437,11668392,12506654,13098076,13694667,14313106,14539525,15641485,16361895,16965366,17768068,18861475,20025705,21599597,22438491,23410737,23302665,23640996,24600438,24821283,24482175,25965950,26940996,27905520,28440449,29414874,31136800,33705077,36158065
 "35001","Bernalillo, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",314700,318277,331206,339666,353816,365412,371719,380717,392444,399597,410992,422295,430023,433469,441597,447307,452555,459938,468550,472977,478795,482696,492880,505395,515914,528842,538615,544201,547997,551298,553002,557601,564241,576532,587049,600449,615320,628632,638978,646879,655279,663825,669775,672673,674929,674095,673919,674884,674822,673990,674974,676581,674393
 "35001","Bernalillo, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3500,3934,4263,4764,5081,5502,6084,6664,7175,8123,8913,9726,10701,11623,12456,13550,14643,15286,15835,16583,17273,18282,19102,19918,20954,22064,23220,24068,24990,25963,26292,28051,28998,29427,30267,31412,32545,34360,35116,36190,35561,35613,36729,36899,36274,38520,39977,41349,42145,43643,46130,49817,53616
 "35003","Catron, NM",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",5823,5911,7022,7849,9415,11442,12441,13352,14782,17035,20242,20825,19599,20103,21676,23007,25039,25695,27857,30723,32472,32242,33820,35152,37958,39847,42729,46378,47895,50695,51855,56771,67104,70165,71166,74675,79832,88111,89332,91360,92199,97137,102898,103958,101562,109846,111410,108867,111934,114383,116000,132872,141742
 "35003","Catron, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",2200,2179,2082,2251,2363,2441,2357,2457,2576,2712,2745,2715,2694,2666,2731,2750,2594,2579,2617,2619,2566,2580,2575,2585,2704,2808,2897,2987,3186,3274,3413,3567,3488,3501,3456,3468,3425,3573,3638,3631,3689,3748,3715,3632,3583,3546,3475,3518,3550,3515,3498,3612,3731
 "35003","Catron, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2647,2713,3373,3487,3984,4687,5278,5434,5738,6281,7374,7670,7275,7541,7937,8366,9653,9963,10645,11731,12655,12497,13134,13598,14038,14191,14749,15527,15033,15484,15193,15916,19239,20041,20592,21533,23309,24660,24555,25161,24993,25917,27698,28623,28346,30977,32060,30946,31531,32541,33162,36786,37990
 "35005","Chaves, NM",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",129300,139749,157214,169933,190713,214284,246019,270504,298828,324196,377538,419563,479510,551269,604274,640461,677908,655134,674495,741847,801413,841150,848762,904184,942875,1009383,1047698,1106668,1118644,1215334,1187405,1210718,1342799,1333798,1361097,1473696,1575614,1675935,1828333,2042124,1849682,2084216,2275228,2325021,2281648,2463569,2391920,2381624,2460889,2522987,2584593,2775784,2945627
 "35005","Chaves, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",43300,43771,45341,45906,45199,45571,46705,47497,48421,48597,49397,51184,51468,53647,56263,56455,56517,56419,55667,55922,57105,58033,58818,58655,59505,60596,61365,62088,62338,62395,62052,61317,60928,60768,61248,61478,62172,62486,63587,64378,65110,65733,65780,65887,66186,66038,66101,65975,65428,64867,65009,65168,64629
 "35005","Chaves, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2986,3193,3467,3702,4219,4702,5268,5695,6171,6671,7643,8197,9317,10276,10740,11345,11995,11612,12117,13266,14034,14494,14430,15415,15845,16658,17073,17824,17945,19478,19136,19745,22039,21949,22223,23971,25343,26821,28753,31721,28409,31707,34588,35288,34473,37305,36186,36099,37612,38895,39757,42594,45577
 "35006","Cibola, NM*",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),186043,175044,180734,183744,188521,190162,203299,217365,222646,238703,255383,270497,291168,312135,328651,342284,356951,358807,387717,425542,463308,495399,515589,540927,566691,586650,612924,617406,629487,646388,656360,660591,694935,720496,718129,721321,741897,767174,858309,941307
