GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "32000","Nevada",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2278607,2560413,2860381,3196764,3630058,4025238,4543971,5170461,5977935,7225731,8374582,9682781,11011840,11762109,12530021,13652075,14799444,15988531,17473700,19842874,22352474,25043313,27515308,30479309,32966024,36485543,40138314,44435100,48572668,54324351,58824949,64571602,68116633,69843204,74483360,82663167,92687379,100318143,104595471,103056192,97267129,101307041,105105361,109347399,109870516,117372236,127116993,132058361,140347450,149611848,161433571,172538477,189308244
 "32000","Nevada",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2701967,2710520,2739941,2770049,2809771,2857017,2905604,2955631,3011627,3068943,3114071,3143991
 "32000","Nevada",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4747,5191,5501,5847,6381,6746,7331,7994,8815,10045,10945,11951,12991,13343,13892,14760,15561,16305,17075,18458,19653,20516,21228,22554,23360,24335,25379,26667,27534,29314,30405,31986,32461,32130,33121,35232,38109,39767,40212,38836,36231,37494,38777,39909,39664,41773,44493,45450,47485,49678,52602,55406,60213
 "32001","Churchill, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",35207,42626,49544,59327,69620,70875,69722,77803,86389,100700,112413,133087,146184,153809,164634,182732,202985,216829,241240,264849,284601,291135,320590,354347,389331,420802,439616,487225,526173,575370,589690,625550,604154,616941,652459,705741,752067,771219,786547,812061,792107,834994,875648,862971,874913,924305,960858,989636,1065529,1105967,1157359,1273654,1407718
 "32001","Churchill, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",10498,10635,11157,11625,11850,11924,11987,11960,12131,12771,13571,13917,13896,14178,14319,14397,15029,15717,16425,16990,17555,18039,18637,18963,19723,20519,21197,21960,23179,23503,23859,24024,24342,24155,24026,24226,24593,24842,24961,25049,25067,24820,24627,24302,24007,23930,24089,24056,24204,24708,25202,25539,25723
 "32001","Churchill, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3354,4008,4441,5103,5875,5944,5816,6505,7121,7885,8283,9563,10520,10848,11498,12692,13506,13796,14687,15589,16212,16139,17202,18686,19740,20508,20740,22187,22700,24481,24716,26039,24819,25541,27156,29132,30581,31045,31511,32419,31600,33642,35556,35510,36444,38625,39888,41139,44023,44761,45923,49871,54726
 "32003","Clark, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1273648,1429017,1582762,1747451,1984224,2221573,2515704,2863774,3296192,3959777,4631857,5359706,6162457,6629060,7092525,7685375,8375859,9142842,10067109,11504022,13196124,15093525,16727113,18671191,20550154,23043214,25587458,28648985,31677828,35983324,39344173,43367422,46460056,48235667,51556991,57614171,65484528,71206581,74679221,73503271,67889554,70047316,72788770,77731488,77807956,83488842,90220176,93775241,99056863,104985712,114155310,121767470,133596955
 "32003","Clark, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",267479,276079,293008,307426,319399,336930,351339,369529,389965,412913,441358,469185,492747,513708,530195,544893,561081,580775,611763,647410,691467,756170,816085,857357,902338,972624,1035847,1099894,1177230,1251258,1321254,1393909,1460500,1522962,1584166,1662773,1729522,1803774,1867817,1912349,1939407,1951737,1957626,1981384,2005757,2037960,2077790,2115963,2154616,2195698,2237815,2273386,2292476
 "32003","Clark, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4762,5176,5402,5684,6212,6594,7160,7750,8453,9590,10495,11423,12506,12904,13377,14104,14928,15742,16456,17769,19084,19960,20497,21778,22774,23692,24702,26047,26909,28758,29778,31112,31811,31672,32545,34649,37863,39476,39982,38436,35005,35890,37182,39231,38792,40967,43421,44318,45974,47814,51012,53562,58276
 "32005","Douglas, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",44246,52296,61364,73219,89008,105053,116560,137505,164116,211014,242235,281823,311204,328741,349983,402207,440139,469776,492750,572003,626363,689553,803080,892533,961810,1051657,1149912,1265032,1413486,1545274,1626569,1732085,1778149,1781866,1927898,2222457,2426749,2591053,2645315,2497146,2348353,2416225,2475005,2591555,2619748,2785998,3153124,3162292,3401628,3532010,3810527,4008545,4349385
 "32005","Douglas, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",6674,7008,7753,8777,10119,11131,12069,13097,14324,16072,18391,19487,19720,20348,20420,21152,22276,22854,23951,25009,26579,28010,30066,31694,33089,34413,36121,37286,38241,39321,40458,41443,42327,43436,44524,46388,46731,46855,47166,47270,46965,47045,47023,47006,47066,47553,47605,48025,48273,48824,49334,49468,49870
 "32005","Douglas, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",6630,7462,7915,8342,8796,9438,9658,10499,11457,13129,13171,14462,15781,16156,17139,19015,19758,20556,20573,22872,23566,24618,26711,28161,29067,30560,31835,33928,36963,39299,40204,41794,42010,41023,43300,47910,51930,55299,56085,52827,50002,51360,52634,55132,55661,58587,66235,65847,70466,72342,77239,81033,87214
 "32007","Elko, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",60312,65085,72602,83995,94918,96967,104715,114726,127795,143893,161948,198737,228423,247996,264120,294119,316946,334629,389181,515421,596618,643165,701620,774168,845570,919018,964546,1064972,1109493,1150162,1185320,1231841,1145807,1146109,1200187,1322226,1400110,1542493,1713078,1814234,1820114,2017257,2142925,2175076,2192873,2212223,2203109,2226937,2333285,2439476,2540985,2710950,2844208
 "32007","Elko, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",13979,13932,13938,15107,15469,15707,15574,15776,15508,15839,16054,17550,18650,19687,20417,20822,21822,23344,24528,27050,30904,34142,35760,37060,38717,40193,41363,43347,45360,45849,45134,45233,45063,44173,43693,43830,44760,46108,47423,47634,48445,49109,49544,51150,52605,52915,52122,52461,52820,53056,53542,53750,53915
 "32007","Elko, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4314,4672,5209,5560,6136,6173,6724,7272,8241,9085,10088,11324,12248,12597,12936,14125,14524,14335,15867,19054,19306,18838,19620,20890,21840,22865,23319,24569,24460,25086,26262,27233,25427,25946,27469,30167,31280,33454,36123,38087,37571,41077,43253,42523,41686,41807,42268,42449,44174,45979,47458,50436,52754
 "32009","Esmeralda, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2453,2489,2648,2915,3496,3904,4270,4739,4686,7282,7567,12017,16322,18312,16978,20203,18792,17348,16737,19594,20659,19374,20112,19982,20940,19931,19953,20284,20883,21038,22245,23695,25375,24936,25668,26506,25670,26154,24125,27477,27657,31067,32938,36283,38082,40888,37252,35735,35784,31980,37563,34680,40870
 "32009","Esmeralda, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",585,623,591,572,662,668,675,680,683,707,755,837,1076,1213,1366,1423,1436,1373,1312,1312,1318,1343,1265,1305,1170,1088,1127,1088,1048,1039,979,978,966,926,885,879,886,883,829,820,806,779,752,758,797,770,767,746,748,708,731,730,743
 "32009","Esmeralda, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4193,3995,4481,5096,5281,5844,6326,6969,6861,10300,10023,14357,15169,15096,12429,14197,13086,12635,12757,14934,15675,14426,15899,15312,17897,18319,17705,18643,19927,20248,22722,24228,26268,26929,29003,30155,28973,29619,29101,33509,34314,39881,43801,47867,47782,53101,48568,47902,47840,45169,51386,47507,55007
 "32011","Eureka, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",5789,5010,5378,6379,7377,7351,8019,8757,9572,10431,11959,14754,15937,15688,17097,17677,21121,19082,20671,30059,32791,33734,34285,34033,34038,33391,34608,38520,42446,45925,40770,42898,38132,35251,35770,40463,40752,46227,54930,61866,63771,65010,75593,74434,73026,74988,69503,65714,72459,76772,89344,88347,94401
 "32011","Eureka, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",931,939,915,890,1034,1059,1087,1111,1133,933,1013,1219,1301,1350,1231,1299,1220,1203,1276,1418,1571,1539,1613,1530,1412,1320,1356,1454,1731,1840,1697,1632,1641,1629,1505,1470,1467,1579,1683,1778,1926,1985,1950,1943,1979,1904,1927,1815,1810,1846,1879,1847,1903
 "32011","Eureka, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",6218,5335,5878,7167,7134,6941,7377,7882,8448,11180,11806,12103,12250,11621,13889,13608,17312,15862,16200,21198,20873,21919,21255,22244,24106,25296,25522,26492,24521,24959,24025,26286,23237,21640,23767,27526,27779,29276,32638,34795,33111,32751,38766,38309,36900,39384,36068,36206,40033,41588,47549,47833,49606
 "32013","Humboldt, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25860,28503,28899,31856,37981,41597,46947,51091,59169,66628,79927,106420,116220,116305,117372,131199,132870,133872,159172,201192,240147,250780,279398,302031,321234,339999,363105,396535,419650,424456,430883,422388,341167,336267,356525,402633,444382,496758,525070,564217,615623,679384,725740,732915,742983,743920,760429,735081,763071,774908,823597,878001,945297
 "32013","Humboldt, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",6452,6362,6422,6623,6791,6981,7363,7415,7595,7946,8647,9671,10545,11220,10984,11002,10457,10323,10764,11658,12369,12933,13517,13930,14313,14577,15183,15775,16623,17075,16722,15868,15211,14776,14630,14912,15046,15420,15658,15958,16290,16588,16677,17146,17467,17362,17195,17005,16955,17031,17170,17283,17648
 "32013","Humboldt, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4008,4480,4500,4810,5593,5959,6376,6890,7791,8385,9243,11004,11021,10366,10686,11925,12706,12968,14787,17258,19415,19391,20670,21682,22444,23324,23915,25137,25245,24858,25767,26619,22429,22758,24369,27001,29535,32215,33534,35356,37791,40956,43517,42746,42536,42848,44224,43227,45006,45500,47967,50801,53564
 "32015","Lander, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",10547,11460,12346,14191,16487,18989,21109,22593,24577,29056,34187,47689,56666,58058,54325,56728,60055,60537,78729,99000,121955,121345,127596,131641,131720,134436,140229,155864,168244,166210,164684,163198,163448,156886,155999,162923,177108,196414,221893,221981,245259,266785,284685,294070,317093,324702,333474,324439,345090,363782,384034,398094,420418
 "32015","Lander, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",2648,2654,2623,2675,2705,2772,3014,3219,3295,3460,3614,4200,4689,4871,4652,4633,4617,4605,4726,5339,6093,6291,6323,6493,6315,6227,6107,6368,6752,6436,6073,5702,5450,5180,5017,5086,5117,5307,5439,5521,5660,5800,5867,5970,6136,6073,5998,5831,5733,5680,5705,5725,5798
 "32015","Lander, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3983,4318,4707,5305,6095,6850,7004,7019,7459,8398,9460,11355,12085,11919,11678,12244,13007,13146,16659,18543,20016,19289,20180,20274,20858,21589,22962,24476,24918,25825,27117,28621,29990,30287,31094,32034,34612,37010,40797,40207,43332,45997,48523,49258,51677,53466,55598,55640,60194,64046,67315,69536,72511
 "32017","Lincoln, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",8321,9173,9739,10296,11457,13779,15046,15566,18329,22268,24098,31817,38267,44105,42826,48479,50227,51914,52847,60657,65817,72576,74082,76098,72893,73013,71128,70879,75045,79224,78189,79569,84984,90038,92114,96131,99884,107586,116438,127457,134316,146419,156737,155961,157529,166463,176513,178257,187262,193220,208269,222109,241041
