GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "40000","Oklahoma",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",8454824,9325575,10163611,11153394,12652931,14079579,15735744,17348684,19295941,21896038,25414785,29278754,34204111,38175757,39077210,41927021,43605482,43881454,43753615,45620330,48521160,51121318,52677463,56033875,58247034,60818012,63426687,67222981,71074659,74933702,77034229,83519163,88786321,90797895,95327581,103161585,113042769,125269188,129786517,144283135,133523584,140140348,150709925,161128385,169382612,180468965,175133987,166547739,174159575,182341177,191851585,200152893,214760676
 "40000","Oklahoma",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759581,3786640,3815353,3848112,3871583,3901051,3916821,3920455,3928494,3943796,3962031,3986639
 "40000","Oklahoma",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9629,11047,11907,11876,12761,13330,13491,13630,14405,15402,16235,16589,17399,17910,18537,19173,20126,21072,22006,22412,24178,25608,26023,27198,29264,31856,34854,35711,39325,35917,37276,39800,42232,44017,46614,44894,42521,44423,46415,48646,50518,53870
 "40001","Adair, OK",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",28386,31954,34889,39055,45471,51351,57539,60549,65204,74878,89386,98775,109257,115907,122044,144886,154061,168111,166987,179151,201611,214047,227126,257574,258439,272579,276142,284212,296830,304577,314873,327818,362969,383180,385655,403582,429981,448803,468994,480459,491808,531649,552157,565810,570195,585389,626924,620641,635378,642502,653565,699035,805613
 "40001","Adair, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",14888,15187,15547,16274,16725,16786,17077,17300,17663,18185,18702,18518,18258,18437,18845,18369,18357,18557,18815,18771,18516,18444,18844,19178,19483,19784,19933,20182,20421,20748,20904,21031,21101,21271,21445,21589,21887,22215,22345,22346,22477,22693,22334,21872,21609,21284,20913,20695,20284,20158,19893,19415,19414
 "40001","Adair, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1907,2104,2244,2400,2719,3059,3369,3500,3692,4118,4779,5334,5984,6287,6476,7888,8392,9059,8875,9544,10888,11605,12053,13431,13265,13778,13854,14082,14536,14680,15063,15587,17202,18014,17983,18694,19645,20203,20989,21501,21881,23428,24723,25869,26387,27504,29978,29990,31324,31873,32854,36005,41496
 "40003","Alfalfa, OK",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",24868,31898,34357,33314,36812,42632,43528,37914,37216,49466,63812,63377,79585,106995,82773,108892,93195,89672,96572,102578,100706,106455,89428,107556,99360,97299,86329,90904,111943,110642,114434,126734,132700,128493,142176,138728,139434,139481,142321,186481,155631,181250,219985,255028,244709,293389,263526,214738,213070,226063,218027,229251,249500
 "40003","Alfalfa, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",7928,7216,7206,7110,7027,7021,7175,7237,7230,7314,7231,7111,7235,7380,7519,7324,7197,7222,6979,6637,6575,6384,6367,6327,6309,6291,6275,6291,6247,6244,6125,6080,5933,5894,5827,5785,5706,5639,5618,5618,5585,5627,5645,5665,5851,5816,5910,5924,5902,5739,5661,5713,5710
 "40003","Alfalfa, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3137,4420,4768,4686,5239,6072,6067,5239,5147,6763,8825,8913,11000,14498,11009,14868,12949,12417,13838,15455,15317,16675,14046,17000,15749,15466,13758,14450,17919,17720,18683,20844,22366,21801,24400,23981,24436,24735,25333,33193,27866,32211,38970,45018,41823,50445,44590,36249,36101,39391,38514,40128,43695
 "40005","Atoka, OK",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",20360,23270,24163,27315,34654,35890,40943,43423,46120,51844,57371,64979,78043,85774,92082,103131,108890,107177,107320,113451,122558,122599,130938,138652,148659,158814,167409,177702,185680,193445,204240,217972,228328,248373,257797,261354,282667,295283,323180,340412,347645,363530,380225,394546,404880,422845,421128,418436,435335,442164,452310,486540,518455
