GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "41000","Oregon",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",7832186,8537112,9382814,10511429,11845440,13431788,14919665,16821714,18812438,21563442,24392255,27030379,29169608,30006197,31906148,34585003,36320768,38221702,40194469,43775754,48095052,51940747,54674252,58477046,62590764,67029794,72165942,77845034,82657354,87241012,90336969,97354718,99975868,101008586,104740846,110638813,116691610,127440174,133555555,139412180,134493278,138291590,145596106,153547958,156130012,167077325,179600218,188283318,198957532,211541630,222256958,241790308,261546508
 "41000","Oregon",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837611,3872655,3900071,3924064,3965387,4018466,4093179,4147186,4183414,4215976,4241544,4246155
 "41000","Oregon",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9461,10234,10933,11260,12026,12970,13590,14243,14881,15969,17235,18159,18670,19546,20452,21475,22663,23974,25015,26023,26617,28386,28829,28749,29526,30996,32296,34716,35879,36992,35313,36036,37596,39371,39788,42134,44694,45999,47974,50567,52718,57005,61596
 "41001","Baker, OR",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",49098,55129,62304,71145,74242,78192,86523,95439,104014,113483,137942,145139,155084,156948,166410,169145,169949,171521,177116,192426,210460,223690,232428,243913,264384,274267,288404,297374,323254,328822,320977,341989,338498,340548,353992,366884,380953,398946,418281,442883,460075,464951,488274,508505,533642,561769,591003,608907,610135,645239,677904,748621,810465
 "41001","Baker, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",15219,15070,15721,15612,15491,15206,15748,15463,15799,15712,16121,16153,16198,16377,16255,16118,15731,15426,15130,14994,14890,15433,15581,15847,16172,16418,16691,16652,16746,16841,16755,16714,16618,16376,16312,16272,16086,16094,16139,16195,16225,16126,16117,16087,16151,16193,16099,16211,16329,16343,16483,16689,16847
 "41001","Baker, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3226,3658,3963,4557,4793,5142,5494,6172,6584,7223,8557,8985,9574,9583,10237,10494,10803,11119,11706,12834,14134,14494,14917,15392,16348,16705,17279,17858,19303,19525,19157,20461,20369,20796,21701,22547,23682,24788,25917,27347,28356,28832,30296,31610,33041,34692,36711,37561,37365,39481,41127,44857,48107
 "41003","Benton, OR",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",171727,183578,205429,232456,263806,299249,338181,389271,446823,514888,569961,629806,706844,745397,798385,858862,888296,937245,990373,1063347,1170796,1226515,1279973,1368381,1479727,1591629,1744720,1929118,2074710,2166313,2172694,2282112,2369154,2404354,2543577,2596419,2663375,2812644,2925620,3092647,2952473,3068758,3242400,3281101,3272729,3477264,3640560,3840665,3995270,4245863,4485136,4818137,5201650
 "41003","Benton, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",51491,53943,54929,60135,59313,61230,61618,62299,65569,66955,68171,68471,69369,69461,68245,67474,67275,66940,67590,67876,69879,71059,71507,72618,73997,75481,76517,77776,78560,78943,78254,78236,78491,80203,80322,80149,80943,81957,83718,84150,85390,85619,86494,87095,86784,88034,89368,91178,93257,94042,94844,95167,96017
 "41003","Benton, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3335,3403,3740,3866,4448,4887,5488,6248,6815,7690,8361,9198,10190,10731,11699,12729,13204,14001,14653,15666,16755,17261,17900,18844,19997,21086,22802,24804,26409,27441,27765,29170,30184,29978,31667,32395,32904,34319,34946,36752,34576,35842,37487,37673,37711,39499,40737,42123,42842,45149,47290,50628,54174
 "41005","Clackamas, OR",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",671450,717676,803901,922265,1043553,1187847,1337667,1539362,1739043,2064820,2423548,2796972,3061214,3181474,3371600,3683332,3884143,4104988,4357855,4766511,5337075,5882077,6218762,6702887,7251025,7826841,8498848,9367638,10106731,10865106,11285460,12424514,12267769,12098000,12468142,13329242,13982817,15136125,15853891,16445479,15542561,15960242,16916070,18133695,18128043,18940519,20285323,21735434,22825799,24481580,26039459,28039367,30212946
 "41005","Clackamas, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",156015,167095,172832,178193,190992,196143,205094,211992,218939,229540,236824,242857,246139,247804,247323,248703,250118,255311,258603,260753,272546,280862,288877,296624,303344,309257,314922,322376,328898,332942,335891,339223,343444,348951,352032,355758,359308,363508,366808,371103,374085,376809,379692,383253,387712,393735,400097,407359,413346,416009,418682,422160,422537
 "41005","Clackamas, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4304,4295,4651,5176,5464,6056,6522,7261,7943,8995,10234,11517,12437,12839,13632,14810,15529,16078,16852,18280,19582,20943,21527,22597,23904,25309,26987,29058,30729,32634,33599,36626,35720,34670,35418,37467,38916,41639,43221,44315,41548,42356,44552,47315,46756,48105,50701,53357,55222,58849,62194,66419,71504
 "41007","Clatsop, OR",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",99284,109993,117513,128979,145139,166653,186946,207110,234128,265793,298083,327836,346822,356476,374476,401581,441539,464700,471132,510246,562288,580866,595136,632228,661746,687040,732463,760945,798513,827108,841417,875112,948508,968672,1015413,1028372,1065684,1134147,1175658,1227478,1215267,1251856,1276313,1324023,1324876,1403069,1477279,1572118,1666707,1785516,1846453,2015940,2184592
 "41007","Clatsop, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",27905,28509,28974,28846,29148,29652,29745,29814,30636,31626,32230,32544,32700,32543,32434,32116,32452,32275,32122,32417,33040,33436,33852,34307,34735,35288,35527,35444,35770,35760,35720,35560,35509,35519,35612,35912,36282,36603,36818,36825,36972,37112,37314,37568,37334,37743,38163,39117,39638,40254,40803,41089,41810
 "41007","Clatsop, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3558,3858,4056,4471,4979,5620,6285,6947,7642,8404,9249,10074,10606,10954,11546,12504,13606,14398,14667,15740,17018,17372,17581,18429,19051,19470,20617,21469,22324,23129,23556,24609,26712,27272,28513,28636,29372,30985,31932,33333,32870,33732,34205,35243,35487,37174,38710,40190,42048,44356,45253,49063,52250
 "41009","Columbia, OR",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",98734,104669,112336,131545,153898,178855,193793,209501,232490,262739,306064,339073,363745,366537,386534,417736,435372,462128,480876,519735,571890,620008,660025,693583,738868,776757,853312,932535,1010272,1042971,1069553,1151957,1195411,1203211,1229045,1294977,1373277,1489505,1575507,1658100,1591817,1615563,1666659,1728971,1755281,1850897,1970457,2060176,2174894,2295713,2397504,2593311,2843324
 "41009","Columbia, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",28213,28822,29301,30340,31433,31798,32366,32861,33852,34270,35444,35723,35963,36170,36022,35739,35707,35829,35954,36228,36708,37809,38476,38828,39466,39922,40576,41454,42055,42781,43360,43634,44196,45104,45636,46192,46955,48184,48898,49209,49394,49347,49379,49168,49196,49415,49549,50792,51576,52209,52391,52631,53074
 "41009","Columbia, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3500,3632,3834,4336,4896,5625,5988,6375,6868,7667,8635,9492,10114,10134,10730,11689,12193,12898,13375,14346,15579,16398,17154,17863,18722,19457,21030,22496,24023,24379,24667,26400,27048,26676,26931,28035,29247,30913,32220,33695,32227,32739,33752,35165,35679,37456,39768,40561,42169,43972,45762,49273,53573
 "41011","Coos, OR",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",188214,208634,223801,249662,278613,304456,335476,380901,429372,496068,556557,574707,600760,620517,657044,696291,727248,760627,795748,834865,899905,939638,978704,1043294,1100155,1139566,1208081,1260891,1302734,1334682,1348919,1391976,1505668,1578951,1658748,1705498,1762541,1858095,1948164,1997247,1977813,2024676,2106935,2125721,2192088,2320141,2466326,2526326,2632938,2804950,3030041,3345383,3624268
 "41011","Coos, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",55519,56912,58794,57830,59333,59219,59713,59945,61034,62586,63434,63915,63257,61774,61199,60944,59941,58864,59551,59862,59753,60441,61062,62141,62980,63283,63549,63505,63517,63278,62962,62662,62190,62286,62625,63208,63843,63844,63420,63226,63079,63014,62808,62731,62459,62469,62778,63487,63883,64475,64833,64887,64999
 "41011","Coos, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3390,3666,3807,4317,4696,5141,5618,6354,7035,7926,8774,8992,9497,10045,10736,11425,12133,12922,13362,13946,15060,15546,16028,16789,17468,18007,19010,19855,20510,21092,21424,22214,24211,25350,26487,26982,27607,29104,30718,31589,31355,32131,33546,33886,35096,37141,39286,39793,41215,43504,46736,51557,55759
 "41013","Crook, OR",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",33941,38121,43317,50280,57624,63860,70743,77624,87290,100873,115269,119664,125554,120796,135915,150221,155442,160728,161027,180137,197130,207264,222264,252536,267838,275569,289603,311209,333934,353085,369826,400097,432954,446841,481431,506234,545436,604219,614027,618664,580263,598579,624813,650540,662104,736521,800841,853139,906257,988510,1057988,1173711,1305173
 "41013","Crook, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",9828,10085,10587,10801,11438,11570,11524,11741,11954,12409,12854,13100,13111,12946,12910,13155,13137,13142,13183,13356,13664,14258,14811,15301,15885,16337,16843,17227,17633,18127,18596,19262,19705,19779,20011,20643,21019,21673,21818,21811,21410,20878,20621,20576,20653,20901,21384,22209,22952,23649,24227,24923,25739
 "41013","Crook, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3454,3780,4092,4655,5038,5519,6139,6611,7302,8129,8968,9135,9576,9331,10528,11419,11832,12230,12215,13487,14427,14537,15007,16505,16861,16868,17194,18065,18938,19478,19887,20771,21972,22592,24058,24523,25950,27879,28143,28365,27102,28670,30300,31616,32058,35239,37450,38414,39485,41799,43670,47093,50708
