GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "42000","Pennsylvania",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108706050,119088365,131482121,140474119,147180811,158975274,168415810,177108098,187611091,203157551,220029706,232898680,242566278,256051946,265789353,275144867,287676365,302375613,317520134,334742455,349385320,373971605,389069835,396229237,410471306,434175861,453298198,476775101,506789684,526290259,513386283,537282210,564695398,587665984,593682098,619079371,643988051,661160078,678604554,714331524,739891828,788281467,833314466
 "42000","Pennsylvania",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12716521,12772774,12815609,12846775,12880463,12898688,12918191,12945337,12980864,12991448,12989625,12964056
 "42000","Pennsylvania",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27336,28489,30443,31634,32133,33170,34984,36410,38109,40337,41728,40530,42251,44211,45855,46213,48063,49927,51181,52421,55030,56952,60685,64279
 "42001","Adams, PA",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",205176,220477,237257,267285,301015,335085,363640,414886,458548,511846,574470,643770,710744,767808,804716,886368,950348,1026278,1097423,1201940,1307944,1397840,1449162,1541070,1590800,1630088,1728939,1837041,1967209,2072593,2217415,2401063,2606150,2712085,2895158,3031247,3195692,3346998,3546944,3745127,3729888,3821068,3982195,4076529,4155359,4371735,4579257,4646222,4809239,5030235,5124600,5480483,5805329
 "42001","Adams, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",56433,57165,58628,60815,62627,63523,63834,64435,65398,66235,67409,68513,69506,70422,70679,70290,71043,72492,73976,75326,76609,78797,80531,81771,83013,84186,85063,86252,87751,89074,90363,91457,92591,93934,95503,97300,98606,99899,100502,101056,101252,101498,101610,101506,101504,101830,102411,102625,103414,103932,103778,103795,104127
 "42001","Adams, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3636,3857,4047,4395,4806,5275,5697,6439,7012,7728,8522,9396,10226,10903,11386,12610,13377,14157,14835,15957,17073,17740,17995,18846,19163,19363,20325,21299,22418,23268,24539,26253,28147,28872,30315,31154,32409,33504,35292,37060,36838,37647,39191,40160,40938,42932,44715,45274,46505,48399,49380,52801,55752
 "42003","Allegheny, PA",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",6630031,7122248,7466431,8005338,8633514,9517369,10451178,11301507,12367312,13496797,14754891,16171899,17861241,18979800,19501304,20814793,21776314,22441122,23367664,25420998,27243459,29193643,30206906,31652188,32571824,33420083,34758452,36170780,38099489,39508120,41588849,44099787,44861908,45251673,46079414,47132625,48342029,51186029,53541559,55998591,54496140,56633509,59119391,61247601,62013402,64564001,67245666,67840345,71485369,76841276,79354572,83291957,87385003
 "42003","Allegheny, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",1606592,1602690,1593414,1573451,1548863,1525950,1513436,1499354,1486316,1473802,1454339,1448253,1437549,1429717,1420639,1404696,1380315,1366108,1355061,1346483,1339463,1336740,1338435,1340919,1338289,1331772,1322460,1313445,1304196,1295026,1287247,1279651,1272416,1265577,1258420,1247531,1234787,1226025,1222482,1221071,1222171,1224896,1233085,1239536,1246180,1249357,1248993,1250277,1247438,1248213,1250117,1248717,1238090
 "42003","Allegheny, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4127,4444,4686,5088,5574,6237,6906,7538,8321,9158,10145,11166,12425,13275,13727,14818,15776,16427,17245,18880,20339,21839,22569,23605,24338,25094,26283,27539,29213,30508,32308,34462,35257,35756,36617,37781,39150,41750,43797,45860,44590,46235,47944,49412,49763,51678,53840,54260,57306,61561,63478,66702,70580
 "42005","Armstrong, PA",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",233170,247373,267687,301643,328454,370298,422743,472764,523280,567528,631530,695528,758832,809909,837920,875316,898334,915068,942266,987530,1063606,1131813,1179964,1245253,1282900,1346233,1384743,1456998,1513007,1571703,1642974,1700661,1751814,1812963,1891299,1921382,2039601,2179063,2255141,2579096,2376349,2476929,2701725,2658696,2663406,2741683,2657730,2662562,2785473,2933460,3032610,3311402,3527900
