GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",791229000,855525000,924613000,1016408000,1133468000,1244912000,1362505000,1495704000,1651632000,1855849000,2073257000,2313160000,2592915000,2779794000,2968676000,3279488000,3510471000,3719647000,3946593000,4267813000,4609667000,4897821000,5067291000,5409920000,5648732000,5940128000,6286143000,6673186000,7086935000,7601594000,8006585000,8654561000,9009842000,9157682000,9491393000,10037313000,10599603000,11374142000,12014107000,12475898000,12073407000,12586509000,13330436000,14003346000,14189228000,14969527000,15681233000,16092713000,16837337000,17671054000,18575467000,19812171000,21288709000
 "00000","United States", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378433,311841632,314344331,316735375,319270047,321829327,324367742,326623063,328542157,330233102,331501080,331893745
 "00000","United States", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28693,30672,31617,31839,32717,34280,35868,38120,39883,41026,39356,40683,42747,44548,44798,46887,48725,49613,51550,53786,56250,59765,64143
 "00998","United States (Metropolitan Portion)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",684087777,739319709,798048937,875093686,968033324,1066312857,1165803536,1281064175,1415460784,1589606840,1776418714,1990215265,2228714960,2393280452,2563471692,2832094071,3042639993,3234764745,3441517357,3733870303,4032052653,4290095771,4435660194,4732181774,4941267162,5191551235,5506149705,5843550169,6215497735,6688646824,7061865467,7655312348,7958275219,8088806133,8375668314,8859063398,9371337535,10084458854,10650412036,11032760873,10657166948,11108178800,11767995638,12389786372,12544735401,13268907235,13939174050,14347181550,15034243752,15800212368,16621612576,17705679801,19019407859
 "00998","United States (Metropolitan Portion)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",165312410,167673802,170105159,172046247,173780093,175466407,177030533,178686628,180432448,182401281,184484865,186782151,188778153,190745925,192718299,194703380,196876182,199228098,201492835,203720597,206023143,208731806,211749567,214894354,217865356,220657445,223370500,226131436,229081203,232040831,235008165,237948237,240717866,243260703,245592588,248115013,250646689,253256238,255922913,258627316,261210075,263718787,266205658,268779366,271230523,273817755,276425937,278995907,281262885,283180665,284873351,286195390,286472857
 "00998","United States (Metropolitan Portion)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4138,4409,4692,5086,5570,6077,6585,7169,7845,8715,9629,10655,11806,12547,13302,14546,15455,16236,17080,18328,19571,20553,20948,22021,22680,23528,24650,25841,27132,28825,30049,32172,33061,33252,34104,35705,37389,39819,41616,42659,40799,42121,44206,46096,46251,48459,50426,51424,53453,55796,58347,61866,66392
 "00999","United States (Nonmetropolitan Portion) *", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",107141223,116205291,126564063,141314314,165434676,178599143,196701464,214639825,236171216,266242160,296838286,322944735,364200040,386513548,405204308,447393929,467831007,484882255,505075643,533942697,577614347,607725229,631630806,677738226,707464838,748576765,779993295,829635831,871437265,912947176,944719533,999248652,1051566781,1068875867,1115724686,1178249602,1228265465,1289683146,1363694964,1443137127,1416240052,1478330200,1562440362,1613559628,1644492599,1700619765,1742058950,1745531450,1803093248,1870841632,1953854424,2106491199,2269301141
 "00999","United States (Nonmetropolitan Portion) *", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",35985590,36124920,36712350,37228635,37569112,37867228,38426052,38867231,39328427,39696963,40083714,40442568,40687591,40918507,41073715,41121527,41047552,40904733,40796101,40778407,40796079,40891008,41231374,41619870,42053232,42468376,42907893,43262848,43565722,43813273,44032003,44214174,44251089,44364490,44515345,44690285,44869910,45123674,45308294,45466650,45561454,45659646,45635974,45564965,45504852,45452292,45403390,45371835,45360178,45361492,45359751,45305690,45420888
 "00999","United States (Nonmetropolitan Portion) *", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2977,3217,3447,3796,4403,4716,5119,5522,6005,6707,7405,7985,8951,9446,9865,10880,11397,11854,12380,13094,14159,14862,15319,16284,16823,17627,18178,19177,20003,20837,21455,22600,23764,24093,25064,26365,27374,28581,30098,31741,31084,32377,34237,35412,36139,37415,38368,38472,39751,41243,43075,46495,49962
 "01000","Alabama",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28151411,31037123,34465512,36396094,38970502,42870184,46098732,48790314,51651951,55558831,60395710,64239770,67929940,73039777,76398045,80848446,85473600,89349999,93981379,99847704,103369398,108215370,111947357,114904537,120123434,128828691,136861148,145692271,152984377,158450580,155913476,162531112,168474324,173361655,175185262,181078773,189115437,192363456,199191774,206712014,216587513,232040332,250828813
