GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3741845,4092971,4336596,4721967,5044554,5288914,5742437,6272443,6864937,7531162,8363201,9390625,10463764,11271042,12185400,13381333,14413759,15452702,16547232,18239253,19852498,20438053,20636099,21597148,22514761,23090962,24324255,25172140,26633794,28410005,29647398,31946481,33633331,34972557,36747770,38606392,39495478,41490709,43237940,43928579,42788668,45116212,46793695,48501742,48544705,50646175,52447570,53229695,55310673,57490471,61107161,65708997,70531460
 "44000","Rhode Island",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1054954,1058647,1063602,1068168,1073041,1077348,1082251,1084914,1091751,1094524,1096229,1095610
 "44000","Rhode Island",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4015,4306,4499,4836,5158,5547,6068,6600,7187,7868,8742,9898,10980,11812,12741,13911,14876,15811,16721,18305,19839,20316,20419,21329,22180,22728,23918,24657,25975,27552,28496,30417,31815,32807,34301,35927,36984,39028,40894,41638,40610,42766,44201,45601,45447,47199,48682,49184,50982,52659,55830,59941,64376
 "44001","Bristol, RI",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",203937,215661,229064,244765,262957,277149,299661,331671,365794,399351,446704,501201,563866,613571,665123,742302,795794,849732,907528,1027689,1138026,1152312,1160600,1241825,1297103,1346875,1471163,1532827,1596350,1709433,1853011,1995092,2123938,2197562,2310663,2478339,2546921,2752487,2912896,2927249,2748552,3018010,3035155,3234711,3175302,3272009,3442989,3563945,3683718,3731549,3979846,4164201,4462351
 "44001","Bristol, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",44870,45880,46264,46702,46849,46692,46707,47176,47761,47734,46845,46827,46258,46487,47279,47374,47630,48201,48456,49269,48866,48915,49130,49310,49604,49656,49750,49868,50028,50328,50466,50697,50942,51850,51658,52213,51667,50996,50914,50668,50075,49877,49536,49819,50047,50119,50423,50365,50528,50678,50746,50750,50818
 "44001","Bristol, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4545,4701,4951,5241,5613,5936,6416,7031,7659,8366,9536,10703,12190,13199,14068,15669,16708,17629,18729,20859,23289,23557,23623,25184,26149,27124,29571,30738,31909,33966,36718,39353,41693,42383,44730,47466,49295,53975,57212,57773,54889,60509,61272,64929,63446,65285,68282,70762,72904,73633,78427,82053,87810
 "44003","Kent, RI",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",566542,609950,650015,717213,785179,844190,936525,1030148,1132012,1245347,1407648,1613135,1786980,1908675,2056201,2247508,2386997,2569651,2774009,3048164,3296703,3403163,3453607,3619528,3788045,3893493,4100775,4270663,4502561,4741351,4995385,5330052,5656757,5934722,6273845,6574088,6716408,7019348,7277474,7460922,7337014,7520392,7924895,8174856,8246055,8567793,8878785,8954498,9391334,9658513,10187809,10829548,11592569
 "44003","Kent, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",138921,142590,144814,147335,149030,149482,149975,151903,154484,154250,154280,154219,154084,153908,153901,154905,156019,157306,159908,160284,160283,161463,162230,163076,163967,164223,164106,164373,164505,164932,166044,167516,168516,169478,170641,170539,169815,168522,167515,167269,166766,166171,165995,165915,166222,166931,166764,167378,167761,168924,169506,170323,170715
 "44003","Kent, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4078,4278,4489,4868,5269,5647,6245,6782,7328,8074,9124,10460,11597,12401,13361,14509,15299,16335,17348,19017,20568,21077,21288,22195,23102,23709,24989,25982,27370,28747,30085,31818,33568,35018,36766,38549,39551,41652,43444,44604,43996,45257,47742,49271,49609,51325,53242,53499,55980,57177,60103,63582,67906
 "44005","Newport, RI",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",416524,479004,505180,545234,535659,482963,504086,554621,618699,686855,776615,895931,1046886,1153788,1231863,1371415,1505443,1623004,1716393,1858405,1969063,1952391,1969577,2067128,2155611,2204270,2354236,2442931,2578657,2783071,2960356,3191268,3263112,3361968,3552273,3783380,3834770,4093823,4101525,4150433,3999328,4118438,4428756,4720538,4770102,4934466,5057065,5205958,5501954,5693912,6297729,6719397,7166776
 "44005","Newport, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",92091,94619,96934,97676,98693,80408,79561,82139,82911,82362,82132,81653,82543,83293,83445,84303,85347,86239,87056,87577,86278,87527,88330,87141,86007,84756,83717,84226,84649,84438,84840,85734,85754,85953,85646,85509,83962,85130,82881,82505,82896,83274,83701,84042,84739,84980,85380,85702,85702,85753,85782,85388,85264
 "44005","Newport, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4523,5062,5212,5582,5428,6006,6336,6752,7462,8339,9456,10972,12683,13852,14763,16268,17639,18820,19716,21220,22822,22306,22298,23722,25063,26007,28121,29004,30463,32960,34893,37223,38052,39114,41476,44245,45673,48089,49487,50305,48245,49456,52912,56169,56292,58066,59230,60745,64199,66399,73416,78693,84054
 "44007","Providence, RI",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2243321,2450215,2592947,2814894,3033136,3247120,3511031,3791030,4100500,4473969,4900449,5416949,5985977,6410826,6925713,7590926,8132345,8677689,9307701,10225377,11200747,11566726,11631159,12093089,12545728,12762090,13328671,13691820,14530766,15490713,15892377,17175211,17906970,18611007,19515406,20330493,20818904,21854954,22957639,23313379,22682620,24134066,24712753,25414261,25426202,26668709,27657579,27853552,28947789,30095364,31791434,34534648,37142500
 "44007","Providence, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",573222,581601,588615,594065,589752,590626,586255,582894,581645,581742,580551,572480,575645,575016,576380,577638,580396,583355,589309,591621,596769,597701,599545,600603,602178,602728,603282,605077,607458,611251,616607,622378,626935,632252,636149,638358,635060,631691,629110,627889,626304,628438,632362,636592,639356,642864,646379,650009,651497,656732,658872,660015,658221
 "44007","Providence, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3914,4213,4405,4738,5143,5498,5989,6504,7050,7691,8441,9462,10399,11149,12016,13141,14012,14875,15794,17284,18769,19352,19400,20135,20834,21174,22094,22628,23921,25343,25774,27596,28563,29436,30677,31848,32783,34598,36492,37130,36217,38403,39080,39922,39768,41484,42788,42851,44433,45826,48251,52324,56429
 "44009","Washington, RI",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",311521,338141,359390,399861,427623,437492,491134,564973,647932,725640,831785,963409,1080055,1184182,1306500,1429182,1593180,1732626,1841601,2079618,2247959,2363461,2421156,2575578,2728274,2884234,3069410,3233899,3425460,3685437,3946269,4254858,4682554,4867298,5095583,5440092,5578475,5770097,5988406,6076596,6021154,6325306,6692136,6957376,6927044,7203198,7411152,7651742,7785878,8311133,8850343,9461203,10167264
 "44009","Washington, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",82896,85871,87347,90587,93686,86295,83841,86209,88327,91149,92835,93594,94482,95466,95377,97675,99564,102239,104876,107656,108470,110389,111414,112451,113356,114597,116147,117349,118713,120206,122445,123943,124995,126462,127248,127960,127412,126757,126895,126672,127605,127194,127053,127234,127804,128147,128402,128797,129426,129664,129618,129753,130592
 "44009","Washington, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3758,3938,4115,4414,4564,5070,5858,6554,7336,7961,8960,10293,11431,12404,13698,14632,16002,16947,17560,19317,20724,21410,21731,22904,24068,25168,26427,27558,28855,30659,32229,34329,37462,38488,40045,42514,43783,45521,47192,47971,47186,49730,52672,54682,54201,56210,57718,59409,60157,64097,68280,72917,77855
"Note: See the included footnote file."
"CAINC1: County and MSA personal income summary: personal income, population, per capita personal income "
"Last updated: November 16, 2022-- new statistics for 2021; revised statistics for 2010-2020."
"U.S. Bureau of Economic Analysis"
