GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "45000","South Carolina",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",7604376,8380439,9180919,10308853,11692290,13234649,14394289,16096281,17592494,19879133,22283472,24966939,28120355,29894431,32447264,36183178,38709682,41372177,44371556,48237217,52509247,56399794,58892827,62693521,65907989,69909223,74092106,78791906,83865349,89931923,94453764,101138850,104620934,107551602,111359645,117847306,125049513,135022372,143997219,150517984,146919521,152230540,160767373,169185165,171617231,182832639,194364093,202215375,212325246,221707202,237024525,251946170,272339549
 "45000","South Carolina",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4633890,4662785,4701074,4740306,4792246,4852678,4910768,4965753,5021059,5077543,5130729,5190705
 "45000","South Carolina",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2959,3225,3449,3792,4213,4655,4963,5472,5886,6537,7219,7965,8845,9320,10033,11059,11719,12377,13126,14137,15190,16109,16495,17316,17991,18867,19765,20755,21728,22946,23764,25133,25737,26182,26832,27986,29285,30984,32402,33234,32010,32852,34479,35989,36204,38152,40053,41178,42758,44155,46681,49105,52467
 "45001","Abbeville, SC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",54575,57765,63150,70314,80886,86995,90431,102925,112038,124473,136867,150691,168634,176378,192727,209445,222374,233544,250576,267226,288910,306001,324226,356325,371321,398241,426752,453433,495809,530757,570751,613947,607974,563858,533430,569147,581743,604258,626928,664394,661774,677940,697642,689909,703370,731171,772162,777346,797470,822004,853693,922331,986447
 "45001","Abbeville, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",20596,21141,21506,21544,21623,21860,22061,22245,22637,22933,22873,22674,22790,22964,22923,22980,22963,22831,23015,23300,23643,23958,24157,24352,24487,24680,24941,25074,25308,25670,25921,26229,26330,26311,26306,26235,25995,25821,25745,25699,25614,25332,25067,24986,24845,24723,24706,24560,24452,24470,24398,24212,24299
 "45001","Abbeville, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2650,2732,2936,3264,3741,3980,4099,4627,4949,5428,5984,6646,7399,7681,8408,9114,9684,10229,10888,11469,12220,12772,13422,14632,15164,16136,17110,18084,19591,20676,22019,23407,23091,21431,20278,21694,22379,23402,24351,25853,25836,26762,27831,27612,28310,29575,31254,31651,32614,33592,34990,38094,40596
 "45003","Aiken, SC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",320434,330577,357781,392372,436225,482736,516641,587551,648793,724218,805509,905550,1010494,1083885,1179764,1343095,1476865,1573615,1645562,1792429,2080026,2216630,2340670,2516644,2622423,2686462,2784019,2880938,3053092,3264893,3387221,3610246,3685979,3831220,3985491,4126846,4333177,4590917,4875727,5154548,5231134,5428524,5721372,5860347,5861514,6105071,6474471,6618391,6928863,7177050,7626459,8148704,8719369
 "45003","Aiken, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",91582,90919,91649,92470,95192,96120,97794,99450,100680,103220,104060,105957,106919,108220,108419,110440,112494,114539,115579,117042,118374,122046,126745,129898,132694,134214,135769,136477,138080,139358,141379,142742,143676,145226,146793,148746,150152,152577,154814,156896,158499,160467,161169,162149,162585,162756,163868,164981,165774,166572,167764,169032,170776
 "45003","Aiken, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3499,3636,3904,4243,4583,5022,5283,5908,6444,7016,7741,8546,9451,10016,10882,12161,13128,13739,14238,15314,17572,18162,18468,19374,19763,20016,20506,21109,22111,23428,23958,25292,25655,26381,27150,27744,28859,30089,31494,32853,33004,33830,35499,36142,36052,37511,39510,40116,41797,43087,45459,48208,51057
 "45005","Allendale, SC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",20553,22480,24553,26871,29995,35118,36410,39468,43109,49525,56975,60273,71092,71933,75219,84363,89126,89925,94833,101721,111487,117415,127435,136462,139686,154330,160085,158624,170142,173032,175579,180199,188706,188244,192532,200615,212909,228308,234609,248001,255141,271292,271227,269793,254910,256729,254441,263566,277310,286136,284906,318414,328574
