GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "46000","South Dakota",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2076428,2257360,2473054,2855440,3605287,3612015,3972044,3932814,4462560,5142463,5664877,5712803,6651833,7010243,7270580,8272263,8480553,8847482,9335729,9747500,10492389,11484576,11966633,12941824,13530952,14587928,14883534,16444959,16805793,18111949,18989979,20275491,20953759,20955087,22890291,24671652,26202314,27640275,30673887,32898723,31893747,33804000,36842808,37844222,38365923,40252253,41912669,42336778,43599021,45660858,48797036,53621515,57717754
 "46000","South Dakota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816078,823160,832800,841206,847634,852134,860650,870163,875300,882507,887099,895376
 "46000","South Dakota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3108,3386,3684,4215,5310,5313,5829,5726,6477,7460,8222,8269,9646,10151,10491,11864,12143,12711,13413,13962,15060,16475,17006,18156,18737,19962,20169,22157,22582,24277,25306,26825,27645,27572,29972,32025,33788,35299,38748,41168,39518,41423,44758,45442,45608,47488,49186,49192,50104,52166,55294,60446,64462
 "46003","Aurora, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",11230,12095,12174,15900,22024,20874,18491,17922,21466,21805,22893,20268,25662,30497,23633,33535,33814,35152,38521,32988,37362,46157,45395,52530,48311,53535,44618,62957,60508,67460,70328,79208,77936,70478,98322,95674,81972,82257,112234,125265,104467,101210,138663,110656,115390,109058,107519,102449,99356,106461,110659,131639,149798
 "46003","Aurora, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4161,4238,4454,4235,4102,4032,3995,3996,3896,3796,3717,3624,3605,3551,3521,3512,3375,3318,3305,3260,3161,3130,3050,3033,3056,3057,3117,3064,3058,3063,3038,3045,2946,2869,2862,2860,2789,2775,2745,2750,2712,2701,2716,2765,2718,2746,2749,2776,2763,2779,2754,2733,2748
 "46003","Aurora, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2699,2854,2733,3754,5369,5177,4629,4485,5510,5744,6159,5593,7118,8588,6712,9549,10019,10594,11655,10119,11820,14747,14884,17319,15809,17512,14314,20547,19787,22024,23149,26012,26455,24565,34354,33452,29391,29642,40887,45551,38520,37471,51054,40020,42454,39715,39112,36905,35959,38309,40181,48166,54512
 "46005","Beadle, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",71312,77023,83358,92808,111014,113584,121990,124235,137581,155756,174143,179865,204822,213496,206827,235824,242794,250230,265559,273674,293003,307932,313074,332423,355731,379217,369740,421358,423192,431813,456265,481765,473762,448642,480049,531218,541364,569743,649622,767417,707631,680723,860991,777977,809617,857610,901438,913684,870934,872919,921002,998583,1059473
 "46005","Beadle, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",20910,20824,20698,20532,20604,20847,20465,20242,19774,19463,19385,19190,19132,19088,18755,18547,18440,18367,18427,18221,18243,18288,18090,18070,18092,18263,18364,18401,18272,17501,17097,17030,16952,16767,16504,16370,16304,16149,16489,16810,17288,17421,17788,18141,18420,18337,18472,18542,18853,18752,18967,19146,19121
 "46005","Beadle, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3410,3699,4027,4520,5388,5448,5961,6137,6958,8003,8983,9373,10706,11185,11028,12715,13167,13624,14411,15020,16061,16838,17306,18396,19662,20764,20134,22899,23161,24674,26687,28289,27947,26757,29087,32451,33204,35280,39397,45652,40932,39075,48403,42885,43953,46769,48800,49276,46196,46551,48558,52156,55409
 "46007","Bennett, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",7578,9359,9217,11863,18728,14180,15713,13684,15350,17080,18022,18967,21185,20837,25278,30790,26830,32362,30357,30959,35594,41247,41238,41057,51658,45617,53511,54643,54558,59061,66877,72125,73337,65310,79426,76173,89547,79126,84597,90079,88332,89916,92371,100911,99785,108901,111913,105873,111178,121097,120950,142795,159721
 "46007","Bennett, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3121,3125,3321,3198,3404,3451,3450,3402,3325,3271,3225,3039,3014,3089,3158,3294,3261,3258,3310,3299,3293,3194,3182,3129,3237,3405,3470,3490,3497,3592,3536,3572,3518,3519,3513,3519,3547,3475,3466,3429,3397,3451,3449,3449,3464,3437,3402,3452,3440,3473,3354,3386,3406
 "46007","Bennett, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2428,2995,2775,3710,5502,4109,4554,4022,4617,5222,5588,6241,7029,6746,8004,9347,8228,9933,9171,9384,10809,12914,12960,13121,15959,13397,15421,15657,15601,16442,18913,20192,20846,18559,22609,21646,25246,22770,24408,26270,26003,26055,26782,29258,28806,31685,32896,30670,32319,34868,36061,42172,46894
 "46009","Bon Homme, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",24288,25067,26537,32363,42201,39345,42349,39348,47837,55150,60021,55982,71549,71525,67882,77652,81062,83447,90152,91080,90348,97985,100461,117507,115428,133933,121479,156370,142084,158180,157008,166443,168611,154552,187313,201759,188950,194575,211347,221652,215850,226989,269193,253002,207963,202435,228286,239804,248247,266042,285886,299853,334323
 "46009","Bon Homme, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",8658,8606,8719,8544,8223,7848,7827,8020,8054,8211,8167,8022,7860,7822,7791,6977,6962,7008,6988,6970,7104,7103,7062,7023,7080,7052,7162,7211,7458,7336,7274,7243,7169,7091,7074,7014,6985,7174,7060,7040,7049,7064,7033,7059,7027,7036,7014,7025,7054,7030,7035,6979,7014
 "46009","Bon Homme, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2805,2913,3044,3788,5132,5013,5411,4906,5940,6717,7349,6979,9103,9144,8713,11130,11643,11907,12901,13067,12718,13795,14226,16732,16303,18992,16962,21685,19051,21562,21585,22980,23519,21796,26479,28765,27051,27122,29936,31485,30621,32133,38276,35841,29595,28771,32547,34136,35192,37844,40638,42965,47665
 "46011","Brookings, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",57363,61213,68687,78957,97254,104607,118059,119598,136503,157515,179342,185715,216017,233147,239605,262110,277731,279430,306179,320545,344451,370744,409570,427099,448181,496203,502065,543862,572803,615707,646932,703793,705222,705186,755853,811996,857072,903041,1029823,1119959,1115158,1135913,1268473,1313702,1363930,1431063,1502164,1520422,1529774,1601057,1652500,1771237,1865655
 "46011","Brookings, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",22155,22187,22424,23366,22893,22689,22709,23140,23226,23317,23925,24426,24746,24958,25039,25223,25034,24964,24622,25061,25094,25287,25417,25933,26547,27155,27450,27414,27672,27686,27921,28342,28565,28913,29171,29393,29485,30323,30831,31363,31729,31976,32016,32550,32696,32826,33261,33644,34014,34279,34347,34339,34639
 "46011","Brookings, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2589,2759,3063,3379,4248,4610,5199,5168,5877,6755,7496,7603,8729,9342,9569,10392,11094,11193,12435,12791,13726,14661,16114,16469,16883,18273,18290,19839,20700,22239,23170,24832,24688,24390,25911,27625,29068,29781,33402,35710,35146,35524,39620,40360,41716,43595,45163,45191,44975,46707,48112,51581,53860
 "46013","Brown, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",118610,129481,144494,163875,196141,200246,226313,226721,248210,284509,319659,338744,383383,398697,421825,469244,483560,497973,527946,542929,581743,624204,657241,700304,746048,782104,813786,874783,888994,939764,958882,1014022,1061343,1076562,1121274,1230987,1311559,1398371,1500147,1573969,1465406,1531505,1722706,1815135,1917310,1967725,2023154,1998248,2001490,2110547,2156933,2428249,2516359
 "46013","Brown, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",36507,37029,37610,38003,37820,38351,37727,37317,37362,37460,36452,37010,37115,37045,36629,36619,36542,36519,36465,36407,36017,35528,35614,35755,35973,36085,36104,36173,36087,35826,35705,35472,35303,35187,35223,35329,35441,35561,35821,35865,36181,36645,36877,37476,37999,38081,38189,38586,38978,38701,38430,38210,38101
 "46013","Brown, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3249,3497,3842,4312,5186,5221,5999,6076,6643,7595,8769,9153,10330,10763,11516,12814,13233,13636,14478,14913,16152,17569,18455,19586,20739,21674,22540,24183,24635,26231,26856,28587,30064,30595,31834,34844,37007,39323,41879,43886,40502,41793,46715,48435,50457,51672,52977,51787,51349,54535,56126,63550,66044
 "46015","Brule, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",17905,19760,20263,25046,33427,31370,29295,30406,35951,38999,43888,41538,47724,52613,51052,60693,61181,62897,66747,65465,68615,82435,80322,86717,92249,97101,96354,113795,113424,123948,127974,131844,134998,121737,144241,141409,143239,127124,164316,197110,187209,196760,249059,214067,225379,221824,217848,204583,236316,240115,240692,281028,310676
 "46015","Brule, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",5857,5825,5702,5779,5795,5622,5696,5580,5517,5504,5301,5251,5263,5406,5512,5590,5696,5609,5595,5586,5610,5459,5569,5596,5553,5554,5498,5500,5466,5449,5410,5334,5179,5067,5058,5030,5010,4991,5079,5112,5184,5282,5298,5296,5361,5284,5247,5210,5310,5196,5233,5263,5242
 "46015","Brule, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3057,3392,3554,4334,5768,5580,5143,5449,6516,7086,8279,7910,9068,9732,9262,10857,10741,11214,11930,11719,12231,15101,14423,15496,16612,17483,17525,20690,20751,22747,23655,24718,26066,24025,28517,28113,28591,25471,32352,38558,36113,37251,47010,40421,42040,41980,41519,39267,44504,46212,45995,53397,59267
 "46017","Buffalo, SD",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",4241,5366,5100,6614,8306,7084,6714,7239,8293,9284,9263,7518,9333,10769,10097,12868,13519,14399,14870,15024,14742,16632,17604,17390,21902,20924,21167,24239,23254,22549,27459,25621,28077,25188,34026,35036,34921,28673,37105,40874,39326,43527,50510,52295,53621,47019,45886,40865,47088,45146,39645,50086,63023
