GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",38574952,42497001,46116225,51173430,58113014,65532274,74746690,84227582,93978608,108293275,124677522,143140318,168292411,185542644,198083650,216833934,233561973,238934147,243559445,258240426,275917143,297726251,311370378,336646045,356399215,376613598,402805264,433164880,472178352,515146583,545418168,594465991,631990751,640381588,665861136,698584438,757968624,832292050,883810360,971051195,924343949,985165114,1077403282,1152725226,1184840515,1274636863,1300510099,1296480756,1387922561,1482714132,1560503548,1624525770,1767681687
 "48000","Texas",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25238863,25630063,26055816,26438164,26907878,27399070,27830020,28192251,28510878,28857754,29217653,29527941
 "48000","Texas",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9983,11413,12102,12575,13546,14353,14427,14653,15494,16417,17455,17897,18956,19624,20287,21246,22397,23919,25556,26530,28383,29644,29524,30224,31195,33276,35630,37085,39946,37269,39034,42037,44241,44816,47370,47465,46586,49231,52005,54076,55601,59865
 "48001","Anderson, TX",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",75464,81737,89499,96277,111621,128531,152014,169370,189684,219009,247827,288668,351231,414083,437763,463992,485398,492886,501794,530217,568928,586212,614923,651784,678153,730268,782732,824947,864014,909925,931787,998847,1040723,1063137,1101689,1144232,1214877,1301823,1411705,1527955,1502720,1598211,1680048,1751804,1778740,1832555,1868364,1918588,1939647,2008104,2114625,2251483,2478790
 "48001","Anderson, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",28708,28012,29457,30684,30649,30901,32149,33462,34760,36546,37968,38874,40730,41873,44378,45215,46020,46495,46256,48084,48602,47980,48284,48618,49763,50729,53094,53510,54051,54290,54876,55062,54263,54740,56068,56245,56873,57386,57870,57963,58410,58501,58415,58094,58009,57882,57707,57644,58288,58201,57884,57881,58402
 "48001","Anderson, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2629,2918,3038,3138,3642,4159,4728,5062,5457,5993,6527,7426,8623,9889,9864,10262,10548,10601,10848,11027,11706,12218,12736,13406,13628,14395,14742,15417,15985,16760,16980,18140,19179,19422,19649,20344,21361,22685,24394,26361,25727,27319,28761,30155,30663,31660,32377,33283,33277,34503,36532,38898,42444
 "48003","Andrews, TX",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",37335,40614,47883,43380,50717,59795,72421,82569,95344,104092,115275,131937,174612,204095,210820,221938,225654,203267,195091,189245,199303,207443,209044,219334,225067,230244,230068,235156,251666,249160,245574,267190,300151,301365,325819,347694,383301,438704,477378,571289,501381,547571,665394,783359,855803,955405,831177,728104,805103,926151,990376,918117,976265
 "48003","Andrews, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",9307,10450,10993,11146,10582,10751,11676,11885,12021,12418,12792,13482,14076,15142,15742,15752,16345,16509,15329,14968,14476,14270,14404,14324,13963,13953,13723,13583,13563,13594,13225,12949,12856,13022,12976,13006,13016,13195,13513,14099,14601,14844,15361,16053,16699,17322,17928,17622,17424,17858,18581,18612,18440
 "48003","Andrews, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4011,3887,4356,3892,4793,5562,6203,6947,7931,8382,9011,9786,12405,13479,13392,14090,13806,12312,12727,12643,13768,14537,14513,15312,16119,16501,16765,17313,18555,18329,18569,20634,23347,23143,25109,26733,29448,33248,35327,40520,34339,36888,43317,48798,51249,55156,46362,41318,46207,51862,53300,49329,52943
 "48005","Angelina, TX",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",147461,162768,180117,205523,228128,260029,297976,336458,379338,445431,505599,558901,638576,704110,728863,791888,840609,872307,865878,929406,992623,1047405,1115108,1172424,1233726,1308410,1389415,1467788,1544487,1638215,1688169,1805183,1918667,1983255,2067335,2149441,2243136,2406995,2552754,2706110,2664401,2779685,2958740,3127771,3091427,3307984,3381215,3281123,3312835,3404546,3490130,3686181,3994017
