GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",791229000,855525000,924613000,1016408000,1133468000,1244912000,1362505000,1495704000,1651632000,1855849000,2073257000,2313160000,2592915000,2779794000,2968676000,3279488000,3510471000,3719647000,3946593000,4267813000,4609667000,4897821000,5067291000,5409920000,5648732000,5940128000,6286143000,6673186000,7086935000,7601594000,8006585000,8654561000,9009842000,9157682000,9491393000,10037313000,10599603000,11374142000,12014107000,12475898000,12073407000,12586509000,13330436000,14003346000,14189228000,14969527000,15681233000,16092713000,16837337000,17671054000,18575467000,19812171000,21288709000
 "00000","United States", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378433,311841632,314344331,316735375,319270047,321829327,324367742,326623063,328542157,330233102,331501080,331893745
 "00000","United States", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28693,30672,31617,31839,32717,34280,35868,38120,39883,41026,39356,40683,42747,44548,44798,46887,48725,49613,51550,53786,56250,59765,64143
 "01000","Alabama",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28151411,31037123,34465512,36396094,38970502,42870184,46098732,48790314,51651951,55558831,60395710,64239770,67929940,73039777,76398045,80848446,85473600,89349999,93981379,99847704,103369398,108215370,111947357,114904537,120123434,128828691,136861148,145692271,152984377,158450580,155913476,162531112,168474324,173361655,175185262,181078773,189115437,192363456,199191774,206712014,216587513,232040332,250828813
 "01000","Alabama",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4787998,4812138,4839261,4864399,4886793,4908162,4930595,4952202,4976395,5003418,5024803,5039877
 "01000","Alabama",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22668,23333,24306,25057,25648,26673,28434,29949,31474,32739,33583,32769,33946,35010,35824,36014,37055,38531,39014,40223,41539,43288,46179,49769
 "02000","Alaska",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1575306,1798953,1984124,2166758,2507651,3042645,4156808,4893293,5081877,5235885,5546800,6285047,7152287,8733371,9513455,10120618,10965793,11065577,10618140,11067575,12110504,12843337,13405073,14270677,15007304,15513140,15955835,16403012,17276624,18136011,18712485,20122417,21309233,22325307,23340268,24404323,26061238,27793409,29869101,32907654,33028359,35451983,37981757,39265976,38978032,41209955,42555117,41837407,42431384,43981166,45056762,45965064,48219215
 "02000","Alaska",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714014,722511,731106,738057,737638,739127,743410,741949,737717,734823,732441,732673
 "02000","Alaska",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5322,5911,6269,6636,7525,8827,11205,12447,12789,13018,13745,15507,17091,19424,19478,19701,20593,20331,19688,20420,22133,23213,23510,24240,25036,25713,26399,26953,28185,29255,29951,32044,33626,34756,35996,37016,39075,41157,43906,47869,47258,49652,52569,53708,52812,55867,57575,56278,57189,59618,61316,62756,65813
 "04000","Arizona",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",6327071,7216133,8255566,9464649,10934211,12336094,13317758,14813181,16646785,19559610,22986621,26477610,30247056,32197364,35452604,40055602,44570307,48739358,52518393,56718429,60862489,63820979,67174577,71692129,77041009,84343667,91989409,99707638,108023079,118042927,125393478,136175114,142423527,147602212,156458313,170821628,188761972,209228706,221244846,224508260,212645969,216873648,227700087,237809058,243752324,257272272,270815540,282085147,299249152,316896302,340259805,375601287,403739312
