GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "51000","Virginia",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",17847652,19371643,21410967,23764172,26612710,29489590,32379775,35770824,39631200,44990392,50182027,56726477,63698177,68854776,74238986,82638234,89308410,96341470,104064166,113916609,123237031,129558196,135041489,143668598,150973300,158882771,167003323,175342358,186845541,200072500,214461205,232469615,244753608,251379556,266597645,285112612,304349954,325251794,342962739,356536029,349428515,365245480,385984453,404179743,401684271,419329599,438272757,449830106,466610744,483922089,507874120,536817193,573027916
 "51000","Virginia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4614000,4659930,4752846,4828131,4906648,4978155,5056385,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8025030,8107628,8196915,8269638,8333578,8389864,8444688,8502578,8547016,8597339,8632044,8642274
 "51000","Virginia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3868,4157,4505,4922,5424,5924,6404,6969,7613,8514,9425,10567,11700,12535,13341,14642,15627,16577,17542,18870,20136,20840,21431,22398,23192,24098,25035,25973,27360,28992,30637,32715,34001,34498,36188,38139,40167,42385,44248,45514,44087,45513,47608,49309,48573,50318,52238,53268,54879,56619,59073,62189,66305
 "51001","Accomack, VA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",72875,79372,86973,96193,112156,124861,139671,154219,166432,194395,206019,224910,256176,265695,279133,311239,342241,376394,388894,415935,454573,466205,486559,526964,541125,579604,597418,614900,634277,681086,713890,754645,799948,832296,888060,926056,956753,976032,1037867,1098203,1102380,1122728,1128960,1189582,1191004,1228862,1270656,1355741,1469219,1514201,1607878,1725080,1912316
 "51001","Accomack, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",29308,28863,28560,28721,29553,30551,30893,30878,30893,31259,31443,31288,31306,31264,31215,31074,31075,31228,31565,31708,31868,31803,32520,33215,33907,34568,35024,35679,36266,37059,37614,38215,37742,37308,36742,36310,35835,35192,34553,33970,33415,33178,33366,33528,33343,33465,33514,33599,33534,33516,33342,33348,33246
 "51001","Accomack, VA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2487,2750,3045,3349,3795,4087,4521,4994,5387,6219,6552,7188,8183,8498,8942,10016,11013,12053,12320,13118,14264,14659,14962,15865,15959,16767,17057,17234,17490,18378,18979,19747,21195,22309,24170,25504,26699,27734,30037,32329,32991,33840,33836,35480,35720,36721,37914,40351,43813,45178,48224,51730,57520
 "51007","Amelia, VA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",18123,20157,22716,25237,30447,32448,35633,38687,40992,48910,54878,61071,69037,73022,77278,92134,98466,108022,113786,125295,135810,137968,141021,152560,164256,178020,193004,207765,223969,240043,256725,273740,290117,290983,303506,338322,361335,386317,417556,418734,402252,425582,434305,456702,486096,499781,530709,529433,544924,551792,580109,614336,676311
 "51007","Amelia, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",7702,7583,7654,7902,8002,8178,8394,8462,8482,8372,8428,8403,8380,8301,8221,8188,8276,8381,8384,8495,8748,8823,9012,9307,9634,9708,9965,10241,10634,10890,11137,11446,11481,11540,11544,11712,11943,12250,12447,12563,12594,12746,12775,12793,12728,12809,12903,12948,13142,13188,13274,13246,13268
 "51007","Amelia, VA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2353,2658,2968,3194,3805,3968,4245,4572,4833,5842,6511,7268,8238,8797,9400,11252,11898,12889,13572,14749,15525,15637,15648,16392,17050,18337,19368,20288,21062,22043,23052,23916,25269,25215,26291,28887,30255,31536,33547,33331,31940,33389,33996,35699,38191,39018,41131,40889,41464,41840,43703,46379,50973
 "51009","Amherst, VA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",63907,69928,74674,83022,93321,105825,118900,130263,142042,159827,180854,190570,209449,228220,253244,280219,294571,315019,339671,355405,382440,399928,412317,436260,469244,494152,516863,546388,576476,604901,644315,690888,710982,720823,742725,784862,824303,877317,918131,968325,963109,969684,990226,1020583,1015350,1054832,1079955,1097047,1125605,1162760,1196620,1288542,1377607
