GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "50000","Vermont",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1515435,1663931,1802291,1989067,2183882,2364027,2591785,2876016,3120096,3573412,4015134,4505299,5069132,5502286,5907740,6496255,7040967,7574217,8217480,8976787,9917053,10298043,10499432,11241667,11680869,12247126,12890172,13585552,14333084,15426625,16303841,17687618,18804820,19212249,19980138,21131250,21666544,23051976,24280942,25603938,25291705,26140047,27690554,28554400,28964344,30195918,31078990,31575635,32445456,33576982,35584488,38097699,39949416
 "50000","Vermont",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,626360,629582,630661,632824,633827,635874,636342,639061,640667,641838,642495,645570
 "50000","Vermont",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7940,8790,9832,10600,11289,12335,13284,14182,15210,16328,17782,18233,18465,19627,20218,20977,21885,22883,23999,25693,26963,29014,30716,31217,32338,34087,34878,37008,38944,41022,40479,41733,43982,45277,45770,47641,48876,49621,50771,52409,55442,59296,61882
 "50001","Addison, VT",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",74438,83975,91418,101674,111057,118305,128497,143055,152384,176850,202158,230734,260812,284350,299657,332179,364335,402291,442716,469560,518421,548458,557756,596447,611179,640904,671130,722872,756830,833313,888998,964678,1034715,1058940,1122282,1174990,1189602,1256510,1347213,1419049,1393573,1478896,1580837,1677948,1661134,1695824,1715827,1761965,1831000,1885708,2008490,2131457,2218471
 "50001","Addison, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",23692,24283,24462,24707,25726,26403,26799,27132,27269,27595,28477,29448,29549,29932,30439,30521,30642,30739,31353,31988,32380,33150,33454,33762,34140,34394,34599,34930,35103,35481,35687,36002,36055,36320,36432,36580,36611,36758,36886,36905,36847,36825,37030,37013,37097,37144,37196,37260,37280,37351,37423,37292,37260
 "50001","Addison, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3142,3458,3737,4115,4317,4481,4795,5273,5588,6409,7099,7835,8826,9500,9845,10884,11890,13087,14120,14679,16011,16545,16672,17666,17902,18634,19397,20695,21560,23486,24911,26795,28698,29156,30805,32121,32493,34183,36524,38451,37821,40160,42691,45334,44778,45655,46129,47288,49115,50486,53670,57156,59540
 "50003","Bennington, VT",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",108243,116721,127492,145252,160171,171547,186116,209040,229403,262489,295195,325376,364891,397438,425851,461282,488952,516385,555346,603170,668223,681042,689546,735925,763750,802502,828685,862853,912941,1010789,1044564,1120367,1191561,1188931,1218434,1293824,1292636,1399712,1480060,1556800,1465895,1509494,1594522,1634375,1641003,1709891,1772212,1790600,1839355,1909592,2045678,2174744,2286739
 "50003","Bennington, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",28669,29234,29264,29154,30351,31131,31375,31873,32890,32983,33131,33447,33782,34084,34411,34648,34839,34928,35156,35551,35876,35854,35809,35940,36053,36316,36680,36809,36782,36770,36927,36965,36974,37105,37083,37062,36960,37127,37077,37168,37151,37127,37066,37071,37201,37026,37214,37183,37157,37220,37311,37271,37312
 "50003","Bennington, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3776,3993,4357,4982,5277,5510,5932,6559,6975,7958,8910,9728,10801,11661,12375,13313,14035,14784,15797,16966,18626,18995,19256,20476,21184,22098,22592,23441,24820,27490,28287,30309,32227,32042,32857,34910,34974,37701,39919,41885,39458,40658,43018,44088,44112,46181,47622,48156,49502,51306,54828,58349,61287
 "50005","Caledonia, VT",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",71415,77914,86063,95053,105947,113200,124281,141857,150392,165605,179181,198403,221628,239528,255952,277864,298932,321914,346114,376791,411500,426636,434592,481287,480747,499142,522685,551768,580659,624769,650943,721791,730360,749914,774359,816649,842245,886714,952051,1021982,1011397,1036329,1088076,1115646,1135381,1170622,1180008,1182702,1208274,1247382,1326646,1454921,1536368
