GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "53000","Washington",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",14235772,15036667,15838561,17079016,19236035,21826702,24719584,27398764,30411983,35366608,40755502,46241935,51391260,54606379,58281463,62431081,66376252,70875837,75031208,81724088,90313168,99151181,106188886,114759017,120676876,126855369,134146303,144246155,155513933,170274853,180875799,193410020,198030996,201013586,209084894,224764687,233923199,255002627,276678424,290319382,277305285,285579891,302075863,326698847,333763661,359690641,381158080,401774275,426442657,454583523,490322144,527581834,570920801
 "53000","Washington",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6743597,6830460,6904030,6974173,7068026,7180454,7315935,7446807,7548537,7638689,7718785,7738692
 "53000","Washington",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4258,4400,4595,4955,5532,6152,6831,7424,8062,9101,10156,11130,12133,12769,13553,14373,15085,15917,16556,17613,19028,20222,21129,22237,22860,23600,24475,25898,27405,29513,30958,32723,33084,33212,34253,36378,37384,40027,42819,44241,41591,42348,44225,47320,47857,50890,53083,54918,57265,60221,64189,68350,73775
 "53001","Adams, WA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",50693,58805,61987,70546,88299,110609,127468,112902,106354,115512,114330,146411,155042,143128,204125,196291,186344,210993,186319,207848,211549,245014,239110,262533,301112,288726,300961,331187,327593,340823,329059,348793,342770,360910,389892,396329,398871,426543,492327,542664,542389,579155,643177,690427,716519,737021,830885,757385,748485,756726,830136,928053,987057
 "53001","Adams, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",11219,12125,12474,12378,12558,12423,12658,13429,13632,13605,13703,13259,13202,13240,13403,13533,13618,13482,13599,13476,13575,13636,14100,14476,14932,15646,15711,15860,16042,16194,16239,16458,16259,16445,16612,16664,16918,16997,17413,17782,18405,18804,18943,19056,19255,19383,19493,19653,19977,20100,20484,20605,20621
 "53001","Adams, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4518,4850,4969,5699,7031,8904,10070,8407,7802,8490,8343,11042,11744,10810,15230,14505,13684,15650,13701,15424,15584,17968,16958,18136,20166,18454,19156,20882,20421,21046,20264,21193,21082,21946,23471,23784,23577,25095,28274,30518,29470,30800,33953,36231,37212,38024,42625,38538,37467,37648,40526,45040,47867
 "53003","Asotin, WA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",46337,49275,53364,59876,68905,76399,89377,96962,107293,124061,142358,159825,171882,177037,196073,203358,204430,210778,216669,232115,248520,268165,294606,316171,344073,360459,376105,406753,437927,461527,478830,503234,524195,533127,556049,578113,594384,643484,688936,735138,734906,770308,800781,823482,836779,879078,904112,943211,984805,1012356,1067306,1146898,1244469
 "53003","Asotin, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",13285,13833,14091,14909,14954,15271,15423,15610,15858,16150,16452,16857,16963,16998,17046,17299,17385,17311,17128,17095,17324,17666,17948,18399,18860,19454,19894,20280,20499,20721,20560,20546,20447,20490,20487,20783,20908,21133,21188,21393,21415,21713,21922,21823,22004,22022,21905,22048,22244,22280,22217,22290,22397
 "53003","Asotin, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3488,3562,3787,4016,4608,5003,5795,6212,6766,7682,8653,9481,10133,10415,11503,11755,11759,12176,12650,13578,14345,15180,16414,17184,18244,18529,18905,20057,21363,22273,23289,24493,25637,26019,27142,27817,28429,30449,32515,34363,34317,35477,36529,37735,38028,39918,41274,42780,44273,45438,48040,51453,55564
 "53005","Benton, WA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",252490,279201,296277,330157,377431,458489,560324,636475,769402,957891,1112459,1230007,1475001,1537960,1563715,1535123,1581878,1660476,1721561,1753389,1886413,2080186,2286354,2537477,2805750,3047425,3110024,3181124,3277038,3444514,3628118,3898168,4226677,4459962,4733609,5014276,5133866,5261538,5748879,6267110,6560301,7204071,7630138,7523067,7501343,7773152,8429400,8712709,9021513,9269239,9944548,10754179,11542478
