GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "55000","Wisconsin",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",16424603,17648753,18959244,20731568,23157827,25436474,27871968,30609129,34210389,38209862,42797607,47281994,51613356,54462321,57196715,62913160,66276653,69916780,73793678,78456347,85533880,90431226,94002441,101407734,106713903,113394413,119327068,126196708,133915177,143202039,148959188,158832306,166751573,171113439,176142717,184301578,191047148,202681226,212179238,220311550,216466285,222982662,235433754,246242279,247847355,258347784,269703881,274374657,284576489,298256864,311019045,329622820,351551320
 "55000","Wisconsin",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691995,5713164,5734069,5757204,5778371,5794088,5812379,5836461,5858766,5880193,5892323,5895908
 "55000","Wisconsin",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10034,10920,11517,12114,13285,13960,14702,15445,16269,17612,18438,18936,20179,20986,22088,23015,24129,25429,27031,27933,29556,30841,31425,32148,33424,34447,36338,37816,39055,38182,39175,41209,42944,43050,44709,46548,47205,48758,50908,52893,55941,59626
 "55001","Adams, WI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",22995,25605,28640,31211,39289,45675,54847,58752,65830,78467,88878,104763,112415,113463,127606,139361,144916,153266,156267,163638,188987,191669,210879,228759,248626,271505,290091,316103,348401,369260,395077,428647,457762,478053,492218,507593,528625,553079,572979,592608,607543,626164,658908,692166,698033,709795,735931,749010,768030,802465,850712,910790,960296
 "55001","Adams, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8875,9302,9740,10321,10891,11242,12013,12452,12487,12936,13437,13573,14008,14320,14405,14539,14767,14779,15030,15115,15480,15696,15954,16151,16533,17051,17246,17545,17989,18158,18462,20047,20337,20578,20644,20774,21211,21185,21156,21101,20930,20882,20790,20451,20465,20195,20119,20094,20031,20533,20431,20673,20875
 "55001","Adams, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2591,2753,2940,3024,3607,4063,4566,4718,5272,6066,6614,7718,8025,7923,8858,9585,9814,10371,10397,10826,12208,12211,13218,14164,15038,15923,16821,18017,19367,20336,21399,21382,22509,23231,23843,24434,24922,26107,27084,28084,29027,29986,31694,33845,34109,35147,36579,37275,38342,39082,41638,44057,46002
 "55003","Ashland, WI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",47385,50666,54087,57571,62891,69075,78622,85948,94115,109133,119076,127141,140899,151171,164010,176565,184222,194055,193958,204881,219061,224596,235215,247287,264411,281782,297883,311141,328246,346898,356910,373758,397186,399966,409277,433899,442254,456469,455104,477900,491437,501934,523184,542463,552185,571763,585489,588162,607298,627356,653915,694885,747654
 "55003","Ashland, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",17188,16704,16495,16254,16379,16245,16506,16569,16824,16381,16285,16913,17391,17365,17309,17043,16745,16568,16615,16475,16519,16268,16316,16512,16761,16764,16847,16891,16905,16896,16891,16823,16773,16747,16647,16547,16407,16408,16199,16145,16128,16156,16096,15962,16153,16238,16105,15986,15910,16013,16021,15977,16107
 "55003","Ashland, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2757,3033,3279,3542,3840,4252,4763,5187,5594,6662,7312,7517,8102,8705,9475,10360,11002,11713,11674,12436,13261,13806,14416,14976,15775,16809,17682,18421,19417,20531,21130,22217,23680,23883,24586,26222,26955,27820,28095,29600,30471,31068,32504,33985,34185,35211,36354,36792,38171,39178,40816,43493,46418
 "55005","Barron, WI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",95645,103663,113141,126052,147201,157731,179005,194824,229708,258269,282785,323335,349901,372057,371439,453549,478153,500721,505062,523412,581413,606402,638142,689122,719682,775829,808268,869368,919853,1009644,1042682,1096078,1203079,1218892,1262113,1307270,1355939,1432337,1532647,1594171,1640272,1661973,1780729,1930669,1868509,1959023,2038989,2028713,2107222,2225600,2345712,2489581,2658235
