GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "54000","West Virginia",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",4944141,5511837,6051556,6700698,7333218,8128736,9186126,10241128,11457287,12752672,14222561,15632663,17051166,18069361,18550227,19940683,20765614,21261444,21785013,23237559,24600986,26186226,27308245,29404386,30498832,31820522,32894704,34208841,35630179,37123018,38114073,40327673,42791913,44263425,44986864,46658446,49118578,52467619,54490757,58167097,58608638,60753800,64227278,65898534,65572756,67764369,69178579,68630112,71344508,74740033,77329870,80971182,86451772
 "54000","West Virginia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854409,1857326,1858745,1856642,1853014,1846341,1835998,1822785,1810588,1800430,1789798,1782959
 "54000","West Virginia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8011,8726,9268,9537,10344,10890,11295,11728,12697,13618,14608,15182,16277,16780,17480,18037,18767,19587,20447,21037,22317,23754,24517,24823,25687,26981,28704,29711,31607,31718,32762,34581,35453,35318,36570,37468,37380,39140,41279,42951,45240,48488
 "54001","Barbour, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",31306,34785,40806,48231,53730,58275,69152,74477,84303,90734,103443,114384,125181,135825,135077,145391,147288,149694,147360,154516,162597,169536,177686,191673,202300,211650,215457,225454,236885,244541,251011,266181,277244,294034,304138,318721,335276,366620,388720,418331,427881,446483,463844,489656,483491,495553,497897,493419,511995,539546,556893,590698,627624
 "54001","Barbour, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13809,14166,14721,14975,15080,15083,15352,15864,15975,15965,16158,16661,16736,16734,16738,16852,16754,16479,16255,15964,15730,15675,15572,15760,15806,15925,15948,15981,15698,15735,15616,15560,15436,15569,15639,15629,15722,15922,16036,16241,16479,16585,16474,16638,16542,16475,16443,16124,15814,15712,15561,15440,15468
 "54001","Barbour, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2267,2456,2772,3221,3563,3864,4504,4695,5277,5683,6402,6865,7480,8117,8070,8628,8791,9084,9066,9679,10337,10816,11411,12162,12799,13290,13510,14108,15090,15541,16074,17107,17961,18886,19447,20393,21325,23026,24240,25758,25965,26921,28156,29430,29228,30079,30280,30602,32376,34340,35788,38258,40576
 "54003","Berkeley, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",126726,134820,148849,167079,187624,208309,229837,254554,282243,322075,364255,404357,452311,486830,518485,585646,631825,682908,739951,818777,897470,952270,989603,1061799,1116306,1170327,1239979,1322597,1439947,1522600,1615271,1797954,1950104,2099258,2276044,2457636,2720206,2973396,3153980,3349155,3380874,3537032,3707519,3874664,3926724,4071773,4259032,4493365,4679367,4924401,5289435,5726234,6273083
 "54003","Berkeley, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",37570,36437,37181,38572,39750,40917,41549,43008,43776,44038,45311,46995,47829,48528,49664,50337,51160,52227,53472,55546,57276,59839,61582,63010,64396,65800,67117,68667,70061,72285,74366,76357,78428,80875,84524,88258,92114,96318,99132,101629,102830,104650,105838,107133,108745,110526,112089,113943,115616,117917,120132,122654,126069
 "54003","Berkeley, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3373,3700,4003,4332,4720,5091,5532,5919,6447,7314,8039,8604,9457,10032,10440,11635,12350,13076,13838,14741,15669,15914,16070,16851,17335,17786,18475,19261,20553,21064,21721,23547,24865,25957,26928,27846,29531,30871,31816,32955,32878,33799,35030,36167,36109,36840,37997,39435,40473,41762,44030,46686,49759
 "54005","Boone, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",61783,77173,85509,103212,117437,137155,153729,165988,191286,220515,246460,263057,275873,318348,309596,324870,325536,334641,344817,352203,327938,354728,396710,398812,385351,425396,433215,431061,436672,454353,463281,475985,483956,507785,522118,541638,576316,623277,659401,736814,732483,754223,813386,799424,751277,739249,739193,715488,736935,775473,778865,843183,893189
 "54005","Boone, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",25117,25182,25554,26105,27343,27611,28381,29442,30214,30445,30892,30449,30430,30429,30284,29772,29175,28725,27658,27067,26406,25781,25958,26303,26048,25977,25928,26055,25976,25642,25640,25473,25372,25505,25545,25455,25311,25101,25115,24794,24766,24625,24504,24523,24330,24023,23626,23241,22867,22464,21962,21714,21312
 "54005","Boone, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2460,3065,3346,3954,4295,4967,5417,5638,6331,7243,7978,8639,9066,10462,10223,10912,11158,11650,12467,13012,12419,13759,15283,15162,14794,16376,16708,16544,16811,17719,18069,18686,19074,19909,20439,21278,22769,24831,26255,29717,29576,30628,33194,32599,30879,30773,31287,30786,32227,34521,35464,38831,41910
 "54007","Braxton, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",23158,29640,33359,33015,36954,39616,44058,47800,53684,60498,71239,85512,96380,107516,109007,120158,124188,128392,129555,136853,143862,150036,152441,162504,172868,179265,191837,206703,209786,216526,220047,238425,244571,257455,265770,280263,290709,312001,332028,361661,364369,383782,409817,431761,417943,430910,449613,428652,433583,448721,459743,484829,508826
 "54007","Braxton, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12485,12756,13206,13275,13576,13203,13293,13401,13593,13601,13778,13954,14184,14200,14307,14121,14130,13972,13676,13472,13132,13021,13242,13328,13627,13757,14027,14192,14155,14299,14521,14713,14702,14667,14632,14696,14682,14585,14585,14587,14512,14508,14358,14136,13935,13817,13656,13464,13241,12939,12688,12386,12247
 "54007","Braxton, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1855,2324,2526,2487,2722,3001,3314,3567,3949,4448,5170,6128,6795,7572,7619,8509,8789,9189,9473,10158,10955,11523,11512,12193,12686,13031,13676,14565,14821,15143,15154,16205,16635,17553,18164,19071,19800,21392,22765,24793,25108,26453,28543,30543,29992,31187,32924,31837,32745,34680,36234,39143,41547
 "54009","Brooke, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",94429,100898,113423,123581,130421,146801,159789,180690,199460,218440,247449,263974,288514,283688,281549,293630,301759,320147,326484,339685,365204,401203,399349,425236,441919,460681,476199,497121,509707,530394,540664,587807,611291,618371,607288,619066,630228,665892,691600,740203,726385,749761,795857,820503,824260,867564,892711,860796,892531,934858,978966,1052861,1113010
 "54009","Brooke, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",29023,30354,30131,29952,30331,30332,31020,30791,30715,30152,30527,31082,30917,30484,29673,29165,28733,28436,27871,27463,27198,26973,26776,26582,26697,26622,26645,26380,26061,25892,25776,25366,25237,25156,25094,24867,24703,24399,24235,24168,24153,23994,23920,23866,23869,23737,23649,23183,22990,22788,22656,22469,22140
 "54009","Brooke, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3254,3324,3764,4126,4300,4840,5151,5868,6494,7245,8106,8493,9332,9306,9488,10068,10502,11259,11714,12369,13428,14874,14914,15997,16553,17305,17872,18845,19558,20485,20975,23173,24222,24581,24201,24895,25512,27292,28537,30627,30074,31248,33272,34380,34533,36549,37748,37130,38823,41024,43210,46858,50271
 "54011","Cabell, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",345482,386817,420385,450742,485970,534552,593117,653473,718368,789701,870142,948149,1024338,1071144,1106264,1184042,1246814,1288629,1309257,1405456,1509521,1598642,1663187,1794890,1865127,1913381,1977827,2023625,2100485,2178008,2225119,2326941,2449387,2542848,2581489,2595065,2680921,2854770,3013837,3224585,3243234,3325355,3485874,3575983,3545617,3669060,3750872,3713317,3813045,4021796,4116150,4377971,4658385
 "54011","Cabell, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",106302,107195,108919,107672,106837,105926,105730,107082,107572,106511,107575,106924,107178,105808,106421,105369,104521,102001,100571,98796,97800,96754,97120,97292,97990,98602,98611,98440,98018,97196,96987,96735,96035,95741,95554,95239,94821,94943,95059,95209,96040,96347,96910,97525,97886,97775,97999,97342,96387,95039,94234,94137,93418
 "54011","Cabell, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3250,3609,3860,4186,4549,5046,5610,6103,6678,7414,8089,8868,9557,10123,10395,11237,11929,12633,13018,14226,15435,16523,17125,18448,19034,19405,20057,20557,21430,22408,22942,24055,25505,26560,27016,27248,28273,30068,31705,33868,33770,34514,35970,36667,36222,37526,38275,38147,39560,42317,43680,46506,49866
 "54013","Calhoun, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",12701,14358,15374,16982,18711,20413,23293,25905,28645,33822,37823,43042,48099,51279,55608,60613,63933,65609,66141,75865,77993,80753,83709,92882,95770,97627,97867,100403,103608,106780,110163,118233,127595,130718,135906,139148,142365,152508,156919,178788,184367,193051,206247,226923,217813,223811,213652,200229,210181,217164,224649,240775,255957
 "54013","Calhoun, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",7124,7068,7191,7356,7299,7350,7714,7780,7989,8196,8108,8287,8428,8431,8405,8478,8393,8486,8267,8080,7900,7881,7808,7853,7866,7740,7708,7740,7668,7649,7648,7596,7480,7443,7409,7411,7507,7531,7588,7621,7560,7637,7537,7417,7291,7218,7051,6893,6758,6570,6389,6199,6176
 "54013","Calhoun, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1783,2031,2138,2309,2564,2777,3020,3330,3586,4127,4665,5194,5707,6082,6616,7149,7617,7731,8001,9389,9873,10247,10721,11828,12175,12613,12697,12972,13512,13960,14404,15565,17058,17563,18343,18776,18964,20251,20680,23460,24387,25278,27365,30595,29874,31007,30301,29048,31101,33054,35162,38841,41444
 "54015","Clay, WV",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",15449,17887,20491,23885,26336,28963,33504,38111,40962,45662,53834,59466,65700,72189,70080,73765,75662,77204,78935,80702,85979,92000,94377,102916,108861,117506,122523,127874,132798,134295,137741,142815,165682,173855,173174,179964,184004,202149,212879,232689,241082,242544,262420,263885,254888,260726,262231,254028,258756,273687,277985,294168,314007
 "54015","Clay, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8953,9412,9797,10027,9764,9607,9775,10345,10588,10775,10758,11276,11308,11267,11144,11201,10957,10881,10627,10470,10214,9947,9920,9957,10086,10075,10192,10224,10350,10327,10363,10302,10153,10166,10061,10055,9852,9695,9696,9603,9505,9373,9297,9135,9033,8743,8702,8626,8457,8328,8200,8006,7892
