GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1218567,1347928,1497541,1684506,1968637,2302703,2607391,2890363,3375638,4033706,4716087,5506325,6299803,6616850,6568094,6857149,7160432,7130593,6864334,7002612,7642563,8233322,8642355,9130739,9659908,10102484,10585368,11077737,11884975,12640312,13532735,14634575,15505877,15927590,16959101,18360822,20250025,23254620,24752846,27163196,24949194,26328777,28786638,31199618,31240113,33549324,33761753,31908537,32952324,34759566,36889027,37973961,40322831
 "56000","Wyoming",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564405,566858,575497,580930,580949,583645,581983,576248,574801,575341,577267,578803
 "56000","Wyoming",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3704,4038,4404,4856,5571,6317,6853,7309,8203,9361,10437,11612,12812,13066,12870,13581,14330,14387,14392,15056,16673,18147,18818,19583,20419,21034,21818,22693,24282,25755,27518,29607,31347,31854,33686,36065,39385,44492,46278,49746,44564,46649,50783,54213,53776,57749,57846,54827,57184,60472,64117,65782,69666
 "56001","Albany, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",74388,81316,90627,97879,109591,121035,138883,154064,181106,208116,231883,268951,307523,335036,353861,372633,386975,399165,388874,400009,426688,453023,473281,504276,524060,561155,601994,616727,647411,680537,718424,781293,850186,902970,969709,988235,999955,1039380,1092516,1207811,1189517,1261203,1397888,1441908,1439978,1482083,1523595,1480729,1505969,1578861,1594486,1707698,1825036
 "56001","Albany, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",26110,26469,26534,26753,26714,27221,26888,27584,27937,28119,28773,29221,29795,30608,30947,30905,30642,30549,30463,30553,30844,30879,31285,31566,32227,32526,32742,32879,32264,32179,32192,31966,32419,32675,33098,33580,33631,33950,33858,34643,35743,36427,36652,37000,37032,36934,37099,36877,37268,37413,37120,37079,37608
 "56001","Albany, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2849,3072,3416,3659,4102,4446,5165,5585,6483,7401,8059,9204,10321,10946,11434,12057,12629,13066,12765,13092,13834,14671,15128,15975,16262,17253,18386,18757,20066,21148,22317,24441,26225,27635,29298,29429,29733,30615,32268,34865,33280,34623,38139,38970,38885,40128,41068,40153,40409,42201,42955,46056,48528
 "56003","Big Horn, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",31544,35168,39049,44404,53636,56314,58216,62313,67536,80003,90924,108348,117441,124809,118314,127793,129988,125834,124387,129983,135671,151608,159157,163091,163468,170430,180262,193431,210395,223045,236683,244831,269148,264112,280127,278458,306350,340546,326950,369102,366196,383417,415168,428813,428610,449956,455884,429905,441044,461953,476180,520976,549715
 "56003","Big Horn, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10053,10264,10499,10428,10620,10601,10902,11286,11435,11653,11842,12030,12547,12791,12691,12287,12166,11912,11376,11088,10838,10487,10582,10708,10770,10950,11228,11334,11255,11520,11480,11398,11209,11157,11073,11231,11193,11222,11350,11419,11541,11662,11710,11736,11905,11816,11905,11878,11806,11794,11643,11467,11632
 "56003","Big Horn, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3138,3426,3719,4258,5050,5312,5340,5521,5906,6865,7678,9006,9360,9758,9323,10401,10685,10564,10934,11723,12518,14457,15040,15231,15178,15564,16055,17066,18693,19362,20617,21480,24012,23672,25298,24794,27370,30346,28806,32323,31730,32877,35454,36538,36003,38080,38293,36193,37358,39168,40898,45433,47259
 "56005","Campbell, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",40588,46107,46904,54259,61345,75388,107272,136837,191994,233783,281395,350414,490960,544302,493951,526524,574203,533407,494835,479762,509213,541980,578374,582993,611839,642843,671912,714496,764002,801930,857862,944242,1135881,1156074,1187264,1286697,1474646,1759589,1873733,2186455,2063427,2365970,2697584,2720128,2586635,2802015,2666564,2324781,2340284,2489410,2521268,2546129,2598834
 "56005","Campbell, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",13212,13049,13514,11960,12529,12434,13678,15271,17767,20159,22122,25166,28313,31559,33168,33820,34864,34600,31313,30544,29790,29403,29826,30517,30544,30835,31440,31946,32098,32452,32844,33979,34699,36193,36586,36907,37888,39497,41651,42846,45650,46263,46622,47983,48217,48375,49563,49167,46740,46685,46798,47116,46401
 "56005","Campbell, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3072,3533,3471,4537,4896,6063,7843,8961,10806,11597,12720,13924,17340,17247,14892,15568,16470,15416,15803,15707,17093,18433,19392,19104,20031,20848,21371,22366,23802,24711,26119,27789,32735,31942,32451,34863,38921,44550,44987,51031,45201,51142,57861,56689,53646,57923,53802,47283,50070,53324,53876,54040,56008
 "56007","Carbon, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",54713,59737,68769,79691,89080,107804,120806,135685,161128,195606,245585,293042,299074,286592,277002,278683,270087,263649,241482,242992,269318,289722,300687,305301,313729,321970,321920,322937,347647,353548,363067,382195,399206,405969,432263,459171,510483,575045,626426,689452,605676,626884,707888,747156,772256,821899,809964,788874,818533,845178,857836,903546,949319
 "56007","Carbon, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",13113,13485,13993,14517,15473,16175,16802,17257,18122,19145,20351,22031,22526,22374,21354,20392,19494,18638,17974,17437,16984,16608,16406,16149,16282,16150,16174,16091,15914,15757,15730,15582,15217,15256,15240,15236,15077,15136,15494,15658,15977,15843,15814,15668,15774,15791,15511,15576,15101,14664,14634,14499,14649
 "56007","Carbon, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4172,4430,4915,5489,5757,6665,7190,7863,8891,10217,12067,13301,13277,12809,12972,13666,13855,14146,13435,13935,15857,17445,18328,18905,19268,19936,19904,20069,21845,22438,23081,24528,26234,26610,28364,30137,33858,37992,40430,44032,37909,39569,44763,47687,48958,52049,52219,50647,54204,57636,58619,62318,64804
 "56009","Converse, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",22400,23412,29910,35176,36020,42835,53442,66606,84493,101737,126642,164845,174817,165440,162848,170981,181078,180834,168940,165130,173539,177554,185511,196875,210733,212732,224435,235842,259962,276085,298454,315414,335737,334926,358113,391042,429058,475237,500760,588293,564972,571686,628796,660286,688778,744858,755515,679597,697802,771654,959618,936609,951343
 "56009","Converse, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",5858,6072,6533,6551,6673,6881,7662,8836,9906,11390,12478,14223,14815,15036,15022,14417,13955,13318,12248,11710,11443,11069,11081,11277,11436,11492,11713,11856,12011,11911,11993,12083,11996,12196,12232,12350,12595,12801,13071,13486,13839,13821,13729,14013,14341,14171,14257,14050,13696,13614,13787,13724,13672
 "56009","Converse, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3824,3856,4578,5370,5398,6225,6975,7538,8529,8932,10149,11590,11800,11003,10841,11860,12976,13578,13793,14102,15166,16041,16741,17458,18427,18511,19161,19892,21644,23179,24886,26104,27987,27462,29277,31663,34066,37125,38311,43622,40825,41364,45801,47120,48029,52562,52993,48370,50949,56681,69603,68246,69583
 "56011","Crook, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",15391,16093,18029,21845,24508,23010,26253,29291,34335,40551,46475,52819,63044,67367,71157,75977,82485,85655,85510,86441,90311,97403,106271,108627,120893,117373,120661,125104,136796,134313,144826,152389,167644,166825,170584,185892,213920,234837,245610,265416,256359,266933,313165,324130,332794,349097,340833,334858,331676,349411,349987,357145,379099
 "56011","Crook, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",4546,4529,4491,4580,4488,4484,4702,4882,4984,5246,5301,5345,5481,5620,5766,5813,5787,5738,5575,5476,5353,5302,5315,5405,5435,5657,5682,5813,5859,5851,5849,5902,5778,5926,5981,6052,6176,6286,6617,6823,6965,7109,7068,7049,7022,7069,7228,7242,7103,7120,7196,7178,7315
 "56011","Crook, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3386,3553,4014,4770,5461,5132,5583,6000,6889,7730,8767,9882,11502,11987,12341,13070,14253,14928,15338,15785,16871,18371,19995,20098,22243,20748,21236,21521,23348,22956,24761,25820,29014,28151,28521,30716,34637,37359,37118,38900,36807,37549,44307,45982,47393,49384,47155,46238,46695,49075,48636,49756,51825
 "56013","Fremont, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",82793,92814,102928,111639,120383,143637,161647,187632,226540,278886,329405,376283,397633,396463,404430,407886,406930,399189,388387,407047,433905,473710,509917,540732,569744,599322,642142,670877,699109,752357,808144,843894,878910,917619,943632,1004343,1078021,1207963,1305187,1409731,1390100,1460843,1588249,1713875,1748721,1773563,1739547,1641747,1698734,1796596,1840362,1930190,2023919
 "56013","Fremont, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",27893,28406,28686,30115,30092,30922,31603,32439,34078,36141,38201,39071,39308,38492,38692,37967,36996,35796,34842,34384,34190,33565,34049,34153,34568,34928,35419,35620,35697,35704,35729,35840,35718,36015,36130,36383,36838,37408,38132,38907,39685,40196,40506,40995,40886,40529,40179,40151,39753,39530,39326,39177,39336
 "56013","Fremont, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2968,3267,3588,3707,4000,4645,5115,5784,6648,7717,8623,9631,10116,10300,10453,10743,10999,11152,11147,11838,12691,14113,14976,15833,16482,17159,18130,18834,19585,21072,22619,23546,24607,25479,26118,27605,29264,32292,34228,36233,35028,36343,39210,41807,42771,43760,43295,40889,42732,45449,46798,49268,51452
 "56015","Goshen, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",32083,38669,42835,51087,62977,64827,63590,66730,72987,80511,90995,112267,119358,123878,134518,146461,152440,160628,167865,172227,184032,202047,213842,220191,216536,220132,226772,233305,254704,268434,281204,287433,300055,284352,299003,319621,349084,371596,391271,430654,420348,452251,518034,531868,533529,551725,563609,527771,537008,561753,566877,598889,634790
 "56015","Goshen, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10724,10931,11064,11110,11264,11403,11746,12206,12098,11892,11628,12118,12403,12412,12557,12709,12781,12818,12781,12620,12498,12346,12361,12394,12494,12511,12522,12572,12787,12629,12502,12561,12475,12381,12374,12473,12460,12538,12620,12772,12967,13406,13481,13477,13316,13223,13173,12870,12852,12733,12558,12503,12537
 "56015","Goshen, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2992,3538,3872,4598,5591,5685,5414,5467,6033,6770,7826,9264,9623,9981,10713,11524,11927,12531,13134,13647,14725,16365,17300,17766,17331,17595,18110,18558,19919,21255,22493,22883,24053,22967,24164,25625,28016,29638,31004,33719,32417,33735,38427,39465,40067,41725,42785,41008,41784,44118,45141,47900,50633
 "56017","Hot Springs, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",17523,17417,19234,22368,25525,26724,30047,31824,35144,41326,46751,55517,61590,66625,70968,75323,77190,75930,72186,73203,77009,79280,84337,86604,89225,91472,93083,103241,106448,107668,111594,119981,131235,127810,136212,142320,145783,158834,163273,183191,173243,185058,213518,206592,211388,234716,251985,240525,231584,247800,282157,347507,362323
 "56017","Hot Springs, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",4863,5023,5318,5071,4998,4856,4927,5160,5029,4951,5392,5732,5811,5982,6020,5949,5892,5735,5426,5256,5003,4786,4736,4822,4750,4867,4828,4897,5011,5017,4920,4851,4763,4743,4632,4629,4604,4632,4647,4698,4819,4814,4832,4880,4904,4881,4827,4789,4839,4715,4590,4622,4597
 "56017","Hot Springs, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3603,3467,3617,4411,5107,5503,6098,6167,6988,8347,8670,9685,10599,11138,11789,12661,13101,13240,13304,13928,15393,16565,17808,17960,18784,18794,19280,21082,21243,21461,22682,24733,27553,26947,29407,30745,31664,34291,35135,38993,35950,38442,44188,42334,43105,48088,52203,50224,47858,52556,61472,75185,78817
 "56019","Johnson, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",18712,20475,22904,25832,29840,32490,37789,37423,40400,50146,59384,65665,73085,78733,81466,86824,87808,90245,89663,90157,97503,105534,117832,114707,123347,127605,131013,139572,152290,158347,175096,186837,209587,217864,233904,236781,260971,290938,315191,358509,324488,326393,377243,405521,427664,460775,437243,403725,415583,456530,476951,492822,528539
 "56019","Johnson, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",5530,5611,5722,5426,5444,5361,5663,5994,6043,6272,6423,6755,6965,7128,7200,7025,6909,6730,6417,6253,6185,6172,6209,6280,6357,6533,6672,6772,6831,6872,6958,7108,7167,7371,7496,7554,7685,7796,8146,8460,8565,8588,8634,8616,8606,8534,8553,8412,8365,8399,8429,8459,8623
 "56019","Johnson, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3384,3649,4003,4761,5481,6060,6673,6243,6685,7995,9246,9721,10493,11046,11315,12359,12709,13409,13973,14418,15764,17099,18978,18265,19403,19532,19636,20610,22294,23042,25165,26285,29243,29557,31204,31345,33958,37319,38693,42377,37885,38006,43693,47066,49694,53993,51122,47994,49681,54355,56585,58260,61294
