GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",8438834,9540190,10759666,12176083,13923113,15609172,17249727,18981259,21174240,24413528,27979283,32050837,36882856,40505905,43694220,47644633,50483632,52445729,54400004,57556607,62010063,65667206,69601893,75599104,81812058,87983829,95648804,103235761,111207820,123090038,132293877,147242413,154444546,154639616,157851893,163872909,175069160,189465506,202115932,210029393,199351557,205866132,223492650,236759086,249512681,271410156,284836823,289672968,309417333,331850951,356341335,378051379,410948218
 "08000","Colorado",7,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",8190406,9254085,10461361,11846363,13487115,15078542,16790740,18651200,20914961,24211475,27768748,31767580,36583905,40328359,43341334,47227448,50097050,52056256,53932487,56989434,61401514,64968865,68977073,74935697,81014096,87423273,95128665,102586532,110556391,122303926,131386164,146487815,153396506,153950541,157130450,162951204,173986203,188687275,201055085,209176141,198631668,204893056,222205720,235551888,248229623,270048745,283259345,288422266,308517247,331028052,355336710,377258750,409760158
 "08000","Colorado",7,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",248428,286105,298305,329720,435998,530630,458987,330059,259279,202053,210535,283257,298951,177546,352886,417185,386582,389473,467517,567173,608549,698341,624820,663407,797962,560556,520139,649229,651429,786112,907713,754598,1048040,689075,721443,921705,1082957,778231,1060847,853252,719889,973076,1286930,1207198,1283058,1361411,1577478,1250702,900086,822899,1004625,792629,1188060
 "08000","Colorado",7,CAINC4,20,"...","Population (persons) 3/","Number of persons",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047005,5119188,5188703,5263512,5342996,5442196,5529161,5600169,5677250,5735934,5784308,5812069
 "08000","Colorado",7,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3896,4290,4671,5064,5579,6142,6670,7211,7854,8824,9820,11019,12386,13230,13944,15030,15733,16200,16685,17643,18930,19853,20549,21625,22639,23625,24995,26336,27675,29901,31305,34029,34897,34438,34856,35819,37797,40137,42074,42953,40093,40790,43658,45630,47404,50797,52339,52390,55251,58453,62124,65358,70706
 "08000","Colorado",7,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",6705596,7472827,8448663,9673208,11120171,12350026,13367670,14819523,16644705,19339189,22343445,25235193,28734774,31244001,33340966,36496094,38559207,39981243,41412760,44020376,46582306,49719221,53107379,58235125,63306635,67714433,72615581,78531479,85205563,95221761,104750108,117250346,122914630,123161460,124743933,129754466,137447804,146427659,153571994,156146198,147500684,151257663,160442276,169755570,183689260,198909681,205364305,207639130,223977747,239678222,254607366,260698608,284315350
 "08000","Colorado",7,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",387394,427041,498874,606017,797652,905460,967164,1104660,1260596,1506688,1838849,2106381,2598275,2908114,3129876,3538765,3834565,4020794,4121254,4530295,4887616,5333818,5856413,6358540,6986715,7557400,8074506,8625617,9300157,9709966,10549121,11703526,12313813,12725032,12954664,13826559,14683975,15587371,16420263,17112927,16490241,16667528,15796369,16572185,19222930,20676067,21819871,22565794,23930167,25511914,26947905,27640207,29440166
 "08000","Colorado",7,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",195227,213470,246644,294096,388514,443429,471553,521613,595302,705238,870349,1008675,1256414,1410146,1494050,1659891,1854568,1955555,2012234,2221551,2421020,2630014,2895071,3132118,3422470,3723448,4019368,4309512,4656255,5089199,5541259,6136889,6454529,6441259,6529440,6869398,7279403,7833364,8364694,8748179,8528245,8593590,7082474,7424842,9934670,10644172,11239442,11671430,12491032,13553726,14320696,14765503,15751021
 "08000","Colorado",7,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",192167,213571,252230,311921,409138,462031,495611,583047,665294,801450,968500,1097706,1341861,1497968,1635826,1878874,1979997,2065239,2109020,2308744,2466596,2703804,2961342,3226422,3564245,3833952,4055138,4316105,4643902,4620767,5007862,5566637,5859284,6283773,6425224,6957161,7404572,7754007,8055569,8364748,7961996,8073938,8713895,9147343,9288260,10031895,10580429,10894364,11439135,11958188,12627209,12874704,13689145
 "08000","Colorado",7,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",1145,3213,3895,4523,3144,4225,8503,8518,11088,19277,13126,19901,3118,331,-2012,6910,15879,20607,31723,46251,62756,85636,96804,112039,124042,141938,163082,181705,205144,231023,260685,288140,308776,339231,363444,398251,429251,475850,505005,522937,563221,663105,826914,1027089,1183051,1231922,1231762,1203809,1319310,1345732,1386392,1378116,1551534
 "08000","Colorado",7,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",6319347,7048999,7953684,9071714,10325663,11448791,12409009,13723381,15395197,17851778,20517722,23148713,26139617,28336218,30209078,32964239,34740521,35981056,37323229,39536332,41757446,44471039,47347770,51988624,56443962,60298971,64704157,70087567,76110550,85742818,94461672,105834960,110909593,110775659,112152713,116326158,123193080,131316138,137656736,139556208,131573664,135253240,145472821,154210474,165649381,179465536,184776196,186277145,201366890,215512040,229045853,234436517,256426718
 "08000","Colorado",7,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",1514200,1760919,1956245,2161687,2489739,2877023,3230365,3496077,3910507,4528754,5177476,6249525,7629271,8641222,9582052,10567058,11437802,11843797,12095796,12771262,14403053,14927537,15290890,15791276,16986009,18792334,20969785,22813667,24596611,26628607,26428712,29358715,30180222,29022593,30115913,31305683,34327529,39296413,44266684,46949430,41647749,41020153,47469200,51847788,52000939,57749946,62642609,64416937,68072521,72986613,81651663,82104398,85564120
 "08000","Colorado",7,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",605287,730272,849737,942682,1107711,1283358,1610353,1761801,1868536,2032996,2284085,2652599,3113968,3528465,3903090,4113336,4305309,4620876,4980979,5249013,5849564,6268630,6963233,7819204,8382087,8892524,9974862,10334527,10500659,10718613,11403493,12048738,13354731,14841364,15583267,16241068,17548551,18852955,20192512,23523755,26130144,29592739,30550629,30700824,31862361,34194674,37418018,38978886,39977922,43352298,45643819,61510464,68957380
 "08000","Colorado",7,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",5140971,5730841,6444366,7340808,8429982,9276232,10050053,11219253,12575772,14636512,17002454,19406993,22305631,24423662,25552000,27848600,29406259,30316014,31234885,32821289,34644459,37121757,39638625,42725158,45976104,49345518,53161778,57442452,62753633,69857397,76636393,86411500,89129887,88062736,89252317,93550345,98774325,105649178,112525622,116709771,112227532,113670270,118413999,124947216,129521465,138625855,146578213,151165010,160930735,170808031,182958418,187610640,205270875
 "08000","Colorado",7,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",634347,727047,864598,1037645,1193280,1338705,1539710,1728913,1999585,2322771,2729564,3131951,3695421,4170942,4579873,5052854,5483328,5813581,5989970,6449059,7113661,7778488,8569453,9808369,10658818,11264708,11600350,12178139,13065528,13878321,15078911,16956791,18188861,18552487,19458863,20417155,21811592,22231140,22923241,23720448,24400346,24620019,24603951,25828422,27369538,29271125,29953594,30766824,32277579,34762064,36358656,36770081,38796409
 "08000","Colorado",7,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",442180,513476,612368,725724,784142,876674,1044099,1145866,1334291,1521321,1761064,2034245,2353560,2672974,2944047,3173980,3503331,3748342,3880950,4140315,4647065,5074684,5608111,6581947,7094573,7430756,7545212,7862034,8421626,9257554,10071049,11390154,12329577,12268714,13033639,13459994,14407020,14477133,14867672,15355700,16438350,16546081,15890056,16681079,18081278,19239230,19373165,19872460,20838444,22803876,23731447,23895377,25107264
