GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11000","District of Columbia",2,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3763509,4174412,4647010,5043485,5316110,5768726,6274684,6648081,7137541,7604426,8002999,8447431,9094066,9694095,10192681,11126283,11781462,12399251,13078743,14309804,15152524,15818135,16536781,17369321,18066713,18484575,18621062,19387343,20290486,21547459,22693415,24897697,25778283,25876145,26157593,28437636,30028388,31846881,34363155,35328960,35618468,38324408,41394990,43010572,43697327,46780232,50337298,52684466,54464809,56707523,58203220,61925506,64644701
 "11000","District of Columbia",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3763509,4174412,4647010,5043485,5316110,5768726,6274684,6648081,7137541,7604426,8002999,8447431,9094066,9694095,10192681,11126283,11781462,12399251,13078743,14309804,15152524,15818135,16536781,17369321,18066713,18484575,18621062,19387343,20290486,21547459,22693415,24897697,25778283,25876145,26157593,28437636,30028388,31846881,34363155,35328960,35618468,38324408,41394990,43010572,43697327,46780232,50337298,52684466,54464809,56707523,58203220,61925506,64644701
 "11000","District of Columbia",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,604795,617794,631132,644755,654557,665633,673833,680945,685632,687408,690093,670050
 "11000","District of Columbia",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4939,5528,6191,6781,7246,8004,8834,9548,10469,11349,12207,13235,14279,15286,16117,17566,18567,19426,20534,22698,24276,26132,27521,29067,30349,31370,32077,33872,35739,38122,39798,43524,44871,45147,46011,50088,52947,55805,59824,60887,60143,63368,67005,68148,67774,71469,75623,78186,79984,82708,84671,89735,96477
 "11000","District of Columbia",2,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",6459350,7065640,7747241,8391386,8915775,9624925,10598084,11463053,12406799,13578836,14710945,16000344,17115087,18048701,18928509,20641546,22067629,23268595,24768443,27403771,29004926,30998100,32678200,34522168,35642728,36433869,36699548,37293752,38589625,40635376,44067009,46750045,50025721,52651937,55164930,59956281,63302277,65684929,69568203,71891319,73246239,78016079,81592589,82523692,83740894,87975695,92239794,96206262,99065582,102984229,104659378,106615469,112487339
 "11000","District of Columbia",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",254009,276097,301451,345639,416941,474974,524390,576423,612062,674022,776557,865872,1009963,1076921,1297790,1471649,1687392,1867109,2031306,2320034,2555526,2758903,2939792,3124110,3273252,3414461,3484101,3521402,3665926,3742371,4084010,4309966,4922142,5233272,5453401,5835906,6160656,6523511,6876650,7402914,7630832,8047422,7369154,7611309,8863440,9281928,9654674,9949821,10368708,10869573,11136795,11295699,11592363
 "11000","District of Columbia",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",115263,122341,128815,145104,176347,199230,213216,225844,241073,266208,310833,349015,417066,456881,561533,628351,747155,835389,917183,1058180,1178868,1274427,1354904,1421843,1502275,1584502,1634850,1662215,1735668,1783705,1957362,2067845,2343655,2490013,2608518,2794369,2960868,3158728,3343650,3596564,3683089,3887237,3035165,3147987,4295609,4509367,4686483,4855399,5108460,5366646,5515905,5594082,5783179
 "11000","District of Columbia",2,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",138746,153756,172636,200535,240594,275744,311174,350579,370989,407814,465724,516857,592897,620040,736257,843298,940237,1031720,1114123,1261854,1376658,1484476,1584888,1702267,1770977,1829959,1849251,1859187,1930258,1958666,2126648,2242121,2578487,2743259,2844883,3041537,3199788,3364783,3533000,3806350,3947743,4160185,4333989,4463322,4567831,4772561,4968191,5094422,5260248,5502927,5620890,5701617,5809184
 "11000","District of Columbia",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-3366186,-3706984,-4082245,-4440512,-4743808,-5118684,-5736935,-6285814,-6842666,-7700090,-8592305,-9709199,-10405766,-10934516,-11234417,-12164600,-12898925,-13474340,-14246415,-15744415,-16820732,-17983296,-18918000,-20092067,-20649381,-21021132,-21063101,-21056706,-21682188,-22791052,-24874111,-25485667,-27224796,-29486162,-31608559,-34103362,-36175951,-37314567,-39185554,-40872448,-41095370,-43310828,-45566653,-45343851,-44926298,-46273237,-47332589,-49333464,-50577815,-52598013,-53738039,-54811892,-58153984
