GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "12000","Florida",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",25004933,28276202,31756352,36549964,42578343,47883133,52167930,57012352,63844262,73633283,84660155,99826771,115731189,125053376,138093067,153887607,168327413,182124030,197185189,216604769,241142909,257571430,268375219,284265992,301392581,317674941,341583501,363906819,385401971,416327815,436360727,472851789,497538688,514203187,540473560,588257449,642291218,697349656,727260678,729994125,686755798,732457478,771409454,800551723,802975701,861412339,919834894,954069719,1023855349,1088794675,1165093072,1235793410,1356318587
 "12000","Florida",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",24379299,27741008,31130028,35825045,41758996,46995591,51194937,56009151,62845627,72435348,83386558,98195622,114366231,123301934,135652320,152089597,166523939,180182422,195086505,213955631,238703821,255537848,265968369,281851997,298912987,315568990,339430259,362009367,383293181,413746300,433704833,470319494,495029753,511757304,538342717,586081490,639676695,694789068,725095978,728041408,684682581,730085983,769325449,797873738,800248360,858682681,916340316,951452993,1020890331,1086574373,1162699900,1233559407,1354112837
 "12000","Florida",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",625634,535194,626324,724919,819347,887542,972993,1003201,998635,1197935,1273597,1631149,1364958,1751442,2440747,1798010,1803474,1941608,2098684,2649138,2439088,2033582,2406850,2413995,2479594,2105951,2153242,1897452,2108790,2581515,2655894,2532295,2508935,2445883,2130843,2175959,2614523,2560588,2164700,1952717,2073217,2371495,2084005,2677985,2727341,2729658,3494578,2616726,2965018,2220302,2393172,2234003,2205750
 "12000","Florida",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18842884,19039100,19271885,19507621,19795405,20145580,20537931,20871785,21133562,21354519,21569932,21781128
 "12000","Florida",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8939,10145,11354,11942,12846,13939,14829,15610,16436,17601,19081,19763,20073,20825,21641,22310,23496,24500,25378,26883,27689,29466,30418,30810,31785,33778,35999,38386,39594,39401,36818,38872,40517,41540,41162,43516,45659,46454,49055,51520,54560,57292,62270
 "12000","Florida",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",18512591,20482394,22759450,26383815,30858942,33902229,35448104,38566185,43112474,49952283,57081858,65582791,73613200,78862333,87798013,97794239,107306156,116853195,128573183,141675440,151397294,161135722,168103932,180110993,192405715,203141223,216287300,230495530,244384467,265915440,284906081,308751767,327004403,343045358,361990839,391971693,425120042,452502313,459534466,445378616,420306539,438983914,450498606,468410475,482898301,512375290,544408719,569769284,603630190,639303389,672627275,686243741,764483116
 "12000","Florida",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",1132486,1272457,1473193,1797755,2422176,2782052,2860146,3169655,3572233,4251409,5112218,5908692,7183121,7887175,8777683,10140896,11348096,12681145,13789158,15631167,16945032,17936124,18806435,20071158,21337109,22866726,24234830,25570521,27135374,29129738,30995595,33262318,35634392,37184203,39192768,42579437,46456979,50370182,51860881,51691637,49960577,50687919,46682044,48813521,56725464,59770106,62910086,65677820,69201167,73839065,78903065,81066185,87829312
 "12000","Florida",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",578873,651373,752739,906316,1219268,1410729,1444014,1560931,1759380,2082473,2515560,2941120,3602512,3993668,4399228,4991727,5763602,6487356,7086228,8096745,8933764,9386288,9897115,10556789,11275752,12142419,12966706,13625564,14450352,15506665,16546164,17688776,18938962,19847131,20883398,22636672,24840489,26870304,27964135,28062143,27264857,27615316,22563768,23345399,30705967,32638683,34717967,36511533,38876345,41897771,44946964,46510850,50253937
 "12000","Florida",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",553613,621084,720454,891439,1202908,1371323,1416132,1608724,1812853,2168936,2596658,2967572,3580609,3893507,4378455,5149169,5584494,6193789,6702930,7534422,8011268,8549836,8909320,9514369,10061357,10724307,11268124,11944957,12685022,13623073,14449431,15573542,16695430,17337072,18309370,19942765,21616490,23499878,23896746,23629494,22695720,23072603,24118276,25468122,26019497,27131423,28192119,29166287,30324822,31941294,33956101,34555335,37575375
 "12000","Florida",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-19448,-22100,-16603,-13839,-12041,-2794,-10957,8046,19241,22092,12568,6101,116837,140423,166401,207801,253458,316727,377812,453753,534129,632789,677043,743389,793409,854049,921487,994336,1094691,1221176,1353094,1516255,1618404,1676008,1772620,1917635,2079693,2297807,2596637,2786401,2643772,2726358,2931548,3016975,3051767,3210837,3343465,3374874,3460315,3522297,3593900,3553388,3715814
 "12000","Florida",5,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",17360657,19187837,21269654,24572221,28424725,31117383,32577001,35404576,39559482,45722966,51982208,59680200,66546916,71115581,79186731,87861144,96211518,104488777,115161837,126498026,134986391,143832387,149974540,160783224,171862015,181128546,192973957,205919345,218343784,238006878,255263580,277005704,292988415,307537163,324570691,351309891,380742756,404429938,410270222,396473380,372989734,391022353,406748110,422613929,429224604,455816021,484842098,507466338,537889338,568986621,597318110,608730944,680369618
