GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "18000","Indiana",3,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",19238335,20028723,21793740,23846523,27368399,29274320,31607533,35131556,38900918,43398431,47805688,51418727,56406955,58429262,61276454,68009268,71812804,75637237,80257463,85926055,93580934,98748774,101775143,110147929,116112382,123384197,129005550,136363455,143496312,154708362,160797555,171501465,175494336,178021079,182928699,191918747,198189001,209756226,217254190,227486536,221343202,231707192,246494012,258136431,261702287,272244928,282821367,290604355,300964630,315740439,329625049,354337721,384520045
 "18000","Indiana",3,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",18690392,19650341,21199836,23342465,26143657,28543723,30516518,34062990,38185410,42676303,47143223,51048437,56109598,58130077,61543796,67265059,71139921,75067674,79503848,85651626,92627655,97898565,101546043,109313238,115261869,122570328,128671138,135179847,142347552,153953193,160339163,170642001,174440862,177569795,181703902,189894680,196885380,208657825,215729794,225199828,219808532,230108847,243708988,255878369,256380462,269234721,281530860,289030603,299453668,314205942,328538068,351745984,380828799
 "18000","Indiana",3,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",547943,378382,593904,504058,1224742,730597,1091015,1068566,715508,722128,662465,370290,297357,299185,-267342,744209,672883,569563,753615,274429,953279,850209,229100,834691,850513,813869,334412,1183608,1148760,755169,458392,859464,1053474,451284,1224797,2024067,1303621,1098401,1524396,2286708,1534670,1598345,2785024,2258062,5321825,3010207,1290507,1573752,1510962,1534497,1086981,2591737,3691246
 "18000","Indiana",3,CAINC4,20,"...","Population (persons) 3/","Number of persons",5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6491352,6521259,6546242,6581101,6609839,6628556,6658366,6685900,6725753,6761742,6785644,6805985
 "18000","Indiana",3,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3741,3849,4151,4503,5136,5472,5907,6540,7197,7968,8732,9365,10292,10686,11243,12460,13154,13868,14664,15646,16942,17768,18121,19411,20232,21297,22047,23089,24096,25790,26600,28153,28639,28918,29521,30791,31566,33123,34055,35408,34267,35695,37799,39433,39766,41188,42667,43645,45015,46945,48749,52219,56497
 "18000","Indiana",3,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",16559407,16821198,18071479,19887663,22973266,24066463,25121072,28361742,31579299,35456979,38848588,39671153,42504222,42554753,44424894,49969736,52905012,55944608,60440353,65055342,70158341,73869666,76362612,82765547,87443823,93273107,96808306,101962444,107590125,116395080,122871003,130046205,131851519,134380026,138199357,145357255,149213187,156080151,159733412,163033538,155661176,163554317,173621800,181487667,187402906,192526442,198784362,204847140,212248788,222926703,231021065,237917301,256403842
 "18000","Indiana",3,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",1096673,1114825,1227316,1440491,1863475,2088993,2120039,2437921,2753994,3190079,3630443,3713820,4296362,4390144,4660404,5257594,5686013,6055515,6434344,7215371,7737032,8408008,8884162,9455074,10062353,10900339,11415785,11792090,12409007,13176087,13815370,14396496,14582080,14954327,15462977,16260094,16990277,17853615,18367739,18787163,18023903,18440790,17084034,17786533,20661528,21414524,22311262,22790113,23706089,24813881,25921823,27031323,28499537
 "18000","Indiana",3,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",563340,574536,631941,726288,932591,1051185,1069871,1198099,1335545,1532798,1764267,1838924,2147659,2205253,2312732,2560195,2851117,3049799,3269462,3680460,4002979,4337011,4609180,4904166,5231674,5675911,5966823,6164203,6493348,6858789,7205875,7500604,7634928,7863087,8077738,8487169,8846523,9388324,9711059,9987862,9626021,9847485,8044372,8343774,10957489,11384124,11887824,12221941,12805662,13537650,14172790,14857935,15711827
 "18000","Indiana",3,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",533333,540289,595375,714203,930884,1037808,1050168,1239822,1418449,1657281,1866176,1874896,2148703,2184891,2347672,2697399,2834896,3005716,3164882,3534911,3734053,4070997,4274982,4550908,4830679,5224428,5448962,5627887,5915659,6317298,6609495,6895892,6947152,7091240,7385239,7772925,8143754,8465291,8656680,8799301,8397882,8593305,9039662,9442759,9704039,10030400,10423438,10568172,10900427,11276231,11749033,12173388,12787710
 "18000","Indiana",3,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",43210,78115,139355,177880,219799,280421,327827,385376,443403,497757,569551,681952,748321,810547,838602,983946,1057879,1135192,1185215,1283267,1348681,1487400,1494918,1646406,1865948,1996630,2278138,2417597,2546754,2574168,2826151,3114474,3359929,3431386,3515224,3801090,4105028,4322089,4695529,4685977,4600637,4464649,4722386,4728953,5230674,5178181,5760391,5887416,6284515,6539425,7225008,7549207,7782639
