GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "22000","Louisiana",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",10765877,11663035,12715230,13912080,15528477,17651808,19875142,22415528,25031404,28630805,32478004,37368848,43084374,46379689,48422536,51504460,53629661,53695136,53932056,56881207,60326085,64880918,68408285,73263960,76872654,81905818,85953266,89776927,94400601,99070805,101467683,107310631,114917421,118229417,122169803,127758432,137935112,145645475,159411284,170869293,165876246,173800833,179073440,188760806,191497268,200293914,201363461,200190623,206121508,215086431,222349117,236324233,250700741
 "22000","Louisiana",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",10526948,11382187,12398017,13566480,14953695,17042685,19461706,21966937,24584239,28264854,31983338,37201715,42825768,46122316,48195969,51187540,53404819,53465703,53542450,56259372,59865842,64486613,67949680,72697781,76294816,81238027,85291966,88903815,93767640,98616256,100844480,106700395,114270660,117814710,121390007,126982034,137274405,144931432,158672021,170340489,165144703,173007523,178231336,187590296,190004240,199425628,200754938,199583332,205352303,214443823,221650990,235409505,249847986
 "22000","Louisiana",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",238929,280848,317213,345600,574782,609123,413436,448591,447165,365951,494666,167133,258606,257373,226567,316920,224842,229433,389606,621835,460243,394305,458605,566179,577838,667791,661300,873112,632961,454549,623203,610236,646761,414707,779796,776398,660707,714043,739263,528804,731543,793310,842104,1170510,1493028,868286,608523,607291,769205,642608,698127,914728,852755
 "22000","Louisiana",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544800,4577075,4603574,4628228,4648811,4670563,4685605,4678606,4670052,4664558,4651203,4624047
 "22000","Louisiana",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2975,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8849,10059,10656,11017,11704,12166,12184,12415,13263,14185,15369,16084,17066,17809,18840,19630,20409,21352,22312,22746,23997,25663,26289,27022,28065,30139,33850,36432,38522,36930,38242,39124,41003,41376,43085,43113,42725,44056,46057,47668,50809,54217
 "22000","Louisiana",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",8944387,9481933,10289849,11307680,12683588,14268033,15851607,18156692,20415897,23564665,26814726,30286083,34649671,36188144,36614450,38792241,39642216,38870623,39174330,41678179,43616233,47215795,49664354,52820698,54938897,58215839,61065513,64101011,67854770,71525160,73947489,78158188,83629559,86662931,90118663,93004439,97077550,104023844,109747486,117828571,115724525,121588510,123470995,128705433,133494411,141316532,138941691,135253827,139038220,145525940,148980791,147485896,154214496
 "22000","Louisiana",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",568661,591555,657611,756693,960060,1117582,1242685,1453806,1626699,1932527,2276998,2593577,3176956,3376480,3378249,3663380,3775180,3646400,3608668,4013986,4273434,4759649,5134617,5381050,5633953,6083492,6383912,6695520,7087815,7529900,7650556,7906080,8344845,8644175,8884961,9166859,9386593,10064220,10738629,11404668,11365562,11720989,10832089,11163519,13013630,13558792,13806446,13760443,14117781,14847275,15109092,15242488,15784839
 "22000","Louisiana",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",285144,297856,329122,372115,472115,553225,613726,701249,773626,908907,1079931,1248724,1545835,1643667,1627926,1727571,1844520,1809012,1810145,2026875,2204092,2447019,2654824,2777384,2932524,3180244,3349335,3483481,3697330,3922603,4001730,4126046,4377263,4550432,4681364,4847541,5029001,5450730,5813782,6191444,6191408,6406229,5247428,5405711,7067514,7406152,7512598,7595098,7822790,8319548,8461581,8604174,8970596
 "22000","Louisiana",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",283517,293699,328489,384578,487945,564357,628959,752557,853073,1023620,1197067,1344853,1631121,1732813,1750323,1935809,1930660,1837388,1798523,1987111,2069342,2312630,2479793,2603666,2701429,2903248,3034577,3212039,3390485,3607297,3648826,3780034,3967582,4093743,4203597,4319318,4357592,4613490,4924847,5213224,5174154,5314760,5584661,5757808,5946116,6152640,6293848,6165345,6294991,6527727,6647511,6638314,6814243
 "22000","Louisiana",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",7891,6237,-7326,-20318,-36801,-54198,-82669,-111806,-137933,-184010,-233828,-336457,-351490,-331164,-311829,-301808,-273227,-218753,-185235,-166191,-132680,-110807,-126492,-124464,-128651,-148157,-176421,-203885,-218457,-236281,-216713,-229986,-272042,-298715,-348643,-382581,-361124,-424187,-451983,-496665,-483958,-513834,-414136,-348201,-410620,-561419,-579397,-734257,-952462,-896657,-719751,-564428,-772055
