GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",6636881,7268635,7840175,8874824,10019419,11328476,12763654,14533896,16687152,19434975,22419698,25861219,29498713,31303477,33748741,37900312,41259710,44494951,48259164,52814807,56878330,60264357,62297569,65961473,67381872,69577422,73434653,78878757,85557767,92911626,99462884,109056375,113236454,115705093,122345010,129684436,138519914,148803124,149852267,147242643,139260724,149629013,155868197,168975217,168569870,176537358,190154400,197231809,204911755,212806994,224716133,241153117,256700438
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",6613480,7243166,7812819,8842192,9980467,11275858,12715749,14482493,16631115,19381153,22346033,25753645,29422066,31215525,33643500,37787437,41138305,44365741,48129414,52685947,56760488,60141553,62160266,65852848,67284355,69476010,73315015,78745663,85379217,92727266,99251079,108828885,113066545,115534446,122174944,129523546,138353896,148616940,149702558,147080284,139109943,149518489,155771743,168874039,168494451,176465084,190077210,197162169,204829186,212745715,224646539,241082768,256637820
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",23401,25469,27356,32632,38952,52618,47905,51403,56037,53822,73665,107574,76647,87952,105241,112875,121405,129210,129750,128860,117842,122804,137303,108625,97517,101412,119638,133094,178550,184360,211805,227490,169909,170647,170066,160890,166018,186184,149709,162359,150781,110524,96454,101178,75419,72274,77190,69640,82569,61279,69594,70349,62618
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,20,"...","Population (persons) 3/","Number of persons",1376796,1432621,1484217,1536789,1607146,1669064,1725693,1772685,1812147,1853136,1891962,1948067,2004806,2045925,2088886,2123362,2171930,2228895,2281486,2333101,2383920,2418986,2452691,2497014,2532639,2566599,2603678,2643996,2709277,2773187,2815933,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3016751,3052105,3082183,3110324,3133194,3157254,3174233,3185766,3188828,3185685,3184101,3167809
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4821,5074,5282,5775,6234,6787,7396,8199,9208,10488,11850,13275,14714,15300,16156,17849,18997,19963,21153,22637,23859,24913,25400,26416,26605,27109,28204,29833,31580,33504,35321,38205,39244,39785,41765,44085,47115,50747,51116,49785,46620,49599,51069,54823,54197,56344,60228,62135,64321,66735,70539,75737,81034
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",4234674,4595088,4880239,5632049,6462466,7217571,8024937,9398150,11184037,13263770,15421483,17563890,19989731,21092136,22938839,26353068,29212066,32168054,35893847,40323256,42625731,45832226,47007231,50002737,50503756,51938781,54287396,57666950,62708095,69574226,75910730,83129308,87457239,90626325,97773928,105912035,112613062,119780323,118903664,113856360,107654710,114508461,116707291,127230166,129257426,132191605,140290550,146036125,152671842,157749623,164848249,167691339,181016988
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",284032,303092,331081,405836,536805,618108,671023,799388,972401,1187156,1446657,1622466,2008975,2166839,2391132,2850178,3192116,3545926,3943385,4541622,4863235,5183870,5315230,5556401,5611429,5823080,5998632,6200924,6677114,7310976,7938712,8631805,9262720,9678977,10525056,11685012,12380960,12723211,12606986,12537806,11864995,12054447,11175387,11663418,13512242,14097385,14944243,15484389,16143924,16939449,17772341,17848696,19048413
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",145771,155909,169021,202494,265669,308298,336502,388905,468691,560820,689419,764402,965138,1051089,1147714,1343068,1539046,1737767,1969968,2282192,2439915,2608430,2719769,2861852,2900648,3014912,3134055,3245229,3466020,3791547,4121547,4466854,4777345,4979609,5317511,5806900,6203005,6515021,6523095,6572203,6357398,6512640,5338692,5600635,7280336,7531349,7974979,8219700,8607004,9071162,9579702,9627614,10374049
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",138261,147183,162060,203342,271136,309810,334521,410483,503710,626336,757238,858064,1043837,1115750,1243418,1507110,1653070,1808159,1973417,2259430,2423320,2575440,2595461,2694549,2710781,2808168,2864577,2955695,3211094,3519429,3817165,4164951,4485375,4699368,5207545,5878112,6177955,6208190,6083891,5965603,5507597,5541807,5836695,6062783,6231906,6566036,6969264,7264689,7536920,7868287,8192639,8221082,8674364
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",1273082,1312721,1399588,1557900,1712097,1905353,2061959,2275322,2491548,2829297,3280040,3657860,3765719,3740054,3783500,3849054,3890530,3911667,3960908,3720488,3640671,3299948,3653057,3720683,4246084,4424520,4682058,5443965,6398055,5669594,5420666,6287269,6041213,5368142,4086197,3113808,1744091,680891,-213476,-1396652,-709581,359630,149204,938615,1054862,520485,1252268,-228651,-946838,-557344,-802422,-614189,147402
