GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "24000","Maryland",2,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",17235920,19167231,21125827,23176397,25560539,27902797,30204127,32906940,35675755,39617165,43545511,48503268,54043012,58610648,62787390,69664857,75502898,81544532,88007606,96739717,104600690,110894044,114898652,120637356,125486122,131410405,137245369,143742306,151791457,163853853,173588820,189023506,199273079,206925251,216521541,230980240,243351451,256471520,267560847,279622862,277627489,287652437,303517765,312175752,311524042,322438196,337702762,350384383,361606216,371870268,384074286,405454629,430429331
 "24000","Maryland",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",17104592,19046829,21033313,23049880,25353385,27740575,30002125,32734828,35549195,39436220,43388469,48448318,53916800,58469919,62700852,69403001,75229309,81260985,87712547,96379964,104240653,110544325,114596396,120302311,125174389,131110816,137039830,143355746,151520141,163537768,173246356,188616065,198865697,206711181,216221566,230547130,242976977,256165970,267269234,279213106,277205873,287281706,303049347,311563673,310753582,321829805,337240031,350024459,361031789,371523554,383543770,405200329,429836877
 "24000","Maryland",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",131328,120402,92514,126517,207154,162222,202002,172112,126560,180945,157042,54950,126212,140729,86538,261856,273589,283547,295059,359753,360037,349719,302256,335045,311733,299589,205539,386560,271316,316085,342464,407441,407382,214070,299975,433110,374474,305550,291613,409756,421616,370731,468418,612079,770460,608391,462731,359924,574427,346714,530516,254300,592454
 "24000","Maryland",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5791559,5854282,5913919,5962350,6008975,6049289,6079669,6112835,6138786,6163628,6172679,6165129
 "24000","Maryland",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4456,4867,5252,5679,6221,6751,7265,7887,8505,9407,10311,11473,12680,13685,14557,15959,17109,18174,19276,20769,22127,23104,23605,24503,25239,26161,27070,28119,29432,31483,33036,35591,37076,38035,39394,41641,43515,45576,47327,49186,48448,49668,51845,52787,52249,53659,55825,57632,59155,60577,62313,65685,69817
 "24000","Maryland",2,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",12256135,13338062,14508419,15963649,17769989,19295472,20460919,22443210,24332176,27131974,29881353,32533936,35799521,37664197,40912869,45641179,50074574,54423947,59550228,65836588,70316471,74511566,76207037,79642529,82842058,86795667,90353516,94282851,100575837,109283695,117257593,127177092,135214123,142349410,149255745,159794404,168325776,176506127,181506892,188435546,189003032,196501714,205952316,212269267,214207511,220091268,231235655,241592290,248638536,253811907,257709078,259114035,276098594
 "24000","Maryland",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",750535,814696,916580,1059767,1354029,1532677,1623792,1807915,1973742,2261688,2611371,2866169,3381335,3616520,4070525,4672487,5284228,5837332,6330824,7214122,7757580,8394635,8670866,9015745,9364300,9915721,10287233,10645148,11306542,11980412,12720933,13591068,14645922,15366456,16068117,17263176,18188886,19379291,20236448,21008973,20984809,21767921,20183227,20764377,23557147,24139196,25377874,25960404,26786711,28082675,29029705,29242442,31130262
 "24000","Maryland",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",365374,395010,441728,502634,646933,733662,775461,841513,913641,1039950,1214707,1349287,1610957,1738617,1940962,2187414,2553038,2836632,3079707,3547383,3862059,4176138,4336656,4490861,4680190,4978261,5207726,5416547,5756170,6118535,6538989,6966470,7518088,7923956,8270351,8721110,9273839,9911276,10441397,10866155,10880911,11071321,8968773,9172757,12108134,12553186,13169291,13563637,14164486,15004745,15545948,15635622,16464924
 "24000","Maryland",2,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",385161,419686,474852,557133,707096,799015,848331,966402,1060101,1221738,1396664,1516882,1770378,1877903,2129563,2485073,2731190,3000700,3251117,3666739,3895521,4218497,4334210,4524884,4684110,4937460,5079507,5228601,5550372,5861877,6181944,6624598,7127834,7442500,7797766,8542066,8915047,9468015,9795051,10142818,10103898,10696600,11214454,11591620,11449013,11586010,12208583,12396767,12622225,13077930,13483757,13606820,14665338
 "24000","Maryland",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",2321171,2716806,3027980,3285098,3484544,3687210,4065356,4359422,4700925,5073972,5400545,5863102,6252540,6771366,7143349,7819796,8422608,9033072,9663423,10708578,11514472,12114807,12659771,13418656,13638707,14035487,14002757,14375749,14307575,15668302,16746842,18990066,19867511,20232671,21098146,22545803,23607394,22949090,23614611,23076564,23232247,23631375,23278352,22940995,22902979,22088117,22416912,22488821,23039072,24571699,26560363,28013381,30065989
 "24000","Maryland",2,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",13826771,15240172,16619819,18188980,19900504,21450005,22902483,24994717,27059359,29944258,32670527,35530869,38670726,40819043,43985693,48788488,53212954,57619687,62882827,69331044,74073363,78231738,80195942,84045440,87116465,90915433,94069040,98013452,103576870,112971585,121283502,132576090,140435712,147215625,154285774,165077031,173744284,180075926,184885055,190503137,191250470,198365168,209047441,214445885,213553343,218040189,228274693,238120707,244890897,250300931,255239736,257884974,275034321
