GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "23000","Maine",1,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3235956,3557067,3822683,4187722,4706690,5229257,5652308,6446973,7007608,7740514,8589911,9653484,10651560,11580973,12472953,13786735,14893299,16123204,17490913,19277248,21011342,21870390,22249656,23324829,24094940,25085736,26179272,27653140,29169522,31232562,32656992,35107378,37058391,38323541,40247620,42315564,43421280,45599656,47357327,49445354,49402953,50603646,52789038,53782491,53742001,55863585,58331304,59959246,62372138,65015131,68862973,74805899,80254426
 "23000","Maine",1,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3162621,3480533,3757375,4123858,4560256,5035751,5573340,6287281,6882524,7654330,8518527,9608509,10537959,11479433,12402756,13671357,14792927,16032175,17358515,19162936,20889165,21701479,22126858,23151398,23943512,24942738,26061674,27507317,29069901,31059933,32466804,34904614,36870400,38172582,40090687,42143687,43254749,45435295,47181237,49262446,49226888,50348196,52575073,53524249,53476589,55639269,58097939,59790483,62177707,64855473,68641828,74609022,80108837
 "23000","Maine",1,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",73335,76534,65308,63864,146434,193506,78968,159692,125084,86184,71384,44975,113601,101540,70197,115378,100372,91029,132398,114312,122177,168911,122798,173431,151428,142998,117598,145823,99621,172629,190188,202764,187991,150959,156933,171877,166531,164361,176090,182908,176065,255450,213965,258242,265412,224316,233365,168763,194431,159658,221145,196877,145589
 "23000","Maine",1,CAINC4,20,"...","Population (persons) 3/","Number of persons",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327961,1330029,1330899,1332596,1336530,1335653,1340177,1344851,1350525,1357487,1362280,1372247
 "23000","Maine",1,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7636,8567,9401,10188,10896,11930,12807,13779,14766,16013,17223,17756,17986,18833,19395,20187,21053,22139,23247,24805,25779,27491,28824,29572,30805,32211,32925,34451,35686,37163,37157,38106,39690,40411,40329,41797,43672,44740,46378,48141,50728,54912,58484
 "23000","Maine",1,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",2607894,2810078,2969143,3255441,3661270,3990858,4157357,4868702,5273194,5862016,6487721,7121544,7700701,8148360,8809468,9786303,10628148,11570257,12730956,14153301,15258172,15803548,15724966,16424299,16941590,17598285,18046764,18855746,19898487,21468191,23055161,24661701,26114648,27166862,28261775,29737450,30299775,31853073,32515725,32991493,32676891,33749518,34171513,34910789,35368345,36478643,37949306,38959931,40514009,42262117,44144152,45954494,49770658
 "23000","Maine",1,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",180898,193312,210923,241501,301519,337683,357085,422343,461329,531086,606699,668035,770546,831194,909957,1042971,1131501,1238971,1356049,1542866,1649797,1788092,1803220,1905000,2015561,2130058,2207592,2272931,2398631,2543703,2683491,2815262,2949232,2973645,3059199,3217638,3322418,3540312,3696967,3802484,3723454,3830486,3509709,3610295,4183231,4270785,4494908,4618501,4787885,5055511,5268443,5507579,5914374
 "23000","Maine",1,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",81303,86803,94247,105432,132408,149508,157630,179411,195958,224332,257560,288514,337141,369500,399177,445641,506284,566213,628045,724996,799882,871738,893709,944556,996885,1055330,1106010,1141504,1205515,1278554,1357252,1419889,1518398,1576090,1634557,1736120,1806378,1936299,2031198,2090394,2053767,2083868,1714860,1759463,2283128,2352861,2476050,2586775,2695856,2884369,2994463,3147252,3374203
 "23000","Maine",1,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",99595,106509,116676,136069,169111,188175,199455,242932,265371,306754,349139,379521,433405,461694,510780,597330,625217,672758,728004,817870,849915,916354,909511,960444,1018676,1074728,1101582,1131427,1193116,1265149,1326239,1395373,1430834,1397555,1424642,1481518,1516040,1604013,1665769,1712090,1669687,1746618,1794849,1850832,1900103,1917924,2018858,2031726,2092029,2171142,2273980,2360327,2540171
 "23000","Maine",1,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-24881,-20317,-19397,-22100,-12608,-7825,-21220,-24426,-26025,-24597,-17952,-14455,-48232,-46072,-33070,-26230,-4829,35131,59093,72722,72128,70826,88181,132019,191266,250854,317818,371221,444789,518681,584388,701159,712421,676701,656573,682295,689232,722479,722914,705716,687764,729439,796248,831859,870341,928085,985450,1002684,1019733,1069366,1125768,1136099,1336763
 "23000","Maine",1,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",2402115,2596449,2738823,2991840,3347143,3645350,3779052,4421933,4785840,5306333,5863070,6439054,6881923,7271094,7866441,8717102,9491818,10366417,11434000,12683157,13680503,14086282,14009927,14651318,15117295,15719081,16156990,16954036,17944645,19443169,20956058,22547598,23877837,24869918,25859149,27202107,27666589,29035240,29541672,29894725,29641201,30648471,31458052,32132353,32055455,33135943,34439848,35344114,36745857,38275972,40001477,41583014,45193047
 "23000","Maine",1,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",522050,589996,645410,705585,776016,880785,974157,1047753,1180846,1317646,1464888,1739225,2088650,2467212,2614431,2968467,3178946,3450352,3697261,4087597,4630482,4770216,4769371,4841065,4936127,5137406,5561175,5926775,6231519,6648547,6409546,6937820,7124718,6992599,7359210,7624281,7611419,8225253,8867087,9226591,8552381,8623746,9513804,9897153,9690429,10388057,11048441,11463891,12021862,12348819,13718434,13744157,14055207
 "23000","Maine",1,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",311791,370622,438450,490297,583531,703122,899099,977287,1040922,1116535,1261953,1475205,1680987,1842667,1992081,2101166,2222535,2306435,2359652,2506494,2700357,3013892,3470358,3832446,4041518,4229249,4461107,4772329,4993358,5140846,5291388,5621960,6055836,6461024,7029261,7489176,8143272,8339163,8948568,10324038,11209371,11331429,11817182,11752985,11996117,12339585,12843015,13151241,13604419,14390340,15143062,19478728,21006172
 "23000","Maine",1,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",2013901,2167074,2261667,2470204,2713032,2930488,3109460,3554338,3858409,4296801,4747655,5248237,5672333,6064021,6463254,7079065,7570722,8276590,9183872,10182869,10946220,11362202,11279318,11683666,12012169,12495277,12990016,13512341,14363888,15306205,16338775,17349676,18234742,18896219,19675924,20688756,21004152,22062060,23021808,23764395,23056102,23332590,23792439,24325064,24896002,25782072,26814957,27662427,28730654,29934470,31387183,32428563,35517483
 "23000","Maine",1,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",259231,288473,323461,373949,421835,464402,548262,640736,726545,829413,947104,1061877,1204468,1326856,1480879,1651218,1782695,1929957,2089060,2323847,2565521,2724528,2779376,3028861,3169137,3220231,3232679,3279891,3363868,3530457,3793226,4119388,4368499,4593609,4797243,5118534,5310218,5708297,5850120,5922872,5864238,5936279,5881732,6034074,6213941,6392459,6653150,6804005,7000314,7415406,7631558,7887002,8414380
 "23000","Maine",1,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",159636,181964,206785,237880,252724,276227,348807,397804,461174,522659,597965,682356,771063,865162,970099,1053888,1157478,1257199,1361056,1505977,1715606,1808174,1869865,2068417,2150461,2145503,2131097,2148464,2170752,2265308,2466987,2724015,2937665,3196054,3372601,3637016,3794178,4104284,4184351,4210782,4194551,4189661,4086883,4183242,4313838,4474535,4634292,4772279,4908285,5244264,5357578,5526675,5874209
 "23000","Maine",1,CAINC4,62,"..."," Employer contributions for government social insurance ","Thousands of dollars",99595,106509,116676,136069,169111,188175,199455,242932,265371,306754,349139,379521,433405,461694,510780,597330,625217,672758,728004,817870,849915,916354,909511,960444,1018676,1074728,1101582,1131427,1193116,1265149,1326239,1395373,1430834,1397555,1424642,1481518,1516040,1604013,1665769,1712090,1669687,1746618,1794849,1850832,1900103,1917924,2018858,2031726,2092029,2171142,2273980,2360327,2540171
 "23000","Maine",1,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",334762,354531,384015,411288,526403,595968,499635,673628,688240,735802,792962,811430,823900,757483,865335,1056020,1274731,1363710,1458024,1646585,1746431,1716818,1666272,1711772,1760284,1882777,1824069,2063514,2170731,2631529,2923160,3192637,3511407,3677034,3788608,3930160,3985405,4082716,3643797,3304226,3756551,4480649,4497342,4551651,4258402,4304112,4481199,4493499,4783041,4912241,5125411,5638929,5838795
 "23000","Maine",1,CAINC4,71,"..."," Farm proprietors' income ","Thousands of dollars",48456,49818,43216,43862,122509,165685,49299,128836,88328,44316,26812,-206,71380,50766,21799,66080,51022,45550,87697,64188,68388,105625,60550,113711,85493,79340,46258,72737,24427,97846,120595,122177,104672,47811,64657,82407,94628,84492,82702,95354,91895,175652,143947,135559,140314,91341,125063,45354,89751,60786,140670,113211,65071
 "23000","Maine",1,CAINC4,72,"..."," Nonfarm proprietors' income ","Thousands of dollars",286306,304713,340799,367426,403894,430283,450336,544792,599912,691486,766150,811636,752520,706717,843536,989940,1223709,1318160,1370327,1582397,1678043,1611193,1605722,1598061,1674791,1803437,1777811,1990777,2146304,2533683,2802565,3070460,3406735,3629223,3723951,3847753,3890777,3998224,3561095,3208872,3664656,4304997,4353395,4416092,4118088,4212771,4356136,4448145,4693290,4851455,4984741,5525718,5773724
 "23000","Maine",1,CAINC4,7010,"...","Total employment ","Number of jobs",443449,445896,443290,452555,470180,477672,475256,497868,512788,531154,544802,552745,551487,553311,565243,587454,606390,630438,652556,686290,701652,701002,677564,680841,691753,702752,704574,714237,727238,748614,762975,784039,787577,790609,794507,807625,809353,817622,828212,823517,800501,791331,794389,796903,803641,810868,816552,826727,834228,843772,842473,813207,842366
 "23000","Maine",1,CAINC4,7020,"..."," Wage and salary employment ","Number of jobs",380883,382423,378231,384385,398919,402729,397563,418564,430548,445767,457076,460760,460014,457778,465962,483440,494977,513247,537871,564109,577629,570493,545743,543793,549549,557039,561204,567142,577105,591011,606692,624123,627326,626306,627164,632278,627819,632651,635466,635038,612929,607945,608840,611800,615236,619261,624810,632513,637937,644334,651518,612542,637018
 "23000","Maine",1,CAINC4,7040,"..."," Proprietors employment ","Number of jobs",62566,63473,65059,68170,71261,74943,77693,79304,82240,85387,87726,91985,91473,95533,99281,104014,111413,117191,114685,122181,124023,130509,131821,137048,142204,145713,143370,147095,150133,157603,156283,159916,160251,164303,167343,175347,181534,184971,192746,188479,187572,183386,185549,185103,188405,191607,191742,194214,196291,199438,190955,200665,205348
 "23001","Androscoggin, ME",1,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",310572,339559,350474,373641,423220,459977,506117,579076,622266,683401,750882,843510,920680,994172,1075398,1180324,1242315,1336704,1455273,1595764,1733855,1785505,1788322,1861172,1925212,2015499,2070025,2165578,2270628,2374116,2486006,2639071,2733591,2882918,3036708,3119113,3192262,3328239,3487452,3641916,3630901,3674598,3764486,3835281,3793094,3892638,4063997,4109375,4245029,4395956,4656425,5123802,5525754
 "23001","Androscoggin, ME",1,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",304071,332763,343516,364312,405354,446290,492567,556399,604819,669321,738934,833249,908099,979521,1062471,1160760,1225246,1322492,1441648,1583849,1723712,1769070,1772128,1845073,1903701,1988898,2060167,2144811,2257168,2361182,2462712,2616091,2709876,2860290,3006353,3096431,3183697,3317905,3470314,3613014,3610001,3654022,3741900,3798224,3747588,3861227,4006966,4084920,4218210,4374566,4631588,5098776,5506405
 "23001","Androscoggin, ME",1,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",6501,6796,6958,9329,17866,13687,13550,22677,17447,14080,11948,10261,12581,14651,12927,19564,17069,14212,13625,11915,10143,16435,16194,16099,21511,26601,9858,20767,13460,12934,23294,22980,23715,22628,30355,22682,8565,10334,17138,28902,20900,20576,22586,37057,45506,31411,57031,24455,26819,21390,24837,25026,19349
 "23001","Androscoggin, ME",1,CAINC4,20,"...","Population (persons) 3/","Number of persons",90890,91463,92881,93756,95076,95870,95535,97130,98181,98837,99656,99531,99522,98860,99262,100018,100114,100204,101378,103559,105276,105412,104973,104335,104464,104112,103769,102966,102518,103120,103403,103852,104260,105063,106140,106867,107352,107932,107739,108284,107830,107773,107767,108075,108072,108463,108485,108936,109303,110040,110670,111039,111034
 "23001","Androscoggin, ME",1,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3417,3713,3773,3985,4451,4798,5298,5962,6338,6914,7535,8475,9251,10056,10834,11801,12409,13340,14355,15409,16470,16938,17036,17838,18429,19359,19948,21032,22149,23023,24042,25412,26219,27440,28610,29187,29736,30836,32369,33633,33672,34096,34932,35487,35098,35889,37461,37723,38837,39949,42075,46144,49766
 "23001","Androscoggin, ME",1,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",234742,252297,247959,265339,306168,322798,343133,404489,434734,480462,522727,564605,597205,615298,668609,749810,790804,851775,953185,1040864,1108440,1130616,1131973,1172148,1239259,1314710,1337639,1400033,1462686,1570691,1726422,1852051,1899286,2036091,2118164,2185962,2211076,2354658,2444623,2501612,2440729,2493082,2519309,2600506,2630185,2733315,2850543,2885940,2974130,3095583,3259691,3407456,3632220
 "23001","Androscoggin, ME",1,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",18127,19291,19477,21738,27820,30844,32268,38489,42096,48555,54493,59010,66270,68408,74858,85417,90215,97136,107058,119791,126141,134139,136424,142774,154004,164818,171013,174536,182904,194455,208786,220048,226267,235756,242031,248568,255619,274258,288397,296394,289614,298760,272561,280756,323972,333563,348502,354001,363694,381970,401224,420826,446954
 "23001","Androscoggin, ME",1,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",7941,8486,8587,9321,11958,13404,14013,15987,17389,19779,22413,24704,28320,29987,32254,36037,39613,43632,49356,55835,61042,65236,67271,70268,75079,80465,84753,86854,90981,96216,104045,108974,112877,121244,126033,131375,136239,146864,155128,159914,156724,158330,128649,132224,171711,178540,186083,193009,199795,212157,221855,233405,247020
 "23001","Androscoggin, ME",1,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",10186,10805,10890,12417,15862,17440,18255,22502,24707,28776,32080,34306,37950,38421,42604,49380,50602,53504,57702,63956,65099,68903,69153,72506,78925,84353,86260,87682,91923,98239,104741,111074,113390,114512,115998,117193,119380,127394,133269,136480,132890,140430,143912,148532,152261,155023,162419,160992,163899,169813,179369,187421,199934
 "23001","Androscoggin, ME",1,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",20178,21803,25854,27410,29065,32348,35036,43097,46293,54180,63221,77759,85622,100216,107146,111488,112663,127450,138865,163975,184319,195162,167018,180542,172019,168189,162335,153081,174217,161145,145825,130307,138779,113608,123088,145535,137193,123283,103570,78538,61988,28178,6080,-3136,-6123,-46309,-34423,-63291,-58781,-55328,-80745,-102359,-51370
 "23001","Androscoggin, ME",1,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",236793,254809,254336,271011,307413,324302,345901,409097,438931,486087,531455,583354,616557,647106,700897,775881,813252,882089,984992,1085048,1166618,1191639,1162567,1209916,1257274,1318081,1328961,1378578,1453999,1537381,1663461,1762310,1811798,1913943,1999221,2082929,2092650,2203683,2259796,2283756,2213103,2222500,2252828,2316614,2300090,2353443,2467618,2468648,2551655,2658285,2777722,2884271,3133896
 "23001","Androscoggin, ME",1,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",42053,46393,49865,53438,58582,67275,74436,78590,87384,95442,103342,123770,147758,176253,189208,210700,224272,242490,254351,280150,321098,315952,306877,298742,298868,310208,336455,354899,367510,376987,356723,386627,394236,405692,419367,384466,382130,402408,458466,470255,444281,483346,497988,518630,483701,514230,533228,557865,581824,571847,659278,658684,666942
 "23001","Androscoggin, ME",1,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",31726,38357,46273,49192,57225,68400,85780,91389,95951,101872,116085,136386,156365,170813,185293,193743,204791,212125,215930,230566,246139,277914,318878,352514,369070,387210,404609,432101,449119,459748,465822,490134,527557,563283,618120,651718,717482,722148,769190,887905,973517,968752,1013670,1000037,1009303,1024965,1063151,1082862,1111550,1165824,1219425,1580847,1724916
 "23001","Androscoggin, ME",1,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",188856,203406,195702,205590,231171,248075,261170,301466,327919,365126,397628,431094,450824,464915,499206,543692,574597,620312,691043,760542,807713,824742,824653,849555,893860,945655,986295,1021586,1080207,1163472,1262716,1346386,1394346,1494082,1550633,1596882,1619416,1713950,1797327,1855155,1791783,1820110,1857888,1909864,1941911,2041031,2106300,2157561,2215633,2302093,2426687,2517540,2718613
