GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "28000","Mississippi",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",5540675,6077002,6737073,7677404,8779039,9648091,10462842,11877611,13222207,14721611,16636575,18097527,20331600,21465369,22451566,24527664,25818840,26781306,28323856,30302627,32735804,34442518,36287596,39062668,41597030,45005285,47613260,50525507,53377481,56584717,58573067,61755376,65175887,66375044,69022294,73109867,77981568,81284366,86544398,90748398,89226649,92933243,96917993,100377212,102317393,104255478,106063990,107499466,110093054,112738981,117112841,126306868,135347396
 "28000","Mississippi",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",5195249,5686254,6305432,7188156,8092775,9140043,10093715,11311484,12622839,14277074,15943305,17922618,20008780,21048047,22356167,24055384,25387929,26584234,27744083,29577551,32176435,33960984,35711389,38404210,41025486,44172810,46946648,49459154,52396737,55627824,57639410,60974870,63604862,65748102,67849834,71320657,76237233,80478137,85411627,90025968,88394070,92054823,96351536,99580288,100027873,102918316,105136234,106780783,108601334,111582439,116070659,125582165,133805622
 "28000","Mississippi",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",345426,390748,431641,489248,686264,508048,369127,566127,599368,444537,693270,174909,322820,417322,95399,472280,430911,197072,579773,725076,559369,481534,576207,658458,571544,832475,666612,1066353,980744,956893,933657,780506,1571025,626942,1172460,1789210,1744335,806229,1132771,722430,832579,878420,566457,796924,2289520,1337162,927756,718683,1491720,1156542,1042182,724703,1541774
 "28000","Mississippi",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970366,2977897,2982342,2986574,2987621,2984959,2984317,2983393,2974618,2968981,2956870,2949965
 "28000","Mississippi",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2496,2736,2974,3327,3736,4056,4360,4887,5375,5917,6633,7166,8008,8395,8744,9514,9976,10326,10942,11744,12717,13356,13964,14888,15667,16737,17488,18386,19221,20174,20709,21681,22845,23219,24064,25306,26835,27981,29554,30785,30157,31287,32546,33657,34259,34896,35533,36021,36902,37900,39445,42716,45881
 "28000","Mississippi",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",4570983,4881173,5354041,6148419,7050005,7532283,7895309,9112206,10207537,11334115,12763334,13197641,14548264,15034550,15493524,17134725,18020012,18701926,20007676,21523018,22798410,24157487,25320179,27368797,29359272,32066237,33399569,35217048,37125340,39685848,41393847,42964350,44730363,45363131,47573728,50660703,52759164,54612183,56562506,58345935,56292861,58373278,59694441,62410000,65014164,65712784,65813760,66349241,68406901,70040774,72014087,73620047,79106234
 "28000","Mississippi",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",290831,310203,351085,421301,538239,615467,653112,756504,850173,981797,1128894,1210227,1421451,1497310,1593803,1773270,1913772,2032083,2125070,2373612,2541703,2803227,2988565,3192126,3452582,3779262,3946158,4069038,4283603,4579182,4782857,4926115,5012801,5213514,5375431,5697919,5914163,6398930,6670899,6889340,6799149,6890766,6403696,6617230,7551224,7739269,7943647,8125034,8381678,8583928,8925578,9305610,9660358
 "28000","Mississippi",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",146492,157094,176026,208537,265411,304493,323748,364519,404132,462266,535924,585132,693349,741378,781705,855215,953028,1024282,1080501,1217452,1330058,1455746,1560413,1662182,1792909,1969227,2074902,2137189,2253689,2398000,2516436,2590849,2653737,2767915,2861781,3021686,3187482,3494763,3677392,3803644,3757849,3816734,3115809,3207117,4162657,4302649,4423066,4569953,4744151,4923716,5092804,5339755,5582557
 "28000","Mississippi",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",144339,153109,175059,212764,272828,310974,329364,391985,446041,519531,592970,625095,728102,755932,812098,918055,960744,1007801,1044569,1156160,1211645,1347481,1428152,1529944,1659673,1810035,1871256,1931849,2029914,2181182,2266421,2335266,2359064,2445599,2513650,2676233,2726681,2904167,2993507,3085696,3041300,3074032,3287887,3410113,3388567,3436620,3520581,3555081,3637527,3660212,3832774,3965855,4077801
 "28000","Mississippi",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",35979,37374,58850,74070,93764,122454,148674,179020,217657,271497,325350,410298,439612,457274,513039,572020,603072,591506,629635,671516,714602,749011,804045,822865,839460,837518,920045,961560,1112017,1187714,1286526,1477817,1540691,1583399,1666861,1777623,1895448,2112678,2268351,2409229,2365881,2427497,2648856,2850090,2989726,3048587,3177378,3217584,3316044,3511742,3758392,3688464,3949598
 "28000","Mississippi",5,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",4316131,4608344,5061806,5801188,6605530,7039270,7390871,8534722,9575021,10623815,11959790,12397712,13566425,13994514,14412760,15933475,16709312,17261349,18512241,19820922,20971309,22103271,23135659,24999536,26746150,29124493,30373456,32109570,33953754,36294380,37897516,39516052,41258253,41733016,43865158,46740407,48740449,50325931,52159958,53865824,51859593,53910009,55939601,58642860,60452666,61022102,61047491,61441791,63341267,64968588,66846901,68002901,73395474
 "28000","Mississippi",5,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",672878,779693,861256,958058,1108523,1296464,1440920,1557145,1737547,1998082,2280431,2820539,3501986,3882734,4088222,4508705,4829627,4985319,5090744,5452913,6269413,6377003,6444110,6548255,6839207,7381245,7948957,8457166,9089519,9871185,9944328,10713380,11050667,10827160,10716868,10846452,11781596,13375096,16016538,16091284,15139177,14933420,16043772,16819520,16396600,17022728,17709744,17846515,18355455,18419512,19523285,19552305,19894816
