GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "37000","North Carolina",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",15858142,17320423,18856792,21319016,24174505,26653856,28942763,32132322,35208099,39736164,43908313,49246957,55496710,59420072,64644452,73126172,79020157,85194512,91884496,100589475,109693130,116522487,121893315,132674908,141458338,150582582,161486709,172816700,185687858,198667149,208586318,222325779,228555910,231900307,241851137,262024320,281572128,306618081,330170299,352222250,339555620,343348333,355826622,380160568,376392383,398099522,419334270,432626193,453729161,476308708,505470189,542726456,592695039
 "37000","North Carolina",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",15188066,16651314,18233082,20572505,23017255,25549701,27887695,30998175,34366101,38609314,43167964,48611634,54463295,58369524,64021779,71847608,77873316,84062586,90758255,99127054,107988648,114406308,119517356,130361328,138869434,147779764,158804210,169842108,182646727,196281574,206371875,219383847,225458821,230420348,240287985,259687115,278394558,304040991,327929235,350025451,337323427,340984454,353802731,377315727,373027878,394464234,416110500,430122694,450566062,474760127,503529606,541200494,590018861
 "37000","North Carolina",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",670076,669109,623710,746511,1157250,1104155,1055068,1134147,841998,1126850,740349,635323,1033415,1050548,622673,1278564,1146841,1131926,1126241,1462421,1704482,2116179,2375959,2313580,2588904,2802818,2682499,2974592,3041131,2385575,2214443,2941932,3097089,1479959,1563152,2337205,3177570,2577090,2241064,2196799,2232193,2363879,2023891,2844841,3364505,3635288,3223770,2503499,3163099,1548581,1940583,1525962,2676178
 "37000","North Carolina",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9571353,9642580,9722105,9803434,9880220,9966060,10076064,10175266,10275806,10370550,10457177,10551162
 "37000","North Carolina",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8348,9317,9872,10637,11863,12635,13477,14349,15522,16708,17485,17967,19236,20085,20951,21987,23040,24251,25440,26239,27510,27838,27852,28715,30635,32345,34385,36211,37835,35933,35872,36902,39103,38394,40293,42076,42936,44591,46352,48741,51900,56173
 "37000","North Carolina",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",13695429,14664748,15905718,18116555,20658487,22351164,23353015,26189154,28734374,32665309,35982494,39233002,43471565,45591010,49846549,56766941,61550281,66665936,72743723,79617455,85519255,90451887,93714590,102592310,108938643,116287949,123190745,130549061,140497574,150625445,159949078,170461725,174113335,176205087,183373988,197977243,211516742,229570844,245342920,257501176,243166942,243761982,247467938,267074185,266764267,280638407,293805831,303580524,319056608,334617157,353041602,365472504,399284734
 "37000","North Carolina",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",899596,971110,1101758,1308568,1677889,1900990,1977755,2272099,2513226,2920385,3389734,3716782,4380076,4634635,5172677,5969047,6588701,7293905,7869376,8838251,9490095,10256596,10747215,11649212,12434952,13398810,14227993,14926161,15977772,17206594,18335210,19427808,20100040,20369137,21376375,22462511,24021774,25771292,27517660,28278511,27492664,27812781,25926513,26956299,31307775,32936145,34570593,35460186,36887176,38396216,40562079,42277906,45331490
 "37000","North Carolina",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",445354,482025,542867,635069,820243,933541,969839,1083707,1190324,1378784,1610023,1785717,2127014,2287689,2515309,2842704,3239543,3614822,3937906,4460474,4868311,5247344,5533830,5968314,6380100,6910684,7400280,7757739,8307389,8928190,9531203,10088939,10403048,10671081,10943536,11590367,12382376,13386141,14341084,14729479,14360860,14579985,11963453,12397899,16318119,17141057,18006610,18860474,19920640,21168062,22375889,23431273,25140118
 "37000","North Carolina",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",454242,489085,558891,673499,857646,967449,1007916,1188392,1322902,1541601,1779711,1931065,2253062,2346946,2657368,3126343,3349158,3679083,3931470,4377777,4621784,5009252,5213385,5680898,6054852,6488126,6827713,7168422,7670383,8278404,8804007,9338869,9696992,9698056,10432839,10872144,11639398,12385151,13176576,13549032,13131804,13232796,13963060,14558400,14989656,15795088,16563983,16599712,16966536,17228154,18186190,18846633,20191372
 "37000","North Carolina",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",18497,19725,15197,9120,7355,12783,15004,13834,18878,17892,7712,11309,-29399,-40452,-59240,-94751,-157153,-219014,-300830,-363143,-417745,-457585,-440165,-464485,-481263,-546374,-617799,-682007,-759649,-737812,-806853,-920846,-930337,-899336,-755506,-756652,-825958,-1009797,-1240143,-1271482,-1045944,-961488,-890818,-938757,-847251,-919113,-1161491,-1293487,-1365336,-1564159,-1599690,-2103049,-2494553
