GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34000","New Jersey",2,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",32504175,35294519,38078118,41394930,45063192,48945152,52877698,57408891,62802139,69699071,77362778,87046739,97264551,105090396,113438476,125567163,134573708,144070388,155341299,170597669,183042974,192163514,195933413,210510235,217595981,225284514,239164930,253062255,269605875,287264744,300654040,330613568,341787737,346163495,354361814,370214789,384731419,413114576,438001097,451052135,436503978,449927051,470008136,487527661,492488242,515515069,537105894,552051391,573105544,598428675,633651027,663544070,713720594
 "34000","New Jersey",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",32401138,35196624,37987523,41308896,44940353,48811591,52783484,57311195,62694445,69576456,77240402,86935636,97119507,104927846,113250464,125371478,134351496,143845871,155088429,170350413,182803449,191928426,195714289,210283042,217341297,225013608,238899666,252776616,269370788,287012769,300433680,330303541,341533473,345891064,354069735,369900751,384407632,412749860,437629391,450732051,436173572,449617669,469674377,487122203,492110892,515211333,536730694,551711976,572770144,598146646,633196607,663154895,713351529
 "34000","New Jersey",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",103037,97895,90595,86034,122839,133561,94214,97696,107694,122615,122376,111103,145044,162550,188012,195685,222212,224517,252870,247256,239525,235088,219124,227193,254684,270906,265264,285639,235087,251975,220360,310027,254264,272431,292079,314038,323787,364716,371706,320084,330406,309382,333759,405458,377350,303736,375200,339415,335400,282029,454420,389175,369065
 "34000","New Jersey",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8809058,8876959,8933292,8984801,9033845,9076577,9119862,9174898,9218858,9258804,9279743,9267130
 "34000","New Jersey",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4581,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11801,13131,14142,15190,16708,17788,18902,20251,22120,23692,24754,25072,26713,27374,28110,29588,31052,32804,34663,35965,39216,40245,40474,41198,42876,44467,47695,50473,51779,49854,51076,52947,54574,54813,57065,59175,60533,62465,64914,68438,71505,77016
 "34000","New Jersey",2,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",24174456,26102139,27901715,30447671,33538166,36008650,37745885,41379924,45540642,51062212,56574936,61889637,67762531,72341216,78978762,88003116,95483970,103321187,113281477,125530226,132290164,138126371,139677857,149410971,155419250,161986059,169746173,178344003,188811959,201798426,213357244,234153627,242111326,249787119,257236522,268300867,277308510,290110258,300404324,305489929,300804181,306929720,313041574,325057571,335301053,346995402,359563483,367220069,380690283,396641517,411955633,411690734,440469029
 "34000","New Jersey",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",1828909,1958328,2170286,2484459,3130999,3460896,3543703,3932759,4315581,4987449,5747596,6317104,7368483,7997290,8983120,10427213,11395386,12408210,13524602,15223856,15871219,16024155,16532974,17490599,18116326,19137986,19893511,20744622,21524218,22685478,23765518,25554912,26592891,27298962,27735899,29106383,30543159,31791701,33660139,34557185,33747394,34242763,31436044,32108163,37383583,38484048,39787801,40434220,42190055,43437171,45014856,45124752,48462844
 "34000","New Jersey",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",837469,905100,1002366,1116312,1395567,1554720,1617516,1734717,1901704,2185664,2538417,2836461,3332829,3650418,4023730,4568085,5185183,5769132,6418699,7294127,7777989,7879921,8245548,8664966,8849684,9356350,9841912,10370285,10716891,11448130,12065743,12938158,13490987,14007838,14372869,15132393,15988795,16884321,17734211,18193104,17776731,17929870,14538664,14660467,19410927,20159843,20906035,21487962,22694996,23601588,24629943,24645170,26458869
 "34000","New Jersey",2,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",991440,1053228,1167920,1368147,1735432,1906176,1926187,2198042,2413877,2801785,3209179,3480643,4035654,4346872,4959390,5859128,6210203,6639078,7105903,7929729,8093230,8144234,8287426,8825633,9266642,9781636,10051599,10374337,10807327,11237348,11699775,12616754,13101904,13291124,13363030,13973990,14554364,14907380,15925928,16364081,15970663,16312893,16897380,17447696,17972656,18324205,18881766,18946258,19495059,19835583,20384913,20479582,22003975
 "34000","New Jersey",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",3164643,3117383,3212732,3417929,3513450,3682897,3887311,4061394,4419691,4992087,5706509,6657721,7275032,7760315,8101185,8526060,8951592,9537121,10071146,10488232,10338068,10353627,10312123,12065743,12251278,12233991,13365611,15321480,18081616,19596251,21496265,24547035,25181393,22805780,23053257,26122559,28566005,33853043,40275514,39545192,31110913,35033844,39096690,39742152,40739809,43679343,45674393,47416858,50580432,55139476,61753678,60148569,70885860
 "34000","New Jersey",2,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",25510190,27261194,28944161,31381141,33920617,36230651,38089493,41508559,45644752,51066850,56533849,62230254,67669080,72104241,78096827,86101963,93040176,100450098,109828021,120794602,126757013,132455843,133457006,143986115,149554202,155082064,163218273,172920861,185369357,198709199,211087991,233145750,240699828,245293937,252553880,265317043,275331356,292171600,307019699,310477936,298167700,307720801,320702220,332691560,338657279,352190697,365450075,374202707,389080660,408343822,428694455,426714551,462892045
 "34000","New Jersey",2,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",4781488,5344069,5857186,6350552,7011146,7867014,8450628,9047140,9928579,10943538,12278719,15035028,18615086,20951402,22349670,25917721,27334258,28752794,30153725,33447988,38759162,40376381,40227721,40760272,41119504,42899171,46776215,50039138,53371604,56840667,56526774,62206197,61890154,58467401,58929745,61443122,63640449,71255541,78926571,81846374,73071889,71487999,77852151,84513076,82852722,89399435,95171370,98652458,103180141,105957916,116751266,116128839,119365762
 "34000","New Jersey",2,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",2212497,2689256,3276771,3663237,4131429,4847487,6337577,6853192,7228808,7688683,8550210,9781457,10980385,12034753,12991979,13547479,14199274,14867496,15359553,16355079,17526799,19331290,22248686,25763848,26922275,27303279,29170442,30102256,30864914,31714878,33039275,35261621,39197755,42402157,42878189,43454624,45759614,49687435,52054827,58727825,65264389,70718251,71453765,70323025,70978241,73924937,76484449,79196226,80844743,84126937,88205306,120700680,131462787
 "34000","New Jersey",2,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",19375644,21050932,22433439,24349851,26830235,28864426,29806688,32362945,35172692,39180363,43375756,47796820,52255553,55888303,60465783,67086205,72655761,78855625,86623681,95332792,100234771,104947923,105959445,111735692,115796129,120256071,125410133,131446457,139717802,150785679,159052400,174304126,177042075,179853579,184596020,192500126,199918283,210433596,219859775,224221733,214770059,217103826,221455462,228013420,233951798,240539836,251003968,257006352,265809465,275554026,285420071,287410447,310051713
 "34000","New Jersey",2,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",2487992,2722470,3021626,3463138,3904135,4275270,4931026,5540602,6285915,7192893,8155052,9198425,10457586,11495894,12898604,14391659,15585027,16941853,18160064,19965761,21402530,22099715,22975325,25367914,26826382,27853518,28016968,28634464,29580484,31287921,32412167,35128320,37151266,39968449,42036919,44654036,47673981,47527518,49049754,49622926,50646792,50771443,51428032,53035653,55180828,57040006,57557508,57106664,57928139,61314566,64953518,64487467,67938656
 "34000","New Jersey",2,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",1496552,1669242,1853706,2094991,2168703,2369094,3004839,3342560,3872038,4391108,4945873,5717782,6421932,7149022,7939214,8532531,9374824,10302775,11054161,12036032,13309300,13955481,14687899,16542281,17559740,18071882,17965369,18260127,18773157,20050573,20712392,22511566,24049362,26677325,28673889,30680046,33119617,32620138,33123826,33258845,34676129,34458550,34530652,35587957,37208172,38715801,38675742,38160406,38433080,41478983,44568605,44007885,45934681
 "34000","New Jersey",2,CAINC4,62,"..."," Employer contributions for government social insurance ","Thousands of dollars",991440,1053228,1167920,1368147,1735432,1906176,1926187,2198042,2413877,2801785,3209179,3480643,4035654,4346872,4959390,5859128,6210203,6639078,7105903,7929729,8093230,8144234,8287426,8825633,9266642,9781636,10051599,10374337,10807327,11237348,11699775,12616754,13101904,13291124,13363030,13973990,14554364,14907380,15925928,16364081,15970663,16312893,16897380,17447696,17972656,18324205,18881766,18946258,19495059,19835583,20384913,20479582,22003975
