GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "39000","Ohio",3,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",41801043,44141934,46980368,50967906,56552390,61925206,66162182,72597505,80397208,88854711,98136026,107184471,116652387,122081467,129132533,142661132,151425559,158492982,166090329,178267540,191708347,202979644,207676873,221201352,230366365,243306753,255101076,267147166,282808993,299095784,308329260,324977550,333912229,338738307,348858473,362572573,373789356,392816917,409745801,424081872,412218962,425361803,453595432,471703866,479088726,498894557,518826754,529069639,547516636,568458384,589835788,631330678,670035563
 "39000","Ohio",3,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",41386930,43710651,46569253,50466132,55890918,61133783,65355502,71819493,79732562,88237180,97385127,106619879,116495633,121820394,129216448,141803873,150572552,157824452,165375211,177504737,190561769,201805381,207007369,220053395,229470851,242182181,254249676,265932464,281158725,297856404,307515355,323796879,332810401,338183152,348101886,361198386,372757834,391922327,408632365,422855416,410686854,423820934,450773747,469837255,476105088,497019561,518283441,528557655,546664192,567062161,589376852,629463357,667188578
 "39000","Ohio",3,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",414113,431283,411115,501774,661472,791423,806680,778012,664646,617531,750899,564592,156754,261073,-83915,857259,853007,668530,715118,762803,1146578,1174263,669504,1147957,895514,1124572,851400,1214702,1650268,1239380,813905,1180671,1101828,555155,756587,1374187,1031522,894590,1113436,1226456,1532108,1540869,2821685,1866611,2983638,1874996,543313,511984,852444,1396223,458936,1867321,2846985
 "39000","Ohio",3,CAINC4,20,"...","Population (persons) 3/","Number of persons",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11541886,11557958,11573024,11611630,11648446,11674128,11701886,11737605,11762842,11788547,11790587,11780017
 "39000","Ohio",3,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9924,10813,11349,12026,13286,14106,14771,15436,16508,17703,18683,18973,20056,20752,21816,22771,23762,25078,26442,27200,28598,29323,29693,30509,31660,32607,34214,35629,36827,35755,36854,39245,40759,41259,42829,44442,45212,46646,48327,50035,53545,56879
 "39000","Ohio",3,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",35842808,37169979,39049787,42547164,47515685,51227604,53001347,58820082,65718128,73130390,80435303,83894784,89320865,90318359,95229885,106678371,113903546,119629367,126623982,136896132,145654241,153275603,156786335,167858269,175267189,186265239,193879348,202348485,214221279,227490743,238238407,249957751,255678501,260036439,268183767,280097044,285896450,297114194,305333121,308930538,296672013,305340581,322848467,336544326,348418114,358349298,370182946,376400220,390617953,404170564,415619535,420615513,446781173
 "39000","Ohio",3,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",2359714,2407979,2603286,2985256,3863634,4310272,4336259,4941558,5553864,6396502,7321615,7611739,8708161,8899666,9612539,10932297,11869827,12856289,13614404,15148979,16208707,17415438,18308223,19470050,20591618,22172137,23352826,24061699,24789681,25558176,26717261,27074207,27709526,27770249,28879457,30584732,31413425,32779867,33588342,34516209,33450097,33656326,31791462,32845698,36901436,38048358,39397053,40912773,43319189,44168260,46072910,46682907,48637097
 "39000","Ohio",3,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",1109621,1138893,1230240,1373478,1768360,1980160,2011740,2222238,2466534,2802530,3248898,3436379,3986523,4098736,4313318,4809874,5367923,5831106,6204044,6907239,7476042,7988086,8394856,8852305,9369228,10169223,10752102,11143096,11787653,12453361,13088459,13553470,13780692,14108511,14378340,14941803,15556855,16352700,16908704,17301015,16620387,16879070,14101571,14629547,19130636,20059139,20821266,21474345,22659639,23701757,24758050,25289571,26441293
 "39000","Ohio",3,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",1250093,1269086,1373046,1611778,2095274,2330112,2324519,2719320,3087330,3593972,4072717,4175360,4721638,4800930,5299221,6122423,6501904,7025183,7410360,8241740,8732665,9427352,9913367,10617745,11222390,12002914,12600724,12918603,13002028,13104815,13628802,13520737,13928834,13661738,14501117,15642929,15856570,16427167,16679638,17215194,16829710,16777256,17689891,18216151,17770800,17989219,18575787,19438428,20659550,20466503,21314860,21393336,22195804
 "39000","Ohio",3,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-199500,-183269,-133786,-133101,-158449,-133690,-93346,-108157,-113828,-135629,-171548,-194166,-482634,-608982,-711202,-842205,-918612,-951925,-994609,-1041900,-1105097,-1093056,-1114802,-1229965,-1327384,-1450366,-1490901,-1546151,-1643521,-1819320,-1788586,-1748567,-1736682,-1757962,-1770870,-1716204,-1731419,-1885416,-1974132,-1964716,-1836942,-1795237,-1922474,-1888327,-2315706,-2554984,-2591783,-2690050,-2462790,-2002679,-2249863,-2411643,-2073164
