GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "42000","Pennsylvania",2,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108706050,119088365,131482121,140474119,147180811,158975274,168415810,177108098,187611091,203157551,220029706,232898680,242566278,256051946,265789353,275144867,287676365,302375613,317520134,334742455,349385320,373971605,389069835,396229237,410471306,434175861,453298198,476775101,506789684,526290259,513386283,537282210,564695398,587665984,593682098,619079371,643988051,661160078,678604554,714331524,739891828,788281467,833314466
 "42000","Pennsylvania",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",44978093,48460506,51504543,56237265,61554061,67676793,74054765,80775156,88714908,97775245,108074651,118674425,130857186,139922679,146832397,158141588,167584122,176236308,186744289,202432146,219052705,231921121,241858101,254876831,264789695,274256340,287067752,301289770,316785421,333880146,348593617,372895055,388090417,395623365,409276847,432666646,451963578,475673139,505518221,524976642,512483436,535986357,562945124,585657498,591423956,616508803,642356589,660360381,677053203,713382874,738470392,787256937,831631955
 "42000","Pennsylvania",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",368013,383205,330918,342524,478887,456371,417966,508060,459183,496754,631399,413940,624935,551440,348414,833686,831688,871790,866802,725405,977001,977559,708177,1175115,999658,888527,608613,1085843,734713,862309,791703,1076550,979418,605872,1194459,1509215,1334620,1101962,1271463,1313617,902847,1295853,1750274,2008486,2258142,2570568,1631462,799697,1551351,948650,1421436,1024530,1682511
 "42000","Pennsylvania",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12716521,12772774,12815609,12846775,12880463,12898688,12918191,12945337,12980864,12991448,12989625,12964056
 "42000","Pennsylvania",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27336,28489,30443,31634,32133,33170,34984,36410,38109,40337,41728,40530,42251,44211,45855,46213,48063,49927,51181,52421,55030,56952,60685,64279
 "42000","Pennsylvania",2,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",38436880,40518691,42410893,46349756,51119285,55468407,58846636,64245467,70701225,78472312,86595068,91820100,98824648,101160396,105242230,114855224,121615883,128098226,138139838,150812088,161088577,170011240,174840776,186564505,193773307,201208862,208258794,217005925,228564468,242081729,256072351,272672491,284766797,291631096,301827015,322210601,334766403,346784260,363059572,369784029,359231170,375556337,392474666,406819579,422104203,436526786,452974946,461670164,475936639,494623828,508465820,505002396,536585068
 "42000","Pennsylvania",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",2808608,2927585,3186387,3653555,4627117,5221801,5400222,6000335,6594781,7508284,8576034,9174588,10559221,10979573,11570469,13094861,14060444,14907990,15896180,17714604,18644742,19839386,20662218,21888879,23105320,24455796,25289772,25752041,26960467,28148322,29402116,30863838,31934185,32820821,33631351,35353277,37148929,39022525,40565734,41793953,41263189,42359403,39418718,40325373,46661308,48217456,50114986,51019197,53684434,55535942,57635033,57084379,59445120
 "42000","Pennsylvania",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",1276040,1336917,1451636,1624607,2039715,2305509,2401504,2591855,2821927,3170380,3659208,3991653,4660655,4899248,5117179,5683087,6355595,6830838,7405261,8358899,8992745,9622765,10108742,10675731,11246978,11898209,12407204,12684294,13344085,14002894,14768937,15483011,16110140,16692197,17084206,18099995,18908791,20013484,21029489,21754354,21557256,22063561,18164199,18477721,24141079,25018429,26007589,26575003,28123265,29478908,30729546,30922256,32479737
 "42000","Pennsylvania",2,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",1532568,1590668,1734751,2028948,2587402,2916292,2998718,3408480,3772854,4337904,4916826,5182935,5898566,6080325,6453290,7411774,7704849,8077152,8490919,9355705,9651997,10216621,10553476,11213148,11858342,12557587,12882568,13067747,13616382,14145428,14633179,15380827,15824045,16128624,16547145,17253282,18240138,19009041,19536245,20039599,19705933,20295842,21254519,21847652,22520229,23199027,24107397,24444194,25561169,26057034,26905487,26162123,26965383
 "42000","Pennsylvania",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-436371,-404633,-373133,-373084,-341896,-348254,-361217,-336926,-320733,-319854,-359872,-379719,-333200,-162200,-23419,144526,280081,398772,528148,778888,971281,1038896,1052501,1225929,1339631,1652085,2166834,2433363,2872631,3270718,3556364,4055982,4317204,4590811,5080124,5868747,6891906,7340587,8225141,8575934,7331566,8002837,7866847,8228688,8151257,8969994,8949405,9429887,9994564,10874667,11636070,12149964,13359504
