GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "47000","Tennessee",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",11815600,12849372,14188137,15970576,18141651,20073602,21893630,24519691,27175753,30979262,34543736,38077998,42383340,45046219,48057095,53481428,57207491,61216362,65940974,71645974,76927829,81783900,86008886,94052894,100091784,106496614,114364864,120799015,127953042,139897242,145517190,154378504,158384637,162942356,170160259,180115351,189003815,201325219,210986900,219027311,217218572,227882962,241617612,254470632,256753847,267288734,281281093,290239862,302461645,319022245,338609203,362278148,394520369
 "47000","Tennessee",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",11561536,12581636,13923423,15646516,17651553,19758433,21647180,24153058,26881181,30665417,34207506,37886498,42028863,44749825,48095500,53075098,56877994,60980333,65642020,71263010,76491526,81347956,85505320,93396971,99507025,105849113,113932744,120412953,127578832,139699156,145467931,154058086,157931844,162864109,169974758,179745166,188470143,201060587,211113750,218803087,216918409,227783896,241112050,254144228,255744345,266905074,280940270,290271722,302440222,319346439,338588629,362340628,393940415
 "47000","Tennessee",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",254064,267736,264714,324060,490098,315169,246450,366633,294572,313845,336230,191500,354477,296394,-38405,406330,329497,236029,298954,382964,436303,435944,503566,655923,584759,647501,432120,386062,374210,198086,49259,320418,452793,78247,185501,370185,533672,264632,-126850,224224,300163,99066,505562,326404,1009502,383660,340823,-31860,21423,-324194,20574,-62480,579954
 "47000","Tennessee",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356320,6404344,6463111,6507640,6558710,6612901,6672356,6739437,6806545,6862378,6920119,6975218
 "47000","Tennessee",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3032,3264,3538,3906,4384,4778,5138,5664,6174,6943,7620,8277,9159,9696,10313,11411,12132,12918,13787,14857,15847,16709,17318,18625,19482,20357,21469,22301,23267,25116,25807,27066,27541,28113,29098,30472,31548,33065,34164,35059,34446,35851,37727,39373,39454,40753,42535,43499,44879,46870,49343,52351,56560
 "47000","Tennessee",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",10233232,10874511,11934774,13549949,15409376,16733272,17566261,19870518,22242221,25573237,28337443,30223849,33054861,34230154,36624627,41077506,44189520,47566544,51861136,56405109,59858333,63298582,66335920,72870814,77895424,83319836,88702687,93413647,99731877,110303791,115606593,121921922,124037951,128551659,133541387,142092192,147630221,156151059,160569827,162066032,159126076,164571873,173608092,183866940,188643192,196880005,207075935,214320309,223707545,235168216,246878279,254807131,279397971
 "47000","Tennessee",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",659469,695644,789480,938033,1211394,1384092,1430974,1640450,1847276,2151910,2481583,2668465,3135502,3331308,3652120,4190326,4589484,5066132,5474066,6108061,6568783,7002062,7455393,8066921,8654092,9401251,10015290,10377117,11007811,11707894,12360800,12927670,13336813,13951719,14455489,15256754,15888777,16747649,17528759,17985573,17638661,17983394,16677575,17198836,19853377,20599829,21641506,22455362,23726239,24855544,26161827,27306720,28769151
 "47000","Tennessee",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",329880,349040,394705,461436,592503,679337,703637,783291,880793,1009829,1174034,1282126,1521280,1632529,1767609,1984475,2246580,2499828,2735597,3077057,3373524,3596009,3856476,4147677,4454778,4853546,5214405,5404716,5740175,6106700,6478622,6769394,7040087,7378828,7618897,8093325,8562412,9161142,9646179,9866359,9583638,9773522,8132833,8380803,10957551,11574565,12141197,12675586,13431451,14225466,14919180,15644000,16535958
 "47000","Tennessee",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",329589,346604,394775,476597,618891,704755,727337,857159,966483,1142081,1307549,1386339,1614222,1698779,1884511,2205851,2342904,2566304,2738469,3031004,3195259,3406053,3598917,3919244,4199314,4547705,4800885,4972401,5267636,5601194,5882178,6158276,6296726,6572891,6836592,7163429,7326365,7586507,7882580,8119214,8055023,8209872,8544742,8818033,8895826,9025264,9500309,9779776,10294788,10630078,11242647,11662720,12233193
 "47000","Tennessee",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-145955,-144166,-154907,-182658,-166047,-176262,-180329,-173247,-230291,-293996,-348392,-416366,-446236,-404243,-417110,-443309,-468497,-504760,-533852,-545937,-570892,-628755,-622098,-482691,-595684,-686926,-767261,-784763,-1030493,-1174757,-1358853,-1549708,-1563074,-1548337,-1555383,-1639356,-1454069,-1382024,-1482005,-1383193,-968162,-746817,-759518,-1072824,-1241281,-1197260,-1317462,-1591231,-1752543,-1959843,-2315224,-2280807,-2556714
