GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "49000","Utah",7,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3406875,3791439,4243112,4741413,5282895,5910411,6590527,7463623,8440469,9711665,10972424,12319288,13892687,15066940,16135197,17820360,19069875,20041877,20994591,22330039,23967442,25984871,27864000,30125548,32491283,35156842,38308316,41738865,45125191,48227506,50859248,54450819,56922719,58562908,60872629,64886832,71095264,79116039,86153056,90386888,86761575,89439153,96356694,102990773,106176204,112620169,121339160,127881434,135162181,145255769,157045208,171385445,186990527
 "49000","Utah",7,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3333864,3714596,4166981,4653994,5153943,5815251,6524646,7391187,8378689,9642141,10892238,12261438,13852983,15023570,16101411,17766254,19015800,19957374,20867269,22124867,23766348,25737217,27635807,29851587,32196655,34945204,38150206,41573112,44935108,48003064,50629959,54252972,56615360,58371667,60669827,64592669,70839041,78981220,85984212,90215720,86671577,89238331,96007173,102676618,105662360,112022821,120744174,127536529,134814029,144925467,156660580,170967298,186583204
 "49000","Utah",7,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",73011,76843,76131,87419,128952,95160,65881,72436,61780,69524,80186,57850,39704,43370,33786,54106,54075,84503,127322,205172,201094,247654,228193,273961,294628,211638,158110,165753,190083,224442,229289,197847,307359,191241,202802,294163,256223,134819,168844,171168,89998,200822,349521,314155,513844,597348,594986,344905,348152,330302,384628,418147,407323
 "49000","Utah",7,CAINC4,20,"...","Population (persons) 3/","Number of persons",1047000,1065672,1100733,1134601,1168784,1198793,1233935,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2776094,2818261,2860480,2908068,2950652,2999092,3063043,3125784,3180896,3232701,3281684,3337975
 "49000","Utah",7,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3254,3558,3855,4179,4520,4930,5341,5866,6412,7119,7748,8366,9167,9669,10116,10984,11607,12053,12511,13218,14050,15010,15656,16401,17115,17933,19019,20183,21288,22266,23081,24260,24925,25190,25792,27018,28927,31327,33165,33941,31858,32218,34190,36005,36511,38168,40459,41750,43241,45665,48580,52225,56019
 "49000","Utah",7,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",2824888,3101325,3440027,3852021,4327870,4820476,5299370,6066047,6905851,7951678,8992968,9911184,11067375,11770775,12514990,13927640,14901149,15604262,16312530,17515595,18740587,20532648,22137775,24105844,26063148,28307393,30583235,33164474,36028514,38657871,41176495,43743721,45587013,46606453,48157122,51874820,56031232,62657897,67272950,68551369,65579774,66943359,71061136,76465084,80398262,84821494,90423853,95120665,100469393,108262900,116428931,124919057,135242519
 "49000","Utah",7,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",174871,190397,217620,259531,337674,394780,432296,502031,575281,677647,809800,901648,1088487,1176233,1266652,1447832,1577794,1657865,1722548,1935684,2114798,2389860,2619407,2831650,3076954,3387688,3687387,3920277,4201560,4484349,4729934,5046092,5291643,5426809,5651106,6128272,6638718,7281619,7829310,8021946,7768344,7863091,7463861,7853910,9301952,9791145,10231954,10759232,11411854,12015498,12781041,13747397,14768516
 "49000","Utah",7,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",86322,93809,106282,125092,162706,189629,206763,234400,267553,310181,376419,421975,514247,559537,597096,669289,750477,794232,831580,939585,1034995,1165491,1277812,1379139,1497828,1649696,1809198,1944150,2100047,2232340,2381583,2531562,2636880,2699852,2771203,2978408,3221142,3574376,3914432,4013317,3928393,4006173,3270612,3440013,4668526,4943847,5206484,5498701,6004172,6377644,6805909,7342564,7869186
 "49000","Utah",7,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",88549,96588,111338,134439,174968,205151,225533,267631,307728,367466,433381,479673,574240,616696,669556,778543,827317,863633,890968,996099,1079803,1224369,1341595,1452511,1579126,1737992,1878189,1976127,2101513,2252009,2348351,2514530,2654763,2726957,2879903,3149864,3417576,3707243,3914878,4008629,3839951,3856918,4193249,4413897,4633426,4847298,5025470,5260531,5407682,5637854,5975132,6404833,6899330
 "49000","Utah",7,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",3731,2438,1952,4411,6885,9665,12826,15741,20597,25056,32959,49370,52902,53054,42898,38922,40517,35324,25475,24163,22053,16866,11497,6555,7126,6944,298,397,-148,-3824,-1320,4884,-216,-2433,956,1675,14979,19274,15625,33392,7019,946,-1393,16092,27239,33755,8047,-27600,-33461,-30888,-48744,-101339,-142949
