GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "55000","Wisconsin",3,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",16424603,17648753,18959244,20731568,23157827,25436474,27871968,30609129,34210389,38209862,42797607,47281994,51613356,54462321,57196715,62913160,66276653,69916780,73793678,78456347,85533880,90431226,94002441,101407734,106713903,113394413,119327068,126196708,133915177,143202039,148959188,158832306,166751573,171113439,176142717,184301578,191047148,202681226,212179238,220311550,216466285,222982662,235433754,246242279,247847355,258347784,269703881,274374657,284576489,298256864,311019045,329622820,351551320
 "55000","Wisconsin",3,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",15789273,17012120,18269232,20005311,22246022,24635350,27012070,29855551,33075309,37091777,41400751,45845994,50450904,53453136,56737297,61924965,65260769,68623850,72390974,77619079,83814576,89060643,93013482,100163486,105792295,112207793,118557438,124861589,132949847,141867538,147673654,157985115,165603569,170056151,174627672,182446390,189430999,201333275,210115689,218603215,215625458,221261950,232555530,243553577,244816529,255302903,267058755,272593050,282911265,296734586,309351982,326806744,348906594
 "55000","Wisconsin",3,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",635330,636633,690012,726257,911805,801124,859898,753578,1135080,1118085,1396856,1436000,1162452,1009185,459418,988195,1015884,1292930,1402704,837268,1719304,1370583,988959,1244248,921608,1186620,769630,1335119,965330,1334501,1285534,847191,1148004,1057288,1515045,1855188,1616149,1347951,2063549,1708335,840827,1720712,2878224,2688702,3030826,3044881,2645126,1781607,1665224,1522278,1667063,2816076,2644726
 "55000","Wisconsin",3,CAINC4,20,"...","Population (persons) 3/","Number of persons",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691995,5713164,5734069,5757204,5778371,5794088,5812379,5836461,5858766,5880193,5892323,5895908
 "55000","Wisconsin",3,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10034,10920,11517,12114,13285,13960,14702,15445,16269,17612,18438,18936,20179,20986,22088,23015,24129,25429,27031,27933,29556,30841,31425,32148,33424,34447,36338,37816,39055,38182,39175,41209,42944,43050,44709,46548,47205,48758,50908,52893,55941,59626
 "55000","Wisconsin",3,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",13299689,13996652,14882838,16364845,18460128,19988459,21371022,23719629,26786797,30116657,33721026,35788170,37867430,38813606,40336114,44867823,47233154,50210889,53917095,57909729,62611437,66619910,69403725,75563055,79850486,85198939,88756806,93623218,99604734,106642979,112950338,119592326,125490544,129844724,134033942,141059087,145210900,151724749,156850933,159747840,154508389,158402355,166823431,173651534,178433130,184180307,190950543,193691138,200114406,209235664,216250705,220928653,233866477
 "55000","Wisconsin",3,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",933625,974256,1070283,1247624,1614201,1840400,1927419,2187518,2442939,2842775,3302232,3496524,3999202,4156475,4359358,4904193,5208452,5503388,5810842,6548673,7004271,7800998,8259129,8871655,9408488,10145854,10657062,11099560,11779779,12475711,13251364,13900504,14201539,14588706,15072128,15875021,16520297,17405915,17983502,18551811,18027333,18413271,17234439,17766273,20542561,21173802,21905189,22322346,23301239,24081631,25052892,25609202,26640363
 "55000","Wisconsin",3,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",460996,484445,529788,604625,773766,887603,938179,1031205,1137940,1306169,1531310,1646621,1901966,1988449,2056329,2258356,2483961,2649713,2834812,3225180,3539547,3928939,4177873,4470227,4706869,5080947,5375891,5596132,5956544,6286963,6722525,7040503,7250837,7499215,7731918,8138505,8490752,9020009,9403053,9683605,9395973,9526283,7817784,8043216,10562156,10954057,11369512,11762288,12413117,13019989,13597727,14013864,14691685
 "55000","Wisconsin",3,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",472629,489811,540495,642999,840435,952797,989240,1156313,1304999,1536606,1770922,1849903,2097236,2168026,2303029,2645837,2724491,2853675,2976030,3323493,3464724,3872059,4081256,4401428,4701619,5064907,5281171,5503428,5823235,6188748,6528839,6860001,6950702,7089491,7340210,7736516,8029545,8385906,8580449,8868206,8631360,8886988,9416655,9723057,9980405,10219745,10535677,10560058,10888122,11061642,11455165,11595338,11948678
 "55000","Wisconsin",3,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",249876,254730,267289,290688,316202,342670,345052,382573,422729,475362,505738,530431,580467,600496,651385,760881,849023,930312,1032914,1193940,1233223,1342490,1362741,1461925,1518637,1655727,1774807,1918166,2120750,2306161,2476947,2707407,2839029,2923698,2999240,3104977,3298509,3422673,3683261,3727634,3290744,3242556,3357213,3296359,3254216,3487068,3630237,3734508,3910973,3939567,4204612,3955752,4250805
